Bestellung_ID;Kunden_ID;Produkt_ID;Bestellmenge;Bestelldatum
71920;1750;316;8492;2024-09-15
72074;1041;438;3151;2023-10-04
149097;1740;395;4563;2023-04-18
1726;918;104;6873;2022-07-19
55440;1069;203;6432;2021-11-23
159359;997;437;3781;2023-04-11
126781;1302;210;645;2021-03-03
153622;2067;36;2496;2025-11-12
52227;1498;225;7847;2021-04-09
124077;218;215;4639;2022-02-14
218691;126;189;5573;2021-06-06
73307;2490;48;9821;2020-09-02
29043;1001;436;1129;2022-01-25
231229;1226;40;6446;2020-07-03
217968;805;248;689;2021-11-26
92636;2;157;8770;2022-11-24
159570;898;69;9072;2025-11-20
166802;577;257;7153;2023-05-23
2566;594;467;3870;2022-06-15
131368;1887;26;581;2025-05-12
99208;748;75;4841;2024-09-29
189698;279;480;5565;2022-09-10
98390;1521;329;6990;2020-01-16
201806;935;435;3646;2025-08-28
54070;334;37;569;2020-02-24
56492;2947;13;4165;2025-02-21
223229;2428;116;6227;2022-04-14
34228;1156;145;5526;2020-12-23
112088;115;129;4125;2020-01-06
171270;740;345;8221;2024-08-13
70238;2158;264;398;2023-03-27
64537;1993;77;2890;2025-01-16
45603;619;58;8540;2021-05-17
39451;2073;476;9367;2025-09-27
95355;1319;448;2764;2024-07-27
223576;764;255;3018;2025-12-18
160993;2540;273;2773;2022-06-05
186214;2587;70;2907;2023-03-01
79288;1351;452;8087;2024-06-07
224606;582;444;5253;2021-03-05
136438;1070;25;3978;2020-01-31
103142;1371;428;9947;2020-08-30
165136;2806;407;5478;2024-01-19
69460;2438;59;7196;2022-01-02
221794;2292;454;2704;2022-08-16
109928;1992;174;5569;2023-05-06
107860;1502;476;7820;2024-05-17
183353;1875;245;113;2022-01-28
198172;1624;14;5651;2022-01-19
46464;2138;124;5106;2020-12-06
244655;2940;296;3546;2020-08-19
53246;1086;147;8920;2023-04-18
20857;1867;228;9530;2024-12-23
123729;470;259;7088;2020-12-11
225070;2534;240;2044;2020-09-26
16525;1315;191;6634;2022-10-15
172525;128;150;8570;2020-05-20
35290;383;310;2907;2025-01-10
176282;1997;402;8918;2025-10-29
137463;70;130;7649;2025-08-21
96503;2780;233;9446;2022-11-25
165398;870;420;6917;2020-12-25
211391;1989;286;4494;2024-11-16
116098;2255;124;932;2022-04-08
217630;1431;228;7283;2025-05-06
87569;289;284;5792;2020-06-07
30920;427;215;9691;2025-11-27
56745;1697;380;2236;2020-06-13
214671;1246;137;6722;2025-02-14
173098;1339;263;5766;2025-04-18
71648;590;424;9541;2021-10-30
26932;1152;316;4249;2023-02-26
43518;189;256;8131;2023-05-04
48577;1084;224;9399;2021-03-18
206309;63;135;1026;2023-01-26
226267;1729;206;5408;2024-11-28
93284;1456;206;7358;2021-05-03
195739;2290;410;2349;2021-03-28
200953;1779;70;9787;2021-07-20
88646;1322;432;3331;2025-01-17
129493;2664;480;2382;2025-03-30
29444;237;171;4101;2020-10-01
229580;813;460;1295;2024-10-15
245218;2008;20;8557;2021-02-28
236473;1607;169;6457;2020-09-05
109652;755;455;3861;2021-05-27
44635;2671;73;7060;2020-11-26
249662;2504;97;614;2022-10-26
158466;2231;113;4831;2022-05-01
107901;2251;200;1419;2024-05-31
158998;1467;114;4893;2025-05-23
51448;568;422;9873;2024-12-22
42676;173;421;7133;2021-04-05
64955;2740;276;736;2023-04-19
223134;796;276;2811;2021-09-01
86619;1903;49;9471;2023-08-02
248642;791;365;1396;2021-05-09
231907;814;360;6389;2025-04-09
6676;990;21;4614;2023-05-24
68495;398;311;3263;2022-12-16
221910;231;291;7772;2021-06-02
169958;2122;344;6221;2025-01-08
33018;2082;230;7566;2024-06-10
147605;2319;330;7037;2020-01-31
44980;939;243;9933;2025-07-10
10621;325;166;1616;2021-05-13
66497;1195;265;7573;2021-02-05
176346;13;495;7597;2020-08-13
66887;1491;104;5760;2021-10-02
83248;1365;236;4337;2024-01-30
240271;2290;161;9567;2023-04-28
91099;26;315;6920;2021-11-07
78263;1393;157;9446;2020-06-09
121614;2747;468;1231;2024-06-04
182049;833;178;352;2020-08-18
76684;397;64;7522;2024-06-18
226043;2161;163;50;2022-01-31
238795;722;444;72;2023-04-21
94924;110;62;2955;2024-12-15
193679;939;117;8448;2022-05-17
76460;1727;439;398;2024-10-08
137561;2100;44;9472;2021-07-23
53186;220;198;7646;2023-12-01
185674;428;481;1668;2022-10-16
17240;1417;146;8376;2025-07-16
84846;1127;47;2818;2020-07-21
112203;418;278;1473;2022-04-25
50176;1029;204;9955;2021-05-28
73026;647;187;6465;2023-01-30
209672;2477;312;364;2022-04-19
45409;2877;41;6742;2022-11-08
217926;2766;312;2286;2021-03-28
249023;1683;473;2841;2020-06-17
209183;2056;123;760;2020-12-27
180904;1317;244;5659;2023-06-02
176776;1432;366;4949;2024-05-24
80127;2873;193;8017;2021-12-11
107046;2547;47;4692;2022-05-10
138672;12;18;5416;2020-10-13
100654;1394;274;7807;2020-10-24
55171;2810;141;4961;2020-07-25
204727;1750;141;7206;2022-01-07
223904;1624;137;3531;2022-03-13
134893;1063;424;5604;2021-04-24
171338;328;306;1037;2020-01-10
218050;443;310;5671;2022-04-03
139213;270;474;2238;2025-11-05
123355;2201;267;8721;2023-07-19
103352;721;46;5917;2025-05-30
29707;2395;483;7475;2022-07-09
149665;597;499;4358;2023-10-02
211729;2797;330;3261;2024-08-17
38036;1283;304;8300;2025-08-14
195806;2025;225;5404;2025-02-24
138183;232;8;5946;2024-09-09
153831;1793;448;949;2020-09-25
152277;732;68;8960;2022-04-26
210114;1197;179;3030;2020-05-22
40883;102;332;3647;2023-06-26
46742;1487;79;3508;2020-09-20
96215;2667;418;1070;2022-07-28
135187;139;48;5641;2021-05-26
180723;1509;284;5643;2020-07-05
99950;328;109;6527;2024-03-12
73566;477;420;6131;2022-05-17
233210;1451;165;4151;2025-02-09
79586;154;468;8107;2021-06-01
168185;2438;93;8575;2024-02-03
202535;741;442;426;2020-09-02
208886;2315;243;1302;2020-12-27
131028;285;469;6820;2024-12-11
23585;696;1;3890;2022-07-08
218190;1432;206;3454;2024-07-07
132670;2003;44;2396;2021-08-08
140482;1525;12;5702;2024-05-23
107232;1950;47;485;2023-11-02
55127;953;256;2185;2023-04-24
76474;2020;304;6583;2025-04-03
197451;660;191;7259;2025-09-08
209019;779;276;7069;2022-10-04
50468;2459;455;5438;2025-03-25
21116;2856;144;4844;2021-03-25
3328;2008;156;4445;2022-11-23
99945;23;171;3674;2021-03-31
210287;1745;419;6448;2024-07-12
218915;730;230;2835;2022-09-10
245586;2704;482;5688;2025-06-13
60534;848;386;3298;2022-01-07
40361;307;413;4339;2020-04-17
233346;1954;1;8750;2020-07-18
237438;2769;129;4155;2022-03-21
1087;1864;425;6344;2025-02-07
225679;670;464;1143;2023-01-23
56450;1014;485;6936;2020-09-05
217855;862;279;7349;2021-09-14
195976;522;497;163;2020-09-25
228463;1322;189;9626;2021-07-24
149941;401;123;8098;2020-02-16
42639;1202;496;8491;2023-08-18
19546;2920;459;8329;2024-02-18
17728;1809;59;5066;2021-02-19
49104;377;494;7930;2024-08-09
213896;811;363;1377;2022-09-10
136273;754;188;975;2025-10-02
121109;656;7;2141;2025-03-24
224894;2579;210;7325;2020-06-21
100022;1665;76;4666;2022-06-10
135799;2425;438;441;2023-06-02
68805;1869;401;9107;2021-01-30
183184;238;30;6169;2024-10-02
236796;1862;266;8359;2020-08-25
90991;312;160;3113;2025-10-26
21720;162;425;942;2020-10-25
234223;2056;29;2085;2020-03-22
147564;1988;499;9126;2022-08-28
109066;1167;226;6557;2021-04-10
71972;2594;70;7898;2022-02-03
12531;2430;495;6138;2023-10-16
218036;2668;461;7054;2025-01-19
20750;1507;387;781;2025-07-13
227962;1295;442;3146;2022-04-02
105776;1549;303;5184;2024-12-07
177633;1823;44;3108;2024-11-05
68128;1879;380;4208;2024-03-22
19790;2959;495;8581;2020-10-30
234843;755;497;8790;2024-04-10
209039;1581;132;8300;2024-08-15
93008;1674;309;7328;2021-11-08
185626;2488;156;9025;2024-07-29
201583;2701;482;3504;2023-01-23
17475;2559;294;1592;2024-10-12
205216;447;252;4426;2023-09-26
178614;2900;291;7953;2025-07-15
232587;659;290;3998;2020-05-05
86252;834;301;1615;2021-06-30
220498;1292;497;3583;2021-02-03
54934;2781;288;377;2025-07-18
204352;1751;401;1951;2020-07-19
152534;2572;190;9402;2021-09-11
124901;858;269;8067;2022-05-25
7273;2178;360;2206;2020-06-11
231483;229;429;4195;2024-06-30
136452;2898;306;1523;2024-07-19
231333;2502;269;1341;2025-02-02
220579;772;93;7875;2023-03-28
3744;1951;205;374;2022-08-30
133238;2386;101;4189;2020-03-30
2740;1900;380;1250;2021-04-17
224885;788;379;8945;2020-09-16
221160;904;29;8003;2020-10-09
240192;2565;341;2308;2024-04-07
225908;1051;284;5800;2022-10-10
200886;2753;16;1501;2021-01-17
119479;749;295;39;2020-11-21
177666;2401;159;7295;2021-06-16
174332;2151;421;103;2021-01-30
92447;210;33;8666;2021-12-10
152098;1296;353;3609;2025-03-18
138503;2258;400;5669;2025-02-12
175390;2423;261;1476;2021-01-10
149301;2138;209;3130;2022-03-23
213423;893;63;4931;2020-01-28
87293;1508;13;7344;2020-01-09
32465;473;269;9148;2021-06-29
202854;721;104;3066;2020-03-31
189150;924;249;544;2025-11-16
62427;1749;481;9863;2020-10-18
20136;2773;126;5600;2023-01-27
114220;62;183;4494;2024-09-16
220961;1231;438;9077;2020-04-19
95898;1268;129;283;2024-06-19
208403;2598;427;4721;2022-01-04
93137;959;283;666;2021-01-21
147210;440;440;5894;2020-08-05
21991;678;483;5836;2022-04-27
125716;2386;239;9083;2023-02-15
91568;2627;55;2372;2025-07-27
121246;1863;91;2461;2021-01-29
2065;1185;399;2489;2022-08-19
2361;633;406;8184;2020-08-08
63250;689;270;7511;2023-03-28
8237;1097;9;121;2025-01-12
130452;2454;319;1590;2025-09-22
187363;2346;135;9273;2024-05-01
156593;83;403;8554;2022-02-21
225565;2794;488;4305;2023-09-16
