Downtime_ID;Produktionsauftrag_ID;Maschinen_ID;Downtime_h;Ursache;Ausfallkosten
46827;182635;69;5,15;Materialmangel;9853,77
28206;724960;127;0,36;Geplante Wartung;636,16
24814;201887;14;16,55;Elektrischer Defekt;22987,28
17418;190402;87;3,62;Elektrischer Defekt;6483,43
5067;72012;150;5,32;Elektrischer Defekt;7405,74
28150;216959;27;6,77;Softwarefehler;4248,61
17445;140311;219;1,41;Mechanischer Defekt;3444,47
42698;40503;279;2,87;Mechanischer Defekt;5039,9
26983;533265;295;14,06;Mechanischer Defekt;9182,02
30221;208785;16;17,87;Werkzeugwechsel;16107,67
32199;57948;143;2,16;Mechanischer Defekt;4754,84
19884;22497;37;3,62;Mechanischer Defekt;3502,23
23080;771662;283;1,15;Materialmangel;2725,79
46992;255358;165;10,38;Elektrischer Defekt;24590,8
1577;620847;223;12,67;Mechanischer Defekt;13535,39
40408;799804;126;1,56;Softwarefehler;1670,18
48107;639615;117;1,58;Softwarefehler;3386,22
1446;484806;207;13,25;Mechanischer Defekt;29429,67
4322;749566;295;5,41;Softwarefehler;7348,39
31846;513848;226;16,17;Mechanischer Defekt;16097,36
42219;592962;172;15,17;Materialmangel;26289,07
36348;486096;69;12,01;Elektrischer Defekt;13729,09
41299;750341;120;3,98;Mechanischer Defekt;6865,28
33300;713264;284;9,51;Elektrischer Defekt;12900,25
25102;374993;4;1,89;Softwarefehler;4505,49
4817;342725;9;5,75;Softwarefehler;10499,4
33070;799358;25;5,62;Elektrischer Defekt;11994,41
28356;605096;144;3,86;Mechanischer Defekt;6143,24
11288;86096;41;16,01;Elektrischer Defekt;29162,07
18309;625978;169;9,63;Elektrischer Defekt;14864,02
11347;197759;50;7,29;Softwarefehler;8378,53
12468;547657;300;10,49;Mechanischer Defekt;23019,76
4889;7021;51;0,04;Mechanischer Defekt;74,66
30110;238824;195;4,22;Mechanischer Defekt;6638,61
32898;653308;276;4,86;Softwarefehler;6488,92
45586;289178;144;3,39;Mechanischer Defekt;6148,43
5155;478535;217;3,16;Werkzeugwechsel;4568,44
22074;727990;123;1,9;Mechanischer Defekt;3753,19
46508;456001;86;2,52;Werkzeugwechsel;6021,2
21444;42736;106;6,48;Materialmangel;13019,79
3830;465231;76;4,92;Mechanischer Defekt;4326,21
40529;150412;216;11,04;Mechanischer Defekt;21286,6
9555;747775;127;0,37;Materialmangel;744,4
19688;616555;265;1,62;Elektrischer Defekt;1302,99
47684;611585;109;11,66;Elektrischer Defekt;26672,84
31375;366935;196;5,13;Mechanischer Defekt;3327,71
30226;704775;14;11,92;Elektrischer Defekt;13324,58
37734;458624;217;3,73;Elektrischer Defekt;6463,09
49;215352;21;5,37;Materialmangel;10314,43
36174;685883;138;4,85;Werkzeugwechsel;11445,59
20480;785811;135;1,63;Elektrischer Defekt;3428,43
37115;535578;140;1,33;Mechanischer Defekt;2527,58
1549;184180;25;2,03;Mechanischer Defekt;1836,08
24666;475730;113;0,41;Elektrischer Defekt;972,32
7514;494218;165;15,46;Mechanischer Defekt;24986,5
45015;307138;295;6,45;Elektrischer Defekt;5168,34
37782;8440;24;1,49;Werkzeugwechsel;2655,33
3419;551636;244;5,22;Mechanischer Defekt;2813,22
33474;195930;236;5,66;Mechanischer Defekt;11461,06
25798;24104;232;3,09;Elektrischer Defekt;3449,9
25931;623584;238;9,19;Mechanischer Defekt;10701,69
11691;425480;66;5,6;Mechanischer Defekt;7924,42
22757;745752;215;1,28;Geplante Wartung;1102,48
22933;795662;191;9,6;Geplante Wartung;13809,14
4335;660588;217;4,75;Elektrischer Defekt;10527,5
3253;83647;12;1,6;Materialmangel;878,53
45290;420168;269;2,01;Geplante Wartung;1817,73
41921;646417;284;10,53;Mechanischer Defekt;5984,61
11386;503160;27;9,96;Elektrischer Defekt;22444,96
29448;792229;250;1,66;Softwarefehler;2527,56
20987;477480;272;0,54;Geplante Wartung;929,47
49168;772573;132;5,36;Mechanischer Defekt;9438,71
12178;5799;110;18,81;Materialmangel;21320,18
20435;37631;288;4,5;Materialmangel;7790,21
42948;695167;224;1,69;Geplante Wartung;3162,51
49178;175912;233;1,81;Mechanischer Defekt;3376,74
4104;9657;287;1,88;Mechanischer Defekt;3537,46
20296;370734;79;3,02;Mechanischer Defekt;4633,44
10771;429650;212;5,23;Elektrischer Defekt;12333,02
44681;571997;224;5,21;Elektrischer Defekt;12478,84
9900;727855;235;5,84;Mechanischer Defekt;12773,73
29461;402005;90;2,35;Werkzeugwechsel;1195,33
13887;289166;176;18,71;Werkzeugwechsel;13385,93
21645;754163;197;3,22;Mechanischer Defekt;2041,09
1292;76282;181;4,68;Mechanischer Defekt;4682,01
