Energie_ID;Produktionsauftrag_ID;Maschinen_ID;Energieverbrauch;Energiekosten
134604;170509;131;4471,0;1341,3
322428;777348;256;6714,4;2014,32
153228;164182;42;2955,6;886,68
339016;786408;255;6065,6;1819,68
391561;3114;65;10817,6;3245,28
250568;268845;290;13444,2;4033,26
75365;118705;79;4483,2;1344,96
31377;321684;157;7320,5;2196,15
165871;425134;218;13014,3;3904,29
348109;488373;204;12394,5;3718,35
325096;145573;17;9502,4;2850,72
213737;301679;238;6646,4;1993,92
37888;173005;289;9026,4;2707,92
43091;221982;28;2224,5;667,35
263583;476312;266;5375,4;1612,62
291413;622653;202;3090,0;927,0
167615;398503;138;4158,0;1247,4
85550;391214;198;12903,0;3870,9
380696;86182;72;6193,1;1857,93
191143;291303;146;8771,1;2631,33
158415;170224;77;9764,7;2929,41
138554;695082;113;8609,4;2582,82
70823;280939;275;2755,2;826,56
325582;598534;70;17190,0;5157,0
343482;30729;226;2884,7;865,41
137970;56936;133;4479,5;1343,85
103918;685415;107;6418,0;1925,4
277494;403801;196;7946,0;2383,8
55781;425997;74;7085,1;2125,53
332455;769916;238;10546,9;3164,07
96492;736906;208;14470,5;4341,15
272535;176652;103;11086,2;3325,86
122109;428104;204;2164,0;649,2
100240;563840;44;6951,0;2085,3
358779;322482;73;3164,2;949,26
117803;652806;20;19724,4;5917,32
336440;109569;199;5538,0;1661,4
130282;359536;263;7524,2;2257,26
380303;621740;267;8496,4;2548,92
265362;308422;82;7457,6;2237,28
249009;275264;74;1292,4;387,72
222997;58800;272;7437,6;2231,28
377493;31705;288;7574,0;2272,2
217904;21799;285;4715,2;1414,56
317643;698397;34;2347,8;704,34
162522;274071;1;6474,0;1942,2
190312;643671;128;3163,2;948,96
361125;210241;55;8184,0;2455,2
70892;519466;131;4684,9;1405,47
97155;422165;183;13986,0;4195,8
78285;598992;9;4438,8;1331,64
72938;678417;154;2412,3;723,69
178883;105582;271;8919,0;2675,7
180898;742581;234;831,0;249,3
398455;390351;162;11340,8;3402,24
383642;681227;14;1405,2;421,56
210470;410417;174;10456,0;3136,8
375492;311198;196;9500,0;2850,0
298481;447131;114;4897,2;1469,16
311343;694166;155;4244,4;1273,32
46774;15622;293;18498,4;5549,52
213655;608110;251;8443,6;2533,08
164204;593757;282;6537,3;1961,19
352698;776568;254;10364,4;3109,32
153037;562086;295;3173,5;952,05
242310;747325;96;9718,2;2915,46
271573;336969;190;10418,4;3125,52
218999;309647;197;3464,0;1039,2
81634;77753;292;3170,4;951,12
17831;657455;289;3148,6;944,58
275780;673726;201;9088,2;2726,46
322180;113756;44;15758,4;4727,52
242455;155076;278;12225,6;3667,68
389891;142093;111;4359,6;1307,88
13229;384591;105;2810,1;843,03
101470;76664;197;13496,6;4048,98
12279;462199;106;14607,2;4382,16
254240;545330;103;3724,5;1117,35
207868;370569;12;9543,8;2863,14
59193;140554;163;12417,6;3725,28
363777;653701;37;5199,0;1559,7
50548;782304;21;20206,0;6061,8
190082;218018;99;2572,8;771,84
329009;253361;129;1530,0;459,0
50128;239137;95;17526,0;5257,8
141503;559825;259;6733,2;2019,96
364312;614304;26;5131,2;1539,36
273083;377965;75;20394,0;6118,2
23323;526351;156;1969,5;590,85
374765;293035;183;12259,5;3677,85
288101;450885;278;7525,7;2257,71
161434;201239;50;4428,2;1328,46
207514;576809;162;5398,5;1619,55
74876;262495;129;7070,8;2121,24
166683;149928;232;7240,5;2172,15
53331;377818;272;12479,2;3743,76
391355;496080;17;12162,8;3648,84
183212;375643;95;15620,4;4686,12
380154;415282;78;7510,8;2253,24
145194;1120;12;7001,5;2100,45
200332;81560;17;704,0;211,2
272399;776720;84;10427,2;3128,16
89362;506091;16;8142,0;2442,6
371395;543713;1;6794,0;2038,2
361218;75650;120;9426,0;2827,8
225931;130293;207;7087,5;2126,25
96215;8677;146;1552,3;465,69
388184;121222;32;8530,6;2559,18
322022;421178;37;8826,4;2647,92
31244;406323;52;8934,8;2680,44
192926;361691;36;13533,7;4060,11
171428;713566;167;14249,4;4274,82
276562;16786;191;2989,2;896,76
278630;426896;293;16960,0;5088,0
113405;49703;101;4006,4;1201,92
288222;389100;96;982,5;294,75
150063;344304;76;5173,3;1551,99
195221;52814;148;5038,8;1511,64
62837;650716;236;6565,5;1969,65
149013;580739;27;4744,8;1423,44
117301;287075;191;4979,7;1493,91
293180;345654;116;8800,8;2640,24
343032;81375;8;13212,0;3963,6
184804;455516;219;6526,5;1957,95
51721;109657;5;13007,4;3902,22
206818;296327;172;9624,0;2887,2
349144;130743;298;12628,8;3788,64
117182;393639;204;2697,2;809,16
269981;125086;276;2377,2;713,16
63099;267468;252;5667,8;1700,34
365573;189460;287;14034,8;4210,44
31007;196748;62;1909,5;572,85
394607;556999;24;8691,1;2607,33
203555;314276;299;6881,4;2064,42
38228;329418;83;7992,6;2397,78
257867;75385;209;5202,0;1560,6
300305;209006;68;7191,8;2157,54
339623;593313;180;10651,4;3195,42
105953;740280;24;8374,4;2512,32
320390;136349;63;2604,4;781,32
356323;653214;255;6337,5;1901,25
294520;159724;48;4501,6;1350,48
26102;378953;16;1537,1;461,13
215614;347080;296;3754,8;1126,44
358190;646194;92;10584,2;3175,26
106326;4124;56;14282,4;4284,72
191193;326495;71;6462,0;1938,6
84351;548400;186;4576,0;1372,8
56522;546088;262;14964,4;4489,32
94939;668716;132;13696,9;4109,07
142087;373694;145;4645,2;1393,56
171210;147540;190;2788,8;836,64
331734;206078;169;12470,0;3741,0
179171;253376;159;10584,0;3175,2
137411;459181;101;5416,8;1625,04
272203;671052;207;3486,6;1045,98
202549;235212;235;1219,8;365,94
296554;420005;85;14059,0;4217,7
146080;348460;24;6398,4;1919,52
11909;532061;279;7288,6;2186,58
313346;152688;135;5067,0;1520,1
223520;734641;238;926,8;278,04
5728;599032;54;26142,0;7842,6
345466;378118;193;18126,0;5437,8
108156;236254;93;14244,0;4273,2
181692;604971;58;10521,6;3156,48
136702;699726;178;5295,5;1588,65
298979;785602;55;2214,0;664,2
155907;203029;260;3858,8;1157,64
18078;305046;132;4374,0;1312,2
335736;722585;281;4213,0;1263,9
250462;347482;48;3402,0;1020,6
336551;481964;41;7385,6;2215,68
118183;555454;284;3301,2;990,36
97718;192861;244;14136,0;4240,8
231866;450800;207;3900,0;1170,0
50595;108869;191;2997,4;899,22
174501;340943;145;12349,4;3704,82
373700;759986;270;5704,4;1711,32
21518;709020;61;7725,6;2317,68
370365;548076;200;11238,5;3371,55
252145;143258;22;8139,6;2441,88
380501;69484;3;13842,0;4152,6
172005;284603;295;1349,7;404,91
154956;392025;267;9447,2;2834,16
195622;767583;181;10378,8;3113,64
379775;369076;211;17587,2;5276,16
346014;567249;90;11889,0;3566,7
163935;702245;149;13376,0;4012,8
163624;137978;210;3406,0;1021,8
33553;30608;129;8500,0;2550,0
352751;290287;80;1663,2;498,96
336450;385990;84;7117,6;2135,28
35045;109153;110;6021,0;1806,3
185607;225705;129;6458,2;1937,46
144084;682870;272;16474,7;4942,41
182520;427294;222;12806,0;3841,8
371195;106295;95;20014,2;6004,26
346249;630747;57;7449,4;2234,82
131434;11624;145;10334,1;3100,23
373356;105496;283;3775,2;1132,56
44463;735681;213;7317,0;2195,1
263440;536636;103;18918,0;5675,4
274653;122607;257;3687,9;1106,37
359857;713178;218;6505,2;1951,56
285368;106278;229;22271,7;6681,51
259768;416048;278;5155,2;1546,56
70853;435167;76;7452,0;2235,6
340788;208452;169;4811,8;1443,54
168018;555206;47;6803,2;2040,96
10728;262166;203;9345,6;2803,68
15966;92370;206;1024,0;307,2
365004;626671;128;11679,8;3503,94
255564;649775;289;2338,0;701,4
277423;302066;129;10379,7;3113,91
283386;225629;289;13595,4;4078,62
20576;696366;96;12606,0;3781,8
24934;223215;222;10776,3;3232,89
88040;534085;157;16376,0;4912,8
266611;693270;34;8259,2;2477,76
106904;350139;224;10558,8;3167,64
253336;653243;25;2484,3;745,29
242670;768222;247;19724,4;5917,32
251205;199939;23;17662,4;5298,72
30033;763193;208;18309,0;5492,7
348472;288430;275;3397,5;1019,25
108991;531814;240;4428,0;1328,4
392106;318212;277;13024,7;3907,41
337241;511664;271;4591,4;1377,42
192638;79338;143;8883,6;2665,08
218440;731037;233;4692,0;1407,6
145996;66958;127;4697,0;1409,1
62483;182870;126;5202,0;1560,6
133790;161445;282;784,8;235,44
155084;227579;113;7964,8;2389,44
252675;633016;79;12958,0;3887,4
242528;352721;116;2660,4;798,12
230845;3132;259;6969,6;2090,88
59222;381825;256;3644,4;1093,32
165198;510789;106;2048,4;614,52
317939;438904;189;9960,3;2988,09
88725;237342;132;13690,0;4107,0
385829;111167;69;12592,5;3777,75
394946;88988;178;16126,4;4837,92
133637;119862;32;11825,6;3547,68
90943;591102;292;6441,6;1932,48
243830;631775;42;8253,0;2475,9
24106;649171;225;5079,6;1523,88
112698;778050;184;11064,6;3319,38
368574;124666;223;6897,6;2069,28
63075;104002;139;11748,7;3524,61
98237;630775;171;2560,8;768,24
13835;78950;262;2217,6;665,28
297374;95266;15;5976,0;1792,8
175515;356390;283;9000,0;2700,0
