Finanz_ID;Produktionsauftrag_ID;Umsatz;Materialkosten;Energiekosten;Produktionskosten;Gewinn
132592;132657;612547,52;21068,0;2418,24;31342,24;581205,28
156686;309565;1454922,39;34803,25;3516,96;44174,21;1410748,18
243069;638539;2424733,88;53237,5;5110,8;66788,3;2357945,58
340213;356287;440820,38;10260,25;1021,02;12896,27;427924,11
241821;402286;219180,0;4687,5;450,0;6115,5;213064,5
318335;582063;1262538,68;32704,75;3518,58;42259,33;1220279,35
3754;335114;1113367,64;23303,5;2354,88;28441,38;1084926,26
45882;151999;548866,41;27884,62;3200,67;37250,3;511616,12
297119;355807;737449,2;16886,25;1706,4;21959,65;715489,55
249535;156640;515198,58;17747,38;2037,09;25820,46;489378,11
225749;8714;766194,96;25031,5;2772,72;32589,22;733605,74
27234;463969;849093,76;18722,0;1838,16;25034,16;824059,6
230094;105168;143515,02;4067,25;437,58;5262,83;138252,19
368306;176661;1321159,84;33926,75;3758,04;46996,79;1274163,05
69539;238788;697229,5;18700,0;1963,5;24083,5;673146,0
276458;284255;422409,68;10577,75;1138,02;14278,77;408130,91
138044;330101;2711160,41;59174,5;5809,86;72537,36;2638623,05
112057;385805;226922,8;7115,88;765,57;9496,44;217426,36
108663;453568;386576,46;13279,5;1470,96;19512,46;367064,0
333095;785406;258998,4;11730,0;1346,4;18422,4;240576,0
194558;541013;461794,56;11568,0;1214,64;15254,64;446539,92
293601;393334;1303381,2;30618,5;3094,08;39111,58;1264269,62
120039;189884;989628,57;22048,88;2139,21;29117,09;960511,48
20433;481481;593893,7;12815,0;1258,2;17220,2;576673,5
119378;223479;1427892,06;34912,38;3756,09;45106,46;1382785,59
363467;243738;1840017,2;39578,0;3885,84;52108,84;1787908,36
2649;658744;481497,59;15177,12;1742,07;22083,2;459414,39
281774;590594;491629,32;15576,75;1787,94;24553,69;467075,63
358524;756582;1197057,6;30555,0;3142,8;40264,8;1156792,8
141590;234039;588179,35;22991,38;2639,01;30817,38;557361,96
44239;343139;880661,16;17131,5;1662,12;21030,62;859630,54
295122;228098;1024197,64;31479,5;3486,96;40001,46;984196,18
391413;360946;1401023,6;35761,25;3678,3;46044,55;1354979,05
50811;617194;1064080,6;29480,0;3095,4;39923,4;1024157,2
231213;329336;145025,52;3421,0;335,88;4446,88;140578,64
13472;228652;379221,66;11747,25;1348,38;15620,63;363601,03
56836;220269;710219,3;25846,25;2780,7;34412,95;675806,35
272076;721387;213160,5;4807,25;478,38;6119,63;207040,87
108121;395322;478252,68;11131,5;1107,72;14180,22;464072,46
63507;87101;291024,72;6949,5;691,56;9074,06;281950,66
13746;218887;2356817,68;59795,75;5801,46;73620,21;2283197,47
77364;99932;810373,0;19856,0;2084,88;25140,88;785232,12
99018;346591;1859142,45;41052,0;4310,46;52930,46;1806211,99
83496;60626;246366,72;13294,0;1525,92;18550,92;227815,8
184287;293821;458309,07;11100,75;1121,76;15513,51;442795,56
306866;231087;461354,4;10578,75;1088,1;13539,85;447814,55
209254;140007;153303,36;3444,0;342,72;4385,72;148917,64
297952;458882;1884165,96;44445,5;4363,74;55960,24;1828205,72
