Forecast_ID;Jahr;Monat;Produktgruppe;Geplante_Menge;Tatsaechliche_Menge
2839;2024;2;Metallkomponenten;17925;19422
1208;2023;5;Kunststoffteile;93201;103329
1100;2023;5;Elektronik;37719;37298
4065;2024;8;Kunststoffteile;77945;83394
5;2024;12;Metallkomponenten;93545;84224
1888;2022;9;Getriebeteile;66296;60547
2317;2022;10;Motorenteile;28967;26415
4749;2020;4;Kunststoffteile;85930;78403
9;2022;2;Motorenteile;14665;15598
4460;2022;6;Motorenteile;41154;46473
1364;2022;9;Motorenteile;26874;23809
4070;2025;2;Elektronik;67313;77199
2025;2020;2;Metallkomponenten;55462;52941
14;2024;10;Getriebeteile;46950;51936
2603;2020;7;Sicherheitsbauteile;8504;9459
3035;2025;11;Kunststoffteile;36162;35245
2785;2020;12;Sicherheitsbauteile;53092;57194
3396;2022;6;Sicherheitsbauteile;22236;19872
2859;2021;1;Metallkomponenten;64783;64913
3476;2024;7;Getriebeteile;83720;93894
2907;2025;6;Motorenteile;4936;5456
22;2020;4;Kunststoffteile;19095;18548
937;2023;9;Elektronik;31484;34003
4689;2020;8;Motorenteile;7376;8227
4741;2022;3;Getriebeteile;62794;59819
4057;2024;12;Metallkomponenten;55431;57317
27;2023;10;Getriebeteile;92238;93601
4595;2025;12;Kunststoffteile;20928;23706
4245;2021;12;Metallkomponenten;78989;70458
4562;2020;11;Getriebeteile;79311;71616
4984;2024;8;Metallkomponenten;93526;85434
1405;2024;4;Metallkomponenten;72745;72713
4568;2022;11;Metallkomponenten;95520;94707
2981;2025;10;Getriebeteile;79872;77238
2046;2024;6;Metallkomponenten;74758;79214
3960;2020;9;Motorenteile;79455;70789
3350;2023;10;Sicherheitsbauteile;29207;27768
2374;2023;2;Metallkomponenten;69165;74404
4551;2020;8;Elektronik;10605;10514
40;2023;8;Getriebeteile;44832;46631
1425;2022;1;Getriebeteile;73489;80751
2390;2022;9;Kunststoffteile;60886;56354
3860;2021;1;Sicherheitsbauteile;21405;21879
3900;2020;2;Elektronik;43844;50038
3272;2022;5;Metallkomponenten;62683;60476
2394;2024;7;Kunststoffteile;46489;44764
4810;2022;7;Motorenteile;68782;75920
2710;2022;3;Sicherheitsbauteile;50456;55839
1141;2022;6;Sicherheitsbauteile;23502;20262
930;2020;9;Elektronik;28097;24469
1853;2025;10;Getriebeteile;55235;47897
52;2021;12;Kunststoffteile;17997;17887
53;2021;11;Kunststoffteile;35640;39784
2875;2021;8;Sicherheitsbauteile;58879;58028
2940;2024;10;Elektronik;28835;25163
4063;2024;6;Elektronik;48411;52567
4069;2024;12;Sicherheitsbauteile;28358;25811
972;2023;12;Getriebeteile;45763;42631
1062;2024;10;Elektronik;81691;78543
2588;2021;8;Kunststoffteile;25194;28248
61;2023;7;Sicherheitsbauteile;22770;22724
1207;2020;11;Metallkomponenten;94141;82467
3351;2024;7;Kunststoffteile;34241;30973
2441;2022;6;Elektronik;31498;30728
2526;2021;10;Sicherheitsbauteile;68561;67708
2032;2023;8;Elektronik;38146;34925
2866;2022;9;Motorenteile;68902;77795
2655;2021;8;Elektronik;87732;97996
1758;2025;1;Getriebeteile;5521;5973
1870;2023;8;Kunststoffteile;29702;26229
2800;2020;7;Metallkomponenten;79108;83581
72;2025;10;Sicherheitsbauteile;11247;10605
4950;2020;5;Motorenteile;1169;1108
3601;2023;12;Sicherheitsbauteile;18426;20157
4238;2022;2;Motorenteile;57234;49966
1903;2025;10;Elektronik;7940;8135
1892;2025;7;Kunststoffteile;71233;73380
4675;2021;2;Getriebeteile;13651;14242
3109;2021;12;Kunststoffteile;2505;2195
3637;2021;6;Motorenteile;25315;24928
81;2021;2;Motorenteile;16051;16243
82;2025;12;Getriebeteile;5314;4831
1432;2020;1;Sicherheitsbauteile;99923;96414
4481;2025;7;Metallkomponenten;22677;25988
3108;2020;2;Kunststoffteile;82257;80288
2284;2023;6;Metallkomponenten;24404;26664
3674;2022;11;Motorenteile;45864;46072
1671;2022;6;Metallkomponenten;28075;30377
1979;2022;8;Kunststoffteile;62339;55903
3386;2024;2;Motorenteile;34700;29711
1272;2020;5;Kunststoffteile;59473;54824
1851;2022;2;Elektronik;74124;77917
3405;2023;9;Kunststoffteile;87643;89940
1807;2025;3;Elektronik;43185;44667
1280;2024;1;Motorenteile;79229;75750
4948;2024;8;Getriebeteile;24560;25100
2070;2023;5;Kunststoffteile;84098;92543
3588;2021;10;Elektronik;70806;80466
2485;2025;7;Metallkomponenten;89730;88567
1747;2023;2;Sicherheitsbauteile;1020;1168
101;2024;1;Metallkomponenten;7829;7040
1986;2022;6;Elektronik;8443;8486
1653;2021;4;Motorenteile;10597;11347
3643;2022;9;Elektronik;33743;37768
4035;2024;6;Motorenteile;70854;69436
2626;2023;5;Motorenteile;81520;81526
3043;2020;1;Motorenteile;51388;49361
2833;2022;9;Kunststoffteile;50606;50179
830;2023;5;Kunststoffteile;81591;86955
3313;2024;4;Kunststoffteile;71815;62080
3480;2020;12;Kunststoffteile;60757;61201
112;2020;4;Sicherheitsbauteile;89242;101823
4660;2020;7;Elektronik;35062;38028
4337;2023;11;Sicherheitsbauteile;76519;67891
3419;2025;3;Sicherheitsbauteile;53189;49501
4593;2023;2;Elektronik;46167;44875
3581;2020;7;Getriebeteile;50757;55422
4539;2022;10;Motorenteile;53414;60744
4629;2021;8;Kunststoffteile;80737;72221
3546;2023;8;Kunststoffteile;8141;8597
3486;2021;9;Getriebeteile;6620;6842
1148;2024;9;Motorenteile;82165;75380
4597;2025;8;Elektronik;40599;38070
1059;2025;2;Kunststoffteile;36950;42347
125;2022;1;Sicherheitsbauteile;86970;75589
4458;2020;8;Getriebeteile;24897;27425
3191;2020;12;Metallkomponenten;65482;68915
3562;2025;9;Metallkomponenten;24908;21405
1879;2025;7;Metallkomponenten;67198;71208
4013;2022;9;Sicherheitsbauteile;60618;53726
4037;2024;9;Elektronik;78015;67765
132;2024;12;Elektronik;50223;49937
4957;2025;2;Kunststoffteile;54987;60459
2633;2024;1;Elektronik;85458;73692
4267;2022;12;Sicherheitsbauteile;7590;7517
3059;2022;12;Sicherheitsbauteile;9389;10532
137;2021;8;Metallkomponenten;76023;72953
138;2025;11;Elektronik;81140;80420
1506;2023;1;Sicherheitsbauteile;16305;18107
140;2020;8;Metallkomponenten;28201;26888
2583;2023;5;Metallkomponenten;91674;82043
2402;2021;12;Metallkomponenten;98911;85029
2232;2025;10;Getriebeteile;49469;42441
1227;2020;4;Motorenteile;52142;47747
4861;2024;9;Sicherheitsbauteile;93203;98422
4036;2024;9;Sicherheitsbauteile;57088;57899
1676;2022;3;Sicherheitsbauteile;87753;79883
3175;2020;6;Sicherheitsbauteile;26277;25448
1984;2025;11;Getriebeteile;44826;41753
4389;2022;7;Elektronik;78332;71106
3041;2025;4;Getriebeteile;78891;74004
3722;2023;5;Sicherheitsbauteile;92192;86143
4579;2022;10;Getriebeteile;18667;21413
154;2024;11;Elektronik;67330;72474
4602;2021;5;Kunststoffteile;27804;26123
4215;2024;5;Kunststoffteile;10360;10643
3274;2025;11;Getriebeteile;12154;13297
3472;2024;6;Kunststoffteile;38696;39223
2014;2024;1;Elektronik;37895;43167
1847;2023;7;Getriebeteile;63059;70689
161;2021;3;Motorenteile;18358;17512
2887;2022;12;Kunststoffteile;69748;71123
3610;2023;3;Motorenteile;89177;92422
3037;2025;9;Getriebeteile;86924;83947
2883;2021;10;Motorenteile;65600;62739
4388;2022;9;Sicherheitsbauteile;97220;106994
1948;2024;8;Motorenteile;20359;17660
168;2023;11;Getriebeteile;77749;78230
2635;2025;2;Elektronik;18245;17287
