Datum;Jahr;Quartal;Monat;Monatsname;KW;Wochentag;Wochenende
2024-01-13;2024;1;1;January;2;Saturday;True
2020-01-02;2020;1;1;January;1;Thursday;False
2025-06-06;2025;2;6;June;23;Friday;False
2024-06-23;2024;2;6;June;25;Sunday;True
2025-12-11;2025;4;12;December;50;Thursday;False
2020-01-06;2020;1;1;January;2;Monday;False
2020-01-07;2020;1;1;January;2;Tuesday;False
2022-09-13;2022;3;9;September;37;Tuesday;False
2023-02-16;2023;1;2;February;7;Thursday;False
2020-01-10;2020;1;1;January;2;Friday;False
2023-12-26;2023;4;12;December;52;Tuesday;False
2024-05-30;2024;2;5;May;22;Thursday;False
2020-01-13;2020;1;1;January;3;Monday;False
2020-01-14;2020;1;1;January;3;Tuesday;False
2022-04-05;2022;2;4;April;14;Tuesday;False
2025-12-20;2025;4;12;December;51;Saturday;True
2025-10-25;2025;4;10;October;43;Saturday;True
2020-01-18;2020;1;1;January;3;Saturday;True
2020-01-19;2020;1;1;January;3;Sunday;True
2025-06-30;2025;2;6;June;27;Monday;False
2025-11-19;2025;4;11;November;47;Wednesday;False
2020-01-22;2020;1;1;January;4;Wednesday;False
2020-01-23;2020;1;1;January;4;Thursday;False
2020-01-24;2020;1;1;January;4;Friday;False
2020-01-25;2020;1;1;January;4;Saturday;True
2025-01-19;2025;1;1;January;3;Sunday;True
2024-08-30;2024;3;8;August;35;Friday;False
2023-10-13;2023;4;10;October;41;Friday;False
2024-09-13;2024;3;9;September;37;Friday;False
2020-01-30;2020;1;1;January;5;Thursday;False
2022-06-23;2022;2;6;June;25;Thursday;False
2023-04-12;2023;2;4;April;15;Wednesday;False
2020-02-02;2020;1;2;February;5;Sunday;True
2020-02-03;2020;1;2;February;6;Monday;False
2025-03-04;2025;1;3;March;10;Tuesday;False
2025-01-11;2025;1;1;January;2;Saturday;True
2023-05-01;2023;2;5;May;18;Monday;False
2020-02-07;2020;1;2;February;6;Friday;False
2020-02-08;2020;1;2;February;6;Saturday;True
2020-02-09;2020;1;2;February;6;Sunday;True
2020-02-10;2020;1;2;February;7;Monday;False
2022-07-04;2022;3;7;July;27;Monday;False
2024-09-02;2024;3;9;September;36;Monday;False
2020-02-13;2020;1;2;February;7;Thursday;False
2020-02-14;2020;1;2;February;7;Friday;False
2024-10-18;2024;4;10;October;42;Friday;False
2020-02-16;2020;1;2;February;7;Sunday;True
2024-02-27;2024;1;2;February;9;Tuesday;False
2022-11-21;2022;4;11;November;47;Monday;False
2024-07-06;2024;3;7;July;27;Saturday;True
2022-05-30;2022;2;5;May;22;Monday;False
2020-02-21;2020;1;2;February;8;Friday;False
2020-02-22;2020;1;2;February;8;Saturday;True
2025-01-29;2025;1;1;January;5;Wednesday;False
2020-02-24;2020;1;2;February;9;Monday;False
2020-02-25;2020;1;2;February;9;Tuesday;False
2022-09-09;2022;3;9;September;36;Friday;False
2020-02-27;2020;1;2;February;9;Thursday;False
2023-04-20;2023;2;4;April;16;Thursday;False
2024-10-03;2024;4;10;October;40;Thursday;False
2020-03-01;2020;1;3;March;9;Sunday;True
2025-07-28;2025;3;7;July;31;Monday;False
2020-03-03;2020;1;3;March;10;Tuesday;False
2023-07-30;2023;3;7;July;30;Sunday;True
2020-03-05;2020;1;3;March;10;Thursday;False
2020-03-06;2020;1;3;March;10;Friday;False
2025-04-06;2025;2;4;April;14;Sunday;True
2022-09-05;2022;3;9;September;36;Monday;False
2023-03-29;2023;1;3;March;13;Wednesday;False
2020-03-10;2020;1;3;March;11;Tuesday;False
2022-09-24;2022;3;9;September;38;Saturday;True
2020-03-12;2020;1;3;March;11;Thursday;False
2023-02-17;2023;1;2;February;7;Friday;False
2022-10-28;2022;4;10;October;43;Friday;False
2020-03-15;2020;1;3;March;11;Sunday;True
2020-03-16;2020;1;3;March;12;Monday;False
2022-03-14;2022;1;3;March;11;Monday;False
2022-07-20;2022;3;7;July;29;Wednesday;False
2024-03-01;2024;1;3;March;9;Friday;False
2025-07-10;2025;3;7;July;28;Thursday;False
2024-09-12;2024;3;9;September;37;Thursday;False
2020-03-22;2020;1;3;March;12;Sunday;True
2025-11-23;2025;4;11;November;47;Sunday;True
2020-03-24;2020;1;3;March;13;Tuesday;False
2023-05-11;2023;2;5;May;19;Thursday;False
2020-03-26;2020;1;3;March;13;Thursday;False
2022-05-20;2022;2;5;May;20;Friday;False
2020-03-28;2020;1;3;March;13;Saturday;True
2024-07-15;2024;3;7;July;29;Monday;False
2023-07-18;2023;3;7;July;29;Tuesday;False
2025-02-10;2025;1;2;February;7;Monday;False
2024-04-06;2024;2;4;April;14;Saturday;True
2022-05-03;2022;2;5;May;18;Tuesday;False
2020-04-03;2020;2;4;April;14;Friday;False
2022-12-08;2022;4;12;December;49;Thursday;False
2025-10-02;2025;4;10;October;40;Thursday;False
2022-10-24;2022;4;10;October;43;Monday;False
2025-01-05;2025;1;1;January;1;Sunday;True
2022-06-27;2022;2;6;June;26;Monday;False
2020-04-09;2020;2;4;April;15;Thursday;False
2020-04-10;2020;2;4;April;15;Friday;False
2025-05-31;2025;2;5;May;22;Saturday;True
2025-07-18;2025;3;7;July;29;Friday;False
2020-04-13;2020;2;4;April;16;Monday;False
2020-04-14;2020;2;4;April;16;Tuesday;False
2020-04-15;2020;2;4;April;16;Wednesday;False
2022-08-15;2022;3;8;August;33;Monday;False
2023-09-26;2023;3;9;September;39;Tuesday;False
2024-04-01;2024;2;4;April;14;Monday;False
2024-01-18;2024;1;1;January;3;Thursday;False
2025-09-01;2025;3;9;September;36;Monday;False
2024-02-12;2024;1;2;February;7;Monday;False
2020-04-22;2020;2;4;April;17;Wednesday;False
2024-10-31;2024;4;10;October;44;Thursday;False
2025-02-28;2025;1;2;February;9;Friday;False
2024-05-28;2024;2;5;May;22;Tuesday;False
2020-04-26;2020;2;4;April;17;Sunday;True
2024-02-08;2024;1;2;February;6;Thursday;False
2020-04-28;2020;2;4;April;18;Tuesday;False
2023-09-09;2023;3;9;September;36;Saturday;True
2024-11-02;2024;4;11;November;44;Saturday;True
2024-04-26;2024;2;4;April;17;Friday;False
2023-02-02;2023;1;2;February;5;Thursday;False
2022-11-09;2022;4;11;November;45;Wednesday;False
2020-05-04;2020;2;5;May;19;Monday;False
2024-06-24;2024;2;6;June;26;Monday;False
2023-06-11;2023;2;6;June;23;Sunday;True
2024-06-04;2024;2;6;June;23;Tuesday;False
2024-12-03;2024;4;12;December;49;Tuesday;False
2020-05-09;2020;2;5;May;19;Saturday;True
2025-08-12;2025;3;8;August;33;Tuesday;False
2020-05-11;2020;2;5;May;20;Monday;False
2023-05-08;2023;2;5;May;19;Monday;False
2024-03-08;2024;1;3;March;10;Friday;False
2025-08-07;2025;3;8;August;32;Thursday;False
2024-01-24;2024;1;1;January;4;Wednesday;False
2020-05-16;2020;2;5;May;20;Saturday;True
2023-03-31;2023;1;3;March;13;Friday;False
2020-05-18;2020;2;5;May;21;Monday;False
2022-07-05;2022;3;7;July;27;Tuesday;False
2020-05-20;2020;2;5;May;21;Wednesday;False
2022-09-15;2022;3;9;September;37;Thursday;False
2025-06-02;2025;2;6;June;23;Monday;False
2020-05-23;2020;2;5;May;21;Saturday;True
2025-05-24;2025;2;5;May;21;Saturday;True
2020-05-25;2020;2;5;May;22;Monday;False
2020-05-26;2020;2;5;May;22;Tuesday;False
2023-04-09;2023;2;4;April;14;Sunday;True
2023-05-14;2023;2;5;May;19;Sunday;True
2020-05-29;2020;2;5;May;22;Friday;False
2020-05-30;2020;2;5;May;22;Saturday;True
2023-01-08;2023;1;1;January;1;Sunday;True
2024-08-16;2024;3;8;August;33;Friday;False
2020-06-02;2020;2;6;June;23;Tuesday;False
2022-03-21;2022;1;3;March;12;Monday;False
2020-06-04;2020;2;6;June;23;Thursday;False
2020-06-05;2020;2;6;June;23;Friday;False
2025-08-29;2025;3;8;August;35;Friday;False
2020-06-07;2020;2;6;June;23;Sunday;True
2022-04-23;2022;2;4;April;16;Saturday;True
2022-08-08;2022;3;8;August;32;Monday;False
2024-03-30;2024;1;3;March;13;Saturday;True
2023-05-26;2023;2;5;May;21;Friday;False
2020-06-12;2020;2;6;June;24;Friday;False
2022-11-26;2022;4;11;November;47;Saturday;True
2022-10-04;2022;4;10;October;40;Tuesday;False
2024-04-24;2024;2;4;April;17;Wednesday;False
2024-03-22;2024;1;3;March;12;Friday;False
2020-06-17;2020;2;6;June;25;Wednesday;False
2024-11-15;2024;4;11;November;46;Friday;False
2023-12-30;2023;4;12;December;52;Saturday;True
2020-06-20;2020;2;6;June;25;Saturday;True
2025-09-15;2025;3;9;September;38;Monday;False
2024-05-19;2024;2;5;May;20;Sunday;True
2020-06-23;2020;2;6;June;26;Tuesday;False
2020-06-24;2020;2;6;June;26;Wednesday;False
2020-06-25;2020;2;6;June;26;Thursday;False
2020-06-26;2020;2;6;June;26;Friday;False
2020-06-27;2020;2;6;June;26;Saturday;True
2020-06-28;2020;2;6;June;26;Sunday;True
2020-06-29;2020;2;6;June;27;Monday;False
2025-10-16;2025;4;10;October;42;Thursday;False
2020-07-01;2020;3;7;July;27;Wednesday;False
2020-07-02;2020;3;7;July;27;Thursday;False
2020-07-03;2020;3;7;July;27;Friday;False
2024-06-22;2024;2;6;June;25;Saturday;True
2024-12-25;2024;4;12;December;52;Wednesday;False
2020-07-06;2020;3;7;July;28;Monday;False
2025-04-17;2025;2;4;April;16;Thursday;False
2025-10-21;2025;4;10;October;43;Tuesday;False
2020-07-09;2020;3;7;July;28;Thursday;False
2025-08-17;2025;3;8;August;33;Sunday;True
2020-07-11;2020;3;7;July;28;Saturday;True
2025-10-24;2025;4;10;October;43;Friday;False
2024-05-20;2024;2;5;May;21;Monday;False
2023-12-09;2023;4;12;December;49;Saturday;True
2020-07-15;2020;3;7;July;29;Wednesday;False
2022-06-25;2022;2;6;June;25;Saturday;True
2023-01-19;2023;1;1;January;3;Thursday;False
2020-07-18;2020;3;7;July;29;Saturday;True
2023-11-30;2023;4;11;November;48;Thursday;False
2020-07-20;2020;3;7;July;30;Monday;False
2025-07-03;2025;3;7;July;27;Thursday;False
2023-05-15;2023;2;5;May;20;Monday;False
2024-04-12;2024;2;4;April;15;Friday;False
2022-06-19;2022;2;6;June;24;Sunday;True
2020-07-25;2020;3;7;July;30;Saturday;True
2020-07-26;2020;3;7;July;30;Sunday;True
2022-03-13;2022;1;3;March;10;Sunday;True
2020-07-28;2020;3;7;July;31;Tuesday;False
2020-07-29;2020;3;7;July;31;Wednesday;False
2020-07-30;2020;3;7;July;31;Thursday;False
2023-08-05;2023;3;8;August;31;Saturday;True
2020-08-01;2020;3;8;August;31;Saturday;True
2020-08-02;2020;3;8;August;31;Sunday;True
2020-08-03;2020;3;8;August;32;Monday;False
2025-05-06;2025;2;5;May;19;Tuesday;False
2020-08-05;2020;3;8;August;32;Wednesday;False
2025-12-17;2025;4;12;December;51;Wednesday;False
2024-09-08;2024;3;9;September;36;Sunday;True
2020-08-08;2020;3;8;August;32;Saturday;True
2022-11-07;2022;4;11;November;45;Monday;False
2024-05-31;2024;2;5;May;22;Friday;False
2025-07-09;2025;3;7;July;28;Wednesday;False
2020-08-12;2020;3;8;August;33;Wednesday;False
2024-12-27;2024;4;12;December;52;Friday;False
2025-05-07;2025;2;5;May;19;Wednesday;False
2023-05-21;2023;2;5;May;20;Sunday;True
2023-11-27;2023;4;11;November;48;Monday;False
