Kunden_ID;Kundenname;Land;Branche;Bonitaet
1598;Kunde_1598;Niederlande;Automotive;A
2450;Kunde_2450;Niederlande;Luftfahrt;B
1281;Kunde_1281;Frankreich;Luftfahrt;A
4;Kunde_4;Schweiz;Luftfahrt;A
1039;Kunde_1039;Deutschland;Maschinenbau;C
1964;Kunde_1964;Frankreich;Medizintechnik;A
2713;Kunde_2713;Frankreich;Medizintechnik;B
8;Kunde_8;Niederlande;Luftfahrt;C
2766;Kunde_2766;Polen;Elektronik;A
1875;Kunde_1875;Frankreich;Automotive;B
2277;Kunde_2277;Tschechien;Luftfahrt;C
1565;Kunde_1565;Italien;Luftfahrt;A
989;Kunde_989;Frankreich;Luftfahrt;A
2458;Kunde_2458;Italien;Automotive;B
1861;Kunde_1861;Österreich;Medizintechnik;A
16;Kunde_16;Niederlande;Elektronik;B
17;Kunde_17;Polen;Elektronik;A
913;Kunde_913;Niederlande;Elektronik;A
1009;Kunde_1009;Polen;Elektronik;C
967;Kunde_967;Niederlande;Medizintechnik;A
2793;Kunde_2793;Deutschland;Luftfahrt;A
22;Kunde_22;Niederlande;Medizintechnik;B
23;Kunde_23;Frankreich;Automotive;A
1124;Kunde_1124;Schweiz;Medizintechnik;A
1428;Kunde_1428;Italien;Automotive;C
1708;Kunde_1708;Österreich;Elektronik;B
27;Kunde_27;Österreich;Medizintechnik;A
28;Kunde_28;Frankreich;Luftfahrt;A
2514;Kunde_2514;Tschechien;Automotive;C
2811;Kunde_2811;Niederlande;Medizintechnik;B
1531;Kunde_1531;Österreich;Luftfahrt;B
2453;Kunde_2453;Österreich;Elektronik;B
1912;Kunde_1912;Österreich;Maschinenbau;C
34;Kunde_34;Frankreich;Luftfahrt;B
35;Kunde_35;Österreich;Medizintechnik;C
36;Kunde_36;Niederlande;Elektronik;A
2079;Kunde_2079;Schweiz;Maschinenbau;A
1350;Kunde_1350;Niederlande;Elektronik;A
39;Kunde_39;Deutschland;Elektronik;A
2718;Kunde_2718;Italien;Elektronik;B
41;Kunde_41;Italien;Medizintechnik;B
2891;Kunde_2891;Österreich;Medizintechnik;A
2376;Kunde_2376;Polen;Automotive;B
1178;Kunde_1178;Tschechien;Maschinenbau;A
2622;Kunde_2622;Italien;Elektronik;A
1258;Kunde_1258;Italien;Medizintechnik;A
47;Kunde_47;Tschechien;Maschinenbau;A
48;Kunde_48;Schweiz;Automotive;A
1052;Kunde_1052;Deutschland;Maschinenbau;A
2325;Kunde_2325;Italien;Luftfahrt;C
51;Kunde_51;Schweiz;Maschinenbau;B
52;Kunde_52;Österreich;Luftfahrt;A
1668;Kunde_1668;Deutschland;Medizintechnik;B
2217;Kunde_2217;Österreich;Elektronik;C
