Lager_ID;Produkt_ID;Bestand;Mindestbestand;Lagerwert
53944;399;33914;2103;470019,65
120635;198;38271;2245;91892,32
124391;467;39135;2641;229352,8
66755;76;2911;4198;176153,64
9095;446;33423;527;42864,29
9690;459;11398;2080;371571,06
57049;122;21864;1385;354813,54
145263;301;28007;2313;7526,55
108256;246;21521;614;297139,73
59694;146;33348;2848;55444,53
109347;429;8997;4309;289111,12
37417;296;15450;3571;333502,24
35554;387;23247;1029;282309,1
96390;270;42529;4210;43379,19
27390;162;42742;1939;387693,06
95191;123;48236;985;321988,07
22775;159;8242;4128;96373,82
21207;113;17658;3279;95843,12
127603;314;35685;2879;120695,7
147259;263;34256;4635;76747,57
76164;44;32466;779;204143,23
146925;207;29399;1980;73285,75
45608;289;24266;4217;221710,74
83856;94;11384;2921;335799,88
20765;16;41626;544;426328,66
106000;257;33722;4778;336374,83
26100;429;14116;3019;99933,84
63305;358;19196;129;217791,96
6850;350;8947;3550;414996,72
66740;500;47390;4217;382490,15
112350;404;23446;1037;361525,29
78193;456;10052;1288;419914,92
14821;5;38728;4375;198279,52
40029;330;5770;3058;410524,2
80050;406;17399;3851;219032,66
105185;213;14267;2105;207924,34
27741;301;5563;2348;207782,95
89503;342;34216;4368;448661,13
71245;126;24254;4638;389177,93
147158;477;3754;1531;258514,5
97953;255;7646;3516;443846,65
46522;228;45835;2461;303631,9
45096;203;46384;3252;253186,2
39816;369;18949;715;381998,26
34259;41;31144;3963;278647,17
27521;77;1793;4437;91508,97
73257;31;37702;3481;365261,04
144695;130;40382;3331;360668,87
80919;338;35846;4298;330011,95
132651;62;37259;4664;258681,27
133065;388;1211;2653;40215,89
74034;397;25589;3736;277831,63
38897;241;21031;1426;325121,95
95015;361;17488;1703;404139,74
48859;461;40984;4489;6195,91
16926;23;22017;499;485647,82
19258;417;8651;4194;72910,49
27115;483;26003;2085;153539,72
20077;305;11005;4916;22888,13
130606;11;39021;1220;192017,52
66964;145;38030;4880;369292,33
60564;189;5426;1466;246569,18
104935;455;11146;1252;199665,74
13042;186;11645;2406;439755,82
54784;49;9168;385;281794,84
148776;401;23254;4366;154455,44
109137;325;43717;2644;83383,37
85392;164;17994;3955;434837,25
13575;59;40612;1147;89148,52
105477;137;39772;3283;355834,64
149134;450;14439;2495;197626,99
90174;116;9324;1141;202450,91
6443;40;46841;3035;169568,26
127222;405;37422;1447;145898,14
18009;355;24133;4668;452688,81
38614;167;1092;2587;49265,22
120173;398;10839;2038;235720,73
117431;406;16341;1167;382936,21
91855;185;35430;1675;270043,39
84522;365;34435;2943;476831,13
147017;84;35725;3587;77725,77
117342;132;29929;4138;476542,02
137487;110;47834;1369;114510,36
42766;395;6858;2926;88499,44
67592;260;4154;2095;40402,73
82915;320;38325;2765;234724,03
49401;428;12235;1287;393990,87
49569;58;17155;2750;121877,34
130565;242;40539;2731;140486,66
134976;126;2854;4840;430098,75
2854;161;18336;4695;452830,3
102480;29;7583;1783;7825,79
83853;124;40798;746;15609,38
31739;353;23311;3414;129050,48
36801;61;16994;175;358043,32
121829;47;33842;2279;97559,11
23530;496;18212;4600;391136,11
88036;437;20962;1704;2686,95
111390;221;38580;3486;136729,2
116825;186;45511;268;439353,36
122550;45;13514;4254;136765,47
35731;424;34676;1801;246399,71
70473;185;42726;696;264406,65
86228;213;1937;266;320524,09
37872;153;16514;3902;497260,1
48488;424;11786;2247;465831,63
24369;246;46863;3688;148159,11
27698;309;18593;2945;85999,97
95529;265;49639;1185;269978,32
98520;278;39596;303;411236,93
104105;259;42072;1368;382442,98
113530;28;22691;311;342501,44
94078;429;42445;1004;136999,61
85736;83;836;3524;435420,89
31753;122;5899;318;212620,08
34618;240;46571;1592;498053,99
79188;97;3606;1845;141362,3
27433;29;35165;1284;260923,3
125822;311;10284;1482;145574,6
120536;54;37241;674;453756,53
99385;237;26385;1954;191559,11
89212;83;6599;4688;89838,18
145252;363;46106;3459;458258,95
44227;114;11977;2895;93225,45
125;493;8269;130;449523,67
57303;29;31012;1122;149514,98
31978;203;5476;2624;297334,78
119539;82;18713;1380;356673,12
96612;171;46700;1150;176820,01
116106;87;16424;4326;25369,93
2643;426;20636;1828;33892,07
22927;447;3445;2113;332321,92
49309;256;41237;3377;457760,36
124638;55;5134;3779;158463,75
82539;93;21667;4823;41483,67
117929;393;16862;826;393499,91
95699;130;12827;2428;45615,76
42719;395;24290;3127;208580,44
128532;260;421;3337;329052,71
120401;307;3422;4809;408800,77
42156;178;16958;3094;73516,99
14703;89;23906;2748;212828,26
134758;487;2070;4103;12821,29
76237;39;8311;4082;312035,46
135765;133;19821;4813;334421,5
18909;279;18499;3268;26931,16
88490;192;24520;1595;274077,35
19452;338;46269;1583;108967,95
50295;487;36105;3104;373983,43
11744;332;9129;220;110941,31
145391;22;5849;2903;437117,86
138813;372;4275;2872;209171,88
83339;330;42950;728;275630,78
144538;277;31106;3873;179470,51
67278;376;7478;4553;165199,44
77152;216;42104;2305;79165,06
55555;76;4720;918;351719,81
7506;19;512;4825;34325,4
133818;88;27028;629;251047,12
74439;86;38024;990;402353,55
139512;296;33817;2486;314792,2
2612;350;19582;2896;315837,99
54171;154;46813;2903;200190,04
125738;484;30964;2578;117058,71
76435;261;4152;2049;420494,32
53615;243;29686;2510;314238,02
122116;67;16375;1196;245593,95
107065;35;29331;3524;260833,31
84557;334;35254;1755;4084,77
98386;332;21551;2781;494634,42
148221;298;36621;570;255680,4
98704;217;14016;2415;141269,23
73909;23;26399;3868;184922,9
138915;448;11659;1404;350913,89
98467;89;49671;3761;90329,24
67333;223;7039;4087;66203,07
55638;173;29570;2647;431474,65
41400;129;46989;4328;61475,3
15988;293;14952;3362;79852,18
14737;387;20663;2762;356890,44
8259;269;35073;3431;371851,87
108177;167;12596;809;472646,96
34380;186;38171;3479;163991,89
67065;307;5880;4769;451228,86
106579;322;11236;3921;139426,1
128641;448;16275;793;280292,12
9992;34;13512;1323;306619,66
7205;450;41012;3525;160778,97
61904;88;23759;2834;312501,77
22832;37;41451;118;17155,56
133827;236;19789;4089;444739,01
11570;29;14066;2871;304204,19
115185;6;44128;2022;221693,25
113203;146;21543;4503;4140,61
85558;68;2066;2348;373192,05
94654;233;40413;4445;304475,21
73326;451;19369;1804;171161,33
140364;377;16252;469;130826,91
101706;102;11792;296;105375,14
110953;57;22625;3410;467932,37
122164;442;6123;2743;360828,44
145938;383;32899;2063;415117,26
9831;81;23098;3151;246578,78
55175;255;44945;851;499968,65
148678;222;30636;1061;420732,12
87273;285;16984;3864;453402,61
38184;154;46739;4189;268466,21
89009;33;22068;3303;488872,03
149751;240;6517;2874;246752,69
109585;224;30644;1314;245400,31
101269;62;28159;3274;63287,87
110427;132;49296;1709;148821,14
110774;62;5198;1223;155821,35
44103;340;21291;2564;482352,83
39521;11;23327;4776;147150,37
41796;418;6506;1667;330628,4
140218;373;25354;835;1806,03
107378;290;2765;534;416037,59
7736;130;30050;2925;227333,52
135447;190;32769;597;454126,18
146398;151;37273;1184;92981,59
60709;215;14477;3004;1010,03
143622;441;43777;870;392942,69
19458;280;43292;4800;374065,06
144346;112;41715;225;495462,87
17077;308;9264;1380;1326,24
135454;453;41672;2183;302584,98
69760;388;32388;4441;127617,9
118119;144;27024;1210;485664,46
82142;390;38371;4200;96568,86
146484;55;19184;2671;140444,93
24162;219;17293;1197;245566,09
40653;496;1024;1841;195466,8
67049;82;47593;4283;241910,51
145860;100;40603;3987;229568,95
92154;123;39517;1189;232873,78
94770;58;32235;1629;428060,88
121962;325;49422;3454;122868,09
76439;289;41812;517;485858,4
30824;131;11312;4252;309132,97
124643;424;27583;3141;480764,14
17470;133;38228;3171;306258,77
118071;122;3325;2555;7137,14
82654;221;8036;2730;265299,29
75874;409;43987;4680;6422,34
52497;237;15133;3742;312482,29
50478;489;33767;3595;318219,06
135467;91;24464;2431;208543,82
15673;364;39157;3328;304695,04
70241;230;39703;2427;84396,06
32866;462;182;403;80013,4
128031;144;10802;4143;23718,6
11308;69;5385;3272;94263,99
86809;216;31630;3374;250169,86
30367;212;28622;1987;309322,67
79815;227;30567;853;409815,82
125162;204;5754;1422;324970,85
43754;481;34922;2300;399049,02
35634;2;24427;4840;132312,84
90903;362;3162;3116;425526,59
121220;84;514;4834;165390,84
87846;417;27167;1606;456514,7
118129;96;10389;1008;61938,46
73089;252;31099;2934;3436,05
106029;156;22949;4620;7319,0
46588;211;372;4059;181213,93
75079;210;11089;4249;198492,78
268;268;11344;3070;67037,01
57471;32;3802;2478;162472,28
142401;325;29430;3361;311368,61
102409;123;43858;3216;356561,21
109669;341;1527;1453;408230,18
136336;359;43897;4187;366088,76
46736;221;24975;2173;330397,84
41073;220;11658;2670;361957,08
132043;117;18521;4098;29239,08
8228;426;41710;2225;239318,51
133906;27;16856;1241;256913,09
97243;427;20950;4900;270462,49
61097;226;17025;3914;441565,28
101011;443;34575;4568;273674,11
120184;303;38771;1665;376441,51
100572;462;2465;3377;233150,5
5105;338;7468;2055;29109,01
77914;238;18444;3302;299095,96
123161;395;29993;3256;484295,99
71354;373;26000;3300;473117,37
101277;71;32960;673;170111,23
19980;493;10213;867;310056,19
55714;221;12359;1703;261981,84
124635;432;22671;3021;65662,72
22566;55;42475;2314;187153,4
28381;244;4148;3014;85818,57
54389;389;41158;1087;410631,51
144904;299;5080;2663;306056,02
63553;410;8521;4833;16199,99
96043;235;15175;1655;182994,89
65919;287;45534;2793;422567,55
136632;131;11905;3841;365921,37
41783;222;42781;3471;435256,0
20555;466;32051;3752;452099,96
138657;44;38894;4172;218567,22
124457;44;34659;753;477229,05
87970;222;40056;2199;348748,77
138383;488;49640;610;347674,63
137187;318;38132;139;87310,2
3419;181;40137;3247;57984,13
11872;404;19081;1318;93728,3
132601;422;24755;3314;488701,99
100345;25;9774;3508;469607,55
145085;339;10433;3855;203093,61
102335;374;32159;2542;286302,56
130879;62;38608;3318;67842,07
59003;392;34088;2057;231327,82
68973;156;11173;1895;244675,48
71334;287;40806;4306;432289,5
104091;100;24299;507;155672,51
59897;319;11984;3592;479332,53
139665;374;4584;2116;95145,08
40444;438;33750;1457;350368,16
40100;460;16106;624;127933,59
118822;492;5562;3741;213649,35
68661;199;39598;4726;118792,28
54984;167;1305;3310;281920,43
27641;361;45294;375;14335,92
129842;224;8250;2845;18175,0
84068;454;32601;2495;62792,19
24912;325;38278;123;48888,37
34511;273;43503;4801;52716,35
47235;338;13007;886;375819,98
116942;239;30011;3707;144305,78
114750;166;23137;139;376083,66
51650;91;44522;1390;76284,12
106721;361;23641;1971;470551,36
60224;252;36136;2811;174408,68
107839;320;21036;1625;393371,48
2478;214;4213;2780;6211,39
144719;8;6625;2174;276548,61
80312;65;13548;2284;210073,52
48237;70;37756;4115;306686,82
84308;323;34505;2988;461690,86
28145;63;15736;3807;100316,13
63411;234;9496;1803;321539,96
15241;348;39295;1395;370770,84
128575;372;45263;2686;167396,4
33699;422;28799;883;412020,43
55694;105;40941;4683;153126,47
47646;75;10937;2067;468929,64
140947;208;35968;1803;432771,55
36443;480;26800;3484;121561,84
58766;290;37459;1079;390088,64
15910;48;46414;3730;244208,93
68676;150;38235;4643;374748,48
11647;450;30705;3415;477475,85
126901;470;25313;2992;80853,37
33261;352;6127;3105;3250,09
95653;110;14721;1767;7899,11
64198;282;15203;3678;348509,67
28583;182;23018;1900;135225,29
70834;14;42017;4960;452337,08
132262;332;19607;1256;239399,83
54844;475;2029;4028;358564,94
87219;400;43438;542;496930,65
25754;221;7363;2166;216908,88
88810;230;36764;2242;233806,42
124222;194;3980;859;64824,95
62343;478;45386;3848;389422,69
36311;236;44263;1285;155375,8
98627;303;31236;3602;350046,12
16836;371;27266;4251;268728,6
12620;160;17108;2032;463107,58
38440;52;49957;297;240915,02
107923;347;33402;4084;150650,69
30118;6;25099;2379;321039,89
72832;373;2853;3640;376500,42
118206;136;45986;884;236814,01
101940;429;45506;4194;429516,54
9498;444;40817;2584;307400,11
101251;431;25354;2020;250436,5
8871;272;33550;2770;124095,39
15565;251;17435;3083;116992,37
10369;471;7379;564;81194,11
37278;92;5712;1774;177254,96
69421;159;46496;252;480201,75
18928;241;33761;3120;437139,26
66505;129;19744;3215;240432,89
72844;56;22389;4601;113544,62
23095;303;11221;4314;43924,76
8752;347;42157;3638;256818,32
43114;273;19891;3223;432553,28
89613;364;39429;2381;76425,37
120751;52;29669;3853;455896,75
73514;323;30248;478;318567,67
102104;340;17300;711;254510,23
101559;284;4751;1241;247914,56
17600;269;38024;2552;316014,57
30860;93;37037;4620;476706,99
122191;401;46233;1715;93963,82
113427;197;24460;1795;282707,58
56747;214;35789;792;298432,45
36513;44;9273;766;123040,03
32190;243;21621;142;304422,43
131199;488;5113;2805;248566,81
107942;49;43620;1781;219501,17
44907;225;33494;2477;85901,95
82658;220;22054;2126;66054,38
30949;179;14830;1831;214226,29
76335;420;26900;841;61781,59
113328;259;22754;4643;238347,61
92662;248;28886;1358;398032,92
136281;84;13998;4758;309228,81
412;277;34944;4076;407066,03
59661;187;24228;2083;439940,65
26593;476;32303;4199;47818,13
63723;443;39931;1793;168681,27
143183;73;22602;2099;342738,53
92238;83;27201;2413;119740,07
36845;299;7202;1245;141489,13
120152;438;34399;2430;130322,04
123633;303;32626;1465;365180,68
86931;290;8763;313;207454,46
63364;92;42411;4113;249289,16
52340;389;9017;291;428542,44
78631;352;17184;3551;273610,81
42462;131;37368;3290;456602,5
9780;93;39534;3380;111651,66
79452;103;14600;4019;298869,35
52043;438;16598;4745;238917,7
20790;338;11206;2999;214827,35
139966;419;48453;4698;88992,29
42024;251;11344;1751;95117,27
8560;113;9188;774;132682,56
149876;263;19785;3906;372936,91
4503;39;16937;4192;145777,13
82283;169;12302;159;392052,98
24290;240;3938;4685;164666,67
90502;37;36934;4516;2349,13
1888;289;17593;546;274229,18
