Lieferung_ID;Kunden_ID;Produktionsauftrag_ID;Lieferzeit_Tage;Gelieferte_Menge
137921;1429;594660;14;9903
91543;2491;187542;13;4080
214067;54;413103;25;9980
205609;2832;316114;28;7699
212062;203;704594;26;3106
103579;1145;94855;3;2169
74170;2384;278497;21;3083
13115;343;288787;15;2720
11378;302;295217;23;5833
183097;2034;454619;19;3314
80218;2744;81507;21;2439
29987;2334;157611;11;5967
148486;2484;359478;20;6993
105610;2696;349960;28;4928
170284;1431;389281;2;1193
222418;2923;724254;1;4349
7771;1177;557538;15;1177
192777;2635;578409;14;7086
92486;2317;655701;11;1893
216062;2647;420680;17;3474
230740;2787;759682;19;9579
241688;2233;755812;6;115
59472;1174;612213;14;4320
187427;1701;698682;28;8111
210421;448;640831;24;8707
177105;1995;411827;24;7609
158556;380;70044;20;2726
182184;1575;758347;26;1797
233517;805;645306;14;6369
41274;1714;255089;16;6690
194151;2889;169613;3;9436
209665;118;356506;8;3358
153667;31;145814;12;4300
226054;2766;45340;7;8850
199087;799;100616;14;1945
187339;2157;707063;14;4586
196477;695;80992;21;2035
55742;651;466390;17;7983
187819;1472;26301;2;7240
209402;2614;231963;22;9534
190231;1982;210682;26;1505
27088;760;349624;6;5841
175947;1141;685309;25;8766
32605;1393;794639;7;5996
68935;695;157292;18;7561
22182;382;656537;13;8270
186466;308;531030;5;3717
135363;1377;578776;10;631
21706;2972;276080;20;8218
187121;816;261429;21;745
209145;1313;673621;6;6147
101322;577;186509;21;6060
51791;2767;560686;3;1165
86058;2688;249301;6;7773
191107;2852;255494;4;1431
151069;1273;727134;4;6869
38494;2524;294451;25;5963
73598;481;324799;5;9456
108733;1824;674717;2;375
179845;1107;97044;29;2243
37982;1834;715077;16;2436
133942;2085;16890;12;5011
223166;1883;651714;21;740
65283;2469;303297;22;9169
55730;906;247063;1;7058
27372;1694;19552;19;4629
42443;740;168562;26;3147
70446;2996;84321;20;2247
32891;2537;75824;28;7546
7142;41;435935;15;119
74104;1674;665913;25;4473
238791;421;496721;12;4322
36312;261;677872;16;1690
155959;1148;388030;3;5598
59846;142;704196;9;9980
223972;1194;228867;29;1703
90006;201;85888;4;5449
66243;1430;323312;21;8953
112981;2946;734094;17;906
94651;2314;708255;8;8717
214896;2547;765225;7;3639
156171;1594;194099;24;1006
204581;1158;736041;2;2420
214381;144;288690;2;3373
109852;1431;741910;26;4047
100210;2665;490002;15;42
239523;364;371871;8;6575
241927;538;782631;9;9970
152446;311;795513;27;2837
198794;1962;784233;29;6205
181535;2612;265236;18;8945
74535;725;216766;28;1224
150042;2358;493092;15;1317
177819;1037;773170;7;8714
193368;2065;471714;4;212
32894;2702;240538;29;3581
138007;821;408222;20;77
156146;2328;152748;29;7510
164841;486;423875;19;8703
95360;586;427081;11;5192
188783;289;72138;19;1537
9464;1727;663020;5;3303
183115;1103;516713;9;6822
207368;1037;708911;9;8469
81833;571;271756;28;5009
106;2641;255518;25;3403
149872;2543;156565;19;7375
86375;2388;247740;6;8249
170196;1491;439203;21;905
169243;513;137695;16;3081
12379;449;690411;10;4704
242585;1388;748156;8;9103
6810;383;381768;12;1597
12109;2964;626019;12;1672
181014;2286;133427;15;366
110500;502;283151;16;2374
91843;794;120512;25;6492
190585;1432;220360;6;678
35453;500;201068;12;8524
212664;2935;331237;8;3837
131267;1533;87135;29;4689
143818;2210;436343;17;3995
143092;1599;551212;7;154
70541;2068;190441;27;7553
223155;1886;615410;26;2097
126540;222;638507;6;5419
115869;2179;408524;16;2012
174351;203;254347;17;7205
245430;2390;711493;10;1818
214708;636;668682;10;6920
246744;1163;535679;26;6999
4216;863;293851;2;9186
70012;1255;745696;2;761
84870;2251;436807;9;5527
20900;2579;706773;18;4620
135852;1921;739118;24;5765
90380;1927;628571;1;4968
128149;2825;509166;29;3959
229430;453;598803;14;9432
193878;2974;298083;13;5115
