Logistik_ID;Produktionsauftrag_ID;Lieferzeit;Produktionsverzoegerung;Materialverfuegbarkeit
19132;449536;3;0;78
48472;199157;17;1;94
22120;583777;20;3;62
62463;749840;12;4;72
5386;503324;16;5;55
8502;333888;5;4;87
80096;799823;10;4;74
45846;462993;10;5;69
68532;571551;19;1;78
15542;567457;13;3;99
55236;518841;17;2;67
64197;426390;20;9;58
36500;634838;20;3;56
49035;422793;20;6;60
95513;157625;9;0;56
34348;483070;12;2;81
32442;347467;5;2;95
16317;694059;10;7;97
29945;762381;15;6;62
53317;540440;11;4;89
9043;675026;9;6;66
68323;318898;22;5;79
69155;736455;9;1;61
53400;130387;9;0;63
50978;242457;6;0;87
79727;554711;3;8;56
80104;613727;9;4;89
61569;162796;10;6;94
35668;680844;17;6;75
69321;32869;15;4;70
55691;515099;17;9;90
53233;121255;26;2;89
31202;189118;6;3;58
35669;464481;17;2;51
68243;465456;11;6;68
85631;475822;28;2;50
41162;465405;19;1;66
8634;640817;7;2;82
4279;750187;1;9;52
88732;409928;1;7;64
20053;617839;19;9;68
3422;74814;1;1;65
47126;254286;25;9;60
57969;652855;26;9;93
12748;445293;19;5;85
11331;220387;14;8;66
98644;732379;8;6;70
40546;601589;15;9;60
91552;798042;22;4;51
91728;302413;11;5;98
39456;434362;4;9;74
39171;66857;16;0;54
8583;718731;27;1;71
55819;574943;19;2;92
39093;255740;19;5;71
61013;319559;14;7;69
86985;456504;16;7;62
18515;777726;10;3;96
23993;438869;25;3;70
59526;567649;3;8;73
26918;170387;24;2;78
26961;295762;17;4;65
83962;3161;12;8;79
42969;288772;14;8;73
58837;93554;3;7;95
82079;320073;19;2;63
15746;476016;6;6;91
65065;793053;18;0;58
58854;163371;29;0;67
20009;381768;5;7;59
82659;520098;25;5;93
61548;115364;8;7;68
79702;692758;29;2;54
56361;794062;26;4;88
77426;609239;4;4;56
57726;783441;22;1;55
15801;617301;11;6;52
72019;71221;8;9;91
22536;225761;23;5;86
79366;561266;24;5;86
11632;360702;9;7;97
97959;493614;20;1;73
85962;736736;27;1;65
40508;245431;21;2;98
29580;629383;5;0;99
41080;110963;4;9;72
92759;279965;14;9;63
41498;126479;25;9;72
60316;42847;13;7;62
99180;622984;21;2;86
86383;257398;8;2;92
24531;775036;2;0;51
38374;143134;24;7;84
35744;286442;24;6;79
5806;741185;6;8;92
46657;711118;23;2;92
72541;733520;25;0;72
74747;716817;15;8;83
13754;326381;4;2;74
68844;578920;8;9;99
94704;362616;27;5;99
95275;680957;25;9;58
63735;280750;16;6;55
16301;97290;8;0;74
6798;214305;11;2;67
26078;546077;22;9;55
96751;682856;21;0;63
27041;540994;3;7;65
31649;601529;29;4;68
51572;324666;21;0;74
19755;430803;17;8;99
9812;370580;22;2;83
92079;155845;12;9;61
36819;273088;19;3;86
23316;193199;15;5;97
65868;533015;25;1;72
38355;33751;27;9;82
74103;542573;17;6;73
23015;686236;21;0;78
54612;175787;27;2;67
91657;547119;16;1;86
86794;44409;1;7;63
14619;717818;3;5;85
18364;66787;9;0;93
5769;545211;22;8;77
84683;433607;25;3;80
37611;545215;16;0;53
26525;218566;25;6;85
17735;262329;7;2;90
130;628777;23;2;53
65019;744027;5;7;92
48128;462487;21;4;96
33529;560726;17;5;50
34151;523941;2;0;70
24444;404568;2;4;67
90076;33156;13;6;82
18761;50529;23;2;61
22122;167117;11;5;61
73176;248951;1;2;99
19854;706792;8;0;60
28036;659749;6;5;62
74557;337036;22;2;63
20109;345713;24;7;96
59627;470519;15;1;67
43841;747112;19;4;78
31151;634426;11;2;94
29765;28605;16;7;60
87241;24309;19;4;90
54699;259705;24;5;65
30837;695143;23;4;57
81153;85962;13;4;50
4144;55351;14;0;97
52395;438958;10;1;83
99950;764680;26;5;88
76281;429865;15;2;84
