Maschinen_ID;Maschinentyp;Produktionslinie;Baujahr;Anschaffungskosten;Wartungsintervall_Tage
1;Standard;L5;2011;231264;60
2;Modern;L4;2021;523275;167
3;Standard;L6;2013;222274;110
4;Standard;L3;2014;341076;106
5;Alt;L4;2003;112981;79
6;Alt;L5;1998;134659;31
7;Alt;L2;2005;104553;83
8;Modern;L4;2023;1072735;127
9;Standard;L2;2016;225703;110
10;Standard;L6;2010;488234;63
11;Alt;L3;2003;67260;30
12;Modern;L1;2018;612581;97
13;Modern;L3;2022;765956;118
14;Alt;L4;1998;78024;84
15;Alt;L2;2007;108656;68
16;Alt;L2;2006;77285;32
17;Standard;L5;2017;266421;91
18;Standard;L2;2014;151605;69
19;Standard;L5;2014;222303;69
20;Standard;L6;2015;308211;78
21;Standard;L1;2012;337210;105
22;Alt;L4;2007;126125;63
23;Standard;L5;2015;294990;119
24;Standard;L1;2011;308518;92
25;Standard;L2;2012;274040;82
26;Modern;L2;2022;1168406;144
27;Alt;L1;2009;74818;57
28;Standard;L2;2010;381966;91
29;Standard;L6;2011;416468;109
30;Alt;L6;2004;126323;36
31;Standard;L1;2017;421255;88
32;Alt;L5;2008;88110;37
33;Alt;L5;1996;66389;30
34;Modern;L1;2020;1146465;146
35;Modern;L5;2022;803571;156
36;Modern;L5;2022;1497083;177
37;Standard;L6;2016;309818;82
38;Alt;L5;2002;137886;88
39;Standard;L3;2010;388213;67
40;Standard;L4;2015;262221;113
41;Alt;L2;1995;134471;86
42;Standard;L3;2011;425378;106
43;Alt;L5;2009;103441;66
44;Modern;L6;2018;1025134;156
45;Standard;L1;2012;160954;110
46;Standard;L5;2014;491383;92
47;Standard;L6;2011;394761;87
48;Standard;L4;2016;458658;106
49;Standard;L5;2010;287541;67
50;Alt;L1;2000;80105;63
51;Modern;L6;2020;1328533;124
52;Modern;L6;2020;564323;177
53;Modern;L6;2018;1116210;167
54;Modern;L4;2022;689139;121
55;Standard;L5;2010;330448;115
56;Modern;L4;2019;1200947;135
57;Alt;L2;2003;86976;72
58;Alt;L2;1997;117584;45
59;Alt;L5;2009;128477;33
60;Standard;L4;2010;391983;111
61;Standard;L1;2014;192533;96
62;Standard;L6;2017;413972;113
63;Modern;L6;2024;501917;174
64;Standard;L5;2015;432762;73
65;Standard;L2;2013;182254;90
66;Standard;L2;2010;411987;114
67;Alt;L6;1999;97362;77
68;Modern;L5;2024;782272;171
69;Alt;L4;1999;109383;36
70;Modern;L2;2023;1089833;163
71;Modern;L4;2020;582180;96
72;Alt;L2;1999;137958;62
73;Alt;L2;2001;59865;52
74;Modern;L3;2022;1419723;174
75;Standard;L2;2014;451953;78
76;Standard;L1;2014;155287;107
77;Modern;L5;2019;757665;108
78;Alt;L5;2004;84387;65
79;Standard;L4;2012;158512;88
80;Alt;L2;1995;51342;89
81;Modern;L1;2022;956292;171
82;Standard;L4;2015;258872;61
83;Standard;L3;2010;397754;60
84;Alt;L4;2008;143070;76
85;Standard;L4;2010;229767;64
86;Standard;L2;2012;247829;79
87;Standard;L3;2014;192078;70
88;Standard;L4;2014;233524;101
89;Modern;L1;2021;727645;91
90;Standard;L1;2015;162219;62
91;Alt;L5;1995;50235;52
92;Standard;L3;2010;455073;114
93;Modern;L3;2019;627309;101
94;Standard;L5;2013;479588;79
95;Modern;L4;2024;1163927;94
96;Standard;L3;2017;346513;96
97;Standard;L1;2016;496699;97
98;Standard;L1;2011;485842;89
99;Alt;L2;2004;55415;38
100;Alt;L3;1996;86159;63
101;Alt;L4;2000;93925;82
102;Standard;L5;2015;287023;103
103;Standard;L5;2012;237388;94
104;Standard;L4;2012;158007;111
105;Modern;L6;2019;757802;175
106;Alt;L2;2006;91832;73
107;Standard;L5;2010;208596;83
108;Modern;L3;2023;1407533;170
109;Alt;L2;2006;80523;39
110;Alt;L3;1999;138861;59
111;Standard;L1;2015;405266;115
112;Alt;L2;2008;136740;88
113;Modern;L5;2020;1039812;176
114;Modern;L2;2018;1022244;170
115;Standard;L2;2010;305002;109
116;Modern;L2;2024;1417581;170
117;Modern;L6;2024;999097;103
118;Alt;L2;2001;70611;38
119;Modern;L3;2024;648056;129
120;Standard;L1;2014;164060;61
121;Modern;L4;2022;1238345;114
122;Modern;L2;2023;977272;162
123;Standard;L5;2011;455447;113
124;Alt;L2;2005;109207;51
125;Alt;L5;1997;125046;72
126;Standard;L3;2016;310359;105
127;Modern;L5;2023;539711;93
128;Modern;L4;2021;643026;115
129;Alt;L1;1996;123340;87
130;Standard;L5;2015;368134;88
131;Standard;L5;2011;252974;104
132;Alt;L1;1996;68574;63
133;Alt;L4;1996;59184;52
134;Standard;L2;2015;300168;96
135;Modern;L5;2024;1092016;164
136;Standard;L1;2012;315088;65
137;Standard;L3;2012;161246;77
138;Standard;L1;2016;242263;80
139;Standard;L3;2011;161302;101
140;Modern;L4;2021;1353938;130
141;Modern;L2;2018;1065445;127
142;Standard;L1;2015;204917;93
143;Standard;L6;2010;373810;76
144;Standard;L5;2017;246646;96
145;Standard;L4;2016;495266;84
146;Alt;L1;2006;74519;67
147;Standard;L5;2015;493054;117
148;Standard;L1;2016;483468;71
149;Alt;L3;2004;55408;52
150;Standard;L1;2012;209379;112
151;Modern;L6;2018;525053;175
152;Alt;L1;1999;59446;50
153;Alt;L1;2007;50922;56
154;Standard;L6;2013;248723;116
155;Modern;L4;2019;1075644;120
156;Alt;L1;2002;60789;35
157;Standard;L6;2010;478800;86
158;Modern;L5;2019;1330460;129
159;Alt;L3;1995;114484;63
160;Standard;L3;2013;182154;71
161;Standard;L1;2013;363942;104
162;Standard;L4;2017;414480;116
163;Standard;L4;2014;479923;112
164;Standard;L5;2011;431173;66
165;Alt;L1;2000;109201;39
166;Modern;L3;2022;532265;134
167;Standard;L4;2011;393322;76
168;Alt;L1;2007;93872;55
169;Alt;L4;2008;96197;50
170;Standard;L6;2012;304782;87
171;Standard;L4;2012;310558;117
172;Alt;L3;2005;121907;75
173;Standard;L2;2012;352967;61
174;Alt;L5;2009;114435;89
175;Standard;L5;2010;452775;113
176;Alt;L3;2001;70103;72
177;Standard;L4;2016;214772;60
178;Standard;L1;2017;276108;110
179;Modern;L4;2024;514382;142
180;Alt;L3;2005;134291;65
181;Standard;L5;2015;284828;110
182;Alt;L4;2002;70609;55
183;Modern;L5;2021;647550;118
184;Modern;L1;2021;732050;110
185;Standard;L5;2017;487827;70
186;Standard;L5;2010;280330;99
187;Modern;L2;2020;1095603;100
188;Standard;L2;2017;489978;95
189;Standard;L6;2012;164153;108
190;Alt;L2;2005;126325;88
191;Alt;L5;2007;62999;68
192;Modern;L3;2019;555318;143
193;Modern;L5;2022;894030;144
194;Standard;L3;2011;226077;106
195;Standard;L3;2012;283515;83
196;Standard;L2;2012;356988;113
197;Standard;L4;2014;485463;81
198;Modern;L1;2022;625885;158
199;Modern;L2;2019;1396209;145
200;Modern;L2;2021;1041656;122
201;Standard;L4;2011;296400;117
202;Alt;L1;2007;106942;65
203;Alt;L5;2000;141751;76
204;Modern;L6;2022;730203;109
205;Standard;L6;2015;439450;78
206;Alt;L5;1995;135451;64
207;Alt;L2;1999;89915;81
208;Standard;L1;2010;449363;102
209;Alt;L2;2006;130879;46
210;Alt;L3;2004;114644;88
211;Standard;L2;2015;210279;104
212;Standard;L2;2011;465172;102
213;Standard;L5;2010;150126;93
214;Alt;L5;2008;102329;38
215;Standard;L5;2011;177632;85
216;Alt;L6;2007;115310;31
217;Standard;L3;2012;259945;112
218;Standard;L5;2010;467320;68
219;Standard;L1;2011;400869;68
220;Modern;L6;2018;1241426;129
221;Standard;L4;2016;325399;76
222;Standard;L1;2010;284869;60
223;Alt;L1;2000;97882;54
224;Standard;L5;2016;294790;102
225;Standard;L4;2017;184560;99
226;Alt;L4;2008;126589;71
227;Modern;L6;2020;784260;114
228;Standard;L4;2016;282717;98
229;Modern;L3;2022;678595;124
230;Standard;L5;2010;274085;62
231;Modern;L4;2019;879862;133
232;Standard;L6;2013;431400;110
233;Standard;L3;2010;250158;89
234;Standard;L2;2017;334245;97
235;Alt;L2;1995;87430;63
236;Standard;L3;2012;480388;71
237;Standard;L6;2014;292766;78
238;Alt;L3;1998;106264;66
239;Standard;L5;2016;207545;103
