Material_ID;Produktionsauftrag_ID;Zulieferer_ID;Materialcharge;Materialtyp;Materialverbrauch;Materialkosten
114019;666584;18;387922;Elektronik;28344,8;70862,0
226569;741448;103;963220;Stahl;3829,8;9574,5
89437;410387;70;717098;Kupfer;11603,5;29008,75
88212;338195;65;444296;Kunststoff;6132,0;15330,0
119793;210094;3;466047;Aluminium;24602,6;61506,5
183685;324545;40;532083;Kunststoff;6290,7;15726,75
98841;622188;132;274457;Aluminium;15976,4;39941,0
63909;637123;27;373707;Elektronik;6406,4;16016,0
299469;29386;108;563297;Kupfer;15741,0;39352,5
183220;620080;134;645165;Stahl;18545,9;46364,75
330081;349253;91;294686;Elektronik;10223,5;25558,75
316164;456902;118;585822;Kupfer;12467,1;31167,75
245267;462117;147;771550;Aluminium;9513,0;23782,5
42624;563266;48;523787;Elektronik;5204,9;13012,25
261572;573659;1;738330;Stahl;14357,75;35894,37
382658;350775;110;799734;Elektronik;4979,65;12449,13
22774;416897;143;546171;Elektronik;6461,4;16153,5
158132;166814;38;922631;Aluminium;9860,4;24651,0
100693;83838;108;435480;Elektronik;24282,5;60706,25
18102;185932;135;690620;Aluminium;7687,75;19219,37
369888;257478;82;136583;Kupfer;5888,45;14721,12
336987;378979;119;839334;Kunststoff;16237,5;40593,75
161082;444084;116;396742;Kunststoff;10697,3;26743,25
381904;173021;31;775171;Aluminium;11803,9;29509,75
323440;451460;99;964283;Aluminium;15117,55;37793,88
56660;76292;35;746573;Stahl;2844,9;7112,25
395918;63224;99;473191;Aluminium;18812,2;47030,5
77287;183913;73;130207;Stahl;9344,0;23360,0
78033;354794;19;249128;Stahl;12689,6;31724,0
221405;145067;78;679213;Kupfer;16467,0;41167,5
266946;777028;103;718035;Stahl;4324,25;10810,62
259679;543544;3;745244;Aluminium;5785,65;14464,12
139914;628270;35;764288;Kunststoff;11673,95;29184,87
108266;455392;36;425846;Aluminium;3364,9;8412,25
310658;720518;44;518689;Kunststoff;9844,0;24610,0
299560;135278;16;685852;Kunststoff;2325,6;5814,0
48012;290048;125;366881;Kunststoff;16136,7;40341,75
188831;457522;150;397204;Elektronik;2403,2;6008,0
19809;615107;36;988886;Kupfer;2362,1;5905,25
99624;353788;103;572110;Kupfer;8267,65;20669,12
226921;196778;56;889369;Stahl;6280,0;15700,0
77677;757560;64;699710;Aluminium;4174,3;10435,75
40943;377400;22;968004;Elektronik;8685,85;21714,62
127493;255016;72;683749;Aluminium;18467,5;46168,75
326023;159147;9;191102;Kunststoff;11225,9;28064,75
198282;505923;2;563323;Kupfer;8053,45;20133,62
86997;519009;96;895042;Stahl;7724,6;19311,5
306525;13964;88;104007;Stahl;1826,5;4566,25
384450;196506;94;110846;Kupfer;19597,5;48993,75
196819;409810;109;224372;Kunststoff;9655,0;24137,5
82877;558464;148;782237;Stahl;3634,65;9086,62
51217;403708;122;699747;Elektronik;6150,2;15375,5
202281;396737;89;163733;Stahl;1865,0;4662,5
164397;778454;113;156542;Stahl;5707,6;14269,0
354276;144080;26;747107;Kunststoff;6702,5;16756,25
177997;185976;31;980175;Kupfer;11899,8;29749,5
