Mitarbeiter_ID;Alter;Abteilung;Weiterbildungen;Krankheitstage;Betriebszugehörigkeit;Leistungsbewertung
1461;33;Logistik;9;4;5;72.0
1402;60;Logistik;7;7;6;74.5
3;32;Instandhaltung;3;9;32;72.3
4;60;Finanzen;12;10;14;99.9
1421;52;Produktion;11;10;24;83.5
6;38;Vertrieb;8;9;13;86.3
7;56;Qualität;12;4;4;80.9
8;36;Finanzen;1;7;25;65.9
810;27;Logistik;8;7;25;83.5
10;28;Qualität;12;7;15;99.5
984;43;Einkauf;9;9;32;77.5
12;41;Instandhaltung;11;9;22;82.7
13;53;Qualität;13;12;12;93.7
14;57;Instandhaltung;1;5;32;70.9
873;64;Instandhaltung;1;10;33;71.4
16;20;Finanzen;2;8;33;69.2
17;39;Logistik;9;11;33;88.1
1375;45;Instandhaltung;1;7;7;58.7
19;41;Instandhaltung;13;6;14;92.9
1485;31;Qualität;13;4;9;92.3
21;47;Finanzen;6;10;25;72.6
22;55;Instandhaltung;12;7;2;63.1
850;58;Instandhaltung;11;8;30;84.5
1211;45;Vertrieb;10;13;28;88.6
1472;26;Logistik;14;7;32;96.2
909;30;Logistik;14;10;7;85.1
1153;26;Produktion;1;10;5;64.4
1409;19;Produktion;10;3;34;91.8
29;42;Vertrieb;3;12;24;64.6
818;30;Finanzen;3;7;31;72.6
1057;40;Instandhaltung;3;9;6;68.2
32;45;Produktion;0;5;13;57.7
33;33;Einkauf;12;10;21;89.7
34;32;Instandhaltung;13;9;27;95.0
35;64;Einkauf;4;9;29;80.0
823;40;Einkauf;3;8;31;73.5
1368;62;Produktion;4;5;23;67.0
38;54;Finanzen;7;12;34;88.8
943;47;Qualität;9;8;26;86.8
1204;38;Vertrieb;3;5;16;65.5
41;26;Logistik;8;7;10;76.9
1148;54;Vertrieb;0;7;1;55.9
43;35;Instandhaltung;13;9;23;94.5
44;21;Instandhaltung;8;4;5;75.9
925;57;Qualität;11;4;20;81.3
46;31;Qualität;6;15;27;78.2
47;26;Vertrieb;3;10;30;71.3
1304;29;Qualität;6;6;27;84.2
49;19;Vertrieb;0;7;9;57.3
802;47;Vertrieb;11;11;22;82.1
51;45;Einkauf;0;3;33;75.9
52;64;Produktion;2;8;30;82.8
53;24;Vertrieb;12;9;28;99.7
54;61;Produktion;13;8;10;87.0
1258;41;Logistik;12;12;5;77.3
56;64;Finanzen;13;6;0;81.4
57;52;Vertrieb;1;7;20;69.1
1313;52;Produktion;1;6;25;64.7
944;28;Instandhaltung;6;9;18;74.1
1329;62;Logistik;5;6;16;74.0
61;57;Produktion;4;13;20;81.8
62;21;Produktion;8;11;21;79.0
1024;52;Instandhaltung;9;2;7;80.5
1323;34;Finanzen;11;16;32;93.6
857;62;Instandhaltung;11;13;0;83.1
862;39;Produktion;7;14;12;78.7
67;46;Einkauf;8;5;28;91.9
68;35;Qualität;14;12;4;86.1
935;23;Logistik;3;5;28;72.0
70;61;Logistik;8;7;26;72.1
1300;59;Produktion;6;13;8;74.7
72;27;Finanzen;3;10;15;69.8
1257;20;Instandhaltung;1;5;26;76.4
1028;39;Qualität;12;12;0;83.2
933;51;Logistik;0;9;28;70.6
1493;54;Produktion;7;8;27;81.7
1160;40;Instandhaltung;12;6;32;94.7
78;31;Finanzen;4;8;4;60.2
1147;22;Einkauf;6;12;4;74.6
1355;55;Qualität;1;7;25;65.7
81;38;Instandhaltung;5;7;17;86.0
1130;43;Logistik;2;9;34;77.7
83;62;Vertrieb;7;10;15;81.3
1318;27;Vertrieb;13;5;5;84.1
85;64;Logistik;13;6;32;94.4
893;35;Einkauf;11;7;17;86.4
87;43;Vertrieb;10;4;34;95.6
88;42;Qualität;13;4;16;90.9
89;62;Finanzen;12;9;3;89.6
90;58;Vertrieb;1;7;3;75.9
91;46;Produktion;8;11;24;81.4
1010;28;Vertrieb;2;11;5;54.7
93;62;Instandhaltung;3;12;13;67.0
94;18;Produktion;3;10;23;71.6
95;42;Qualität;10;4;10;88.3
96;24;Instandhaltung;7;3;24;81.0
1085;50;Logistik;5;8;25;78.9
98;41;Einkauf;12;10;6;82.6
99;18;Finanzen;14;5;9;92.1
100;61;Vertrieb;5;4;30;75.7
101;25;Vertrieb;4;10;18;65.3
102;41;Vertrieb;2;6;17;70.1
103;28;Einkauf;12;10;5;93.4
104;34;Finanzen;13;11;27;90.5
105;25;Qualität;9;5;6;73.6
106;52;Finanzen;10;8;11;91.3
107;52;Logistik;1;6;33;70.9
963;23;Instandhaltung;7;3;22;85.1
1236;55;Vertrieb;8;12;32;87.5
1116;53;Vertrieb;13;14;17;93.7
111;56;Vertrieb;0;4;22;72.8
112;58;Vertrieb;9;8;8;79.5
113;45;Vertrieb;2;5;5;65.2
114;24;Logistik;7;11;1;64.7
115;26;Produktion;5;8;8;74.7
116;25;Produktion;4;3;2;64.1
117;29;Logistik;4;10;15;76.1
1040;36;Instandhaltung;12;9;8;76.2
119;50;Vertrieb;14;7;23;95.0
1183;55;Logistik;5;12;28;72.7
