Produkt_ID;Produktname;Produktgruppe;Komplexitaet;Verkaufspreis;Standardkosten;Materialfaktor;Energiefaktor;Gewicht_kg;Gewinnmarge;Produktionsdauerfaktor;Ausschussfaktor
1;Produkt_1;Elektronik;6;192,13;120,63;1,9;1,6;5,35;0,39;1,72;1,48
2;Produkt_2;Sicherheitsbauteile;1;82,34;57,85;1,15;1,1;14,35;0,44;1,12;1,08
3;Produkt_3;Kunststoffteile;9;256,67;187,12;2,35;1,9;11,87;0,25;2,08;1,72
4;Produkt_4;Elektronik;1;85,69;52,97;1,15;1,1;24,31;0,16;1,12;1,08
5;Produkt_5;Motorenteile;5;171,4;111,99;1,75;1,5;15,41;0,41;1,6;1,4
6;Produkt_6;Motorenteile;4;144,38;83,81;1,6;1,4;9,06;0,44;1,48;1,32
7;Produkt_7;Motorenteile;3;135,66;80,76;1,45;1,3;3,3;0,41;1,36;1,24
8;Produkt_8;Metallkomponenten;6;206,66;148,86;1,9;1,6;4,21;0,2;1,72;1,48
9;Produkt_9;Kunststoffteile;2;94,59;56,31;1,3;1,2;6,02;0,41;1,24;1,16
10;Produkt_10;Kunststoffteile;3;142,39;97,01;1,45;1,3;6,65;0,42;1,36;1,24
11;Produkt_11;Motorenteile;5;158,78;115,48;1,75;1,5;21,34;0,38;1,6;1,4
12;Produkt_12;Sicherheitsbauteile;9;284,24;163,93;2,35;1,9;14,25;0,42;2,08;1,72
13;Produkt_13;Metallkomponenten;2;108,9;75,34;1,3;1,2;13,32;0,45;1,24;1,16
14;Produkt_14;Getriebeteile;10;295,36;181,39;2,5;2,0;3,31;0,36;2,2;1,8
15;Produkt_15;Motorenteile;8;254,89;201,55;2,2;1,8;21,57;0,18;1,96;1,64
16;Produkt_16;Motorenteile;2;81,23;54,5;1,3;1,2;18,21;0,32;1,24;1,16
17;Produkt_17;Getriebeteile;5;188,86;141,93;1,75;1,5;2,16;0,18;1,6;1,4
18;Produkt_18;Elektronik;7;222,23;152,79;2,05;1,7;17,84;0,29;1,84;1,56
19;Produkt_19;Elektronik;8;242,16;135,82;2,2;1,8;13,82;0,29;1,96;1,64
20;Produkt_20;Getriebeteile;1;90,74;64,27;1,15;1,1;2,5;0,17;1,12;1,08
21;Produkt_21;Kunststoffteile;6;189,43;149,25;1,9;1,6;11,73;0,27;1,72;1,48
22;Produkt_22;Motorenteile;1;53,87;37,73;1,15;1,1;12,38;0,19;1,12;1,08
23;Produkt_23;Getriebeteile;2;76,65;57,86;1,3;1,2;4,56;0,43;1,24;1,16
24;Produkt_24;Elektronik;1;84,09;64,84;1,15;1,1;23,67;0,48;1,12;1,08
25;Produkt_25;Elektronik;5;155,79;94,57;1,75;1,5;21,32;0,18;1,6;1,4
26;Produkt_26;Metallkomponenten;10;326,32;196,78;2,5;2,0;16,89;0,48;2,2;1,8
27;Produkt_27;Motorenteile;9;243,77;171,31;2,35;1,9;11,83;0,33;2,08;1,72
28;Produkt_28;Elektronik;6;225,45;147,16;1,9;1,6;10,59;0,25;1,72;1,48
29;Produkt_29;Elektronik;1;78,17;59,4;1,15;1,1;16,45;0,18;1,12;1,08
30;Produkt_30;Motorenteile;1;73,55;57,0;1,15;1,1;13,86;0,33;1,12;1,08
31;Produkt_31;Kunststoffteile;2;91,83;58,62;1,3;1,2;2,03;0,43;1,24;1,16
32;Produkt_32;Motorenteile;9;280,99;171,18;2,35;1,9;13,06;0,4;2,08;1,72
33;Produkt_33;Motorenteile;3;124,44;92,72;1,45;1,3;20,26;0,17;1,36;1,24
34;Produkt_34;Sicherheitsbauteile;1;91,55;56,64;1,15;1,1;11,75;0,18;1,12;1,08
35;Produkt_35;Sicherheitsbauteile;5;176,71;133,53;1,75;1,5;1,77;0,29;1,6;1,4
36;Produkt_36;Metallkomponenten;7;227,25;149,06;2,05;1,7;19,76;0,25;1,84;1,56
37;Produkt_37;Getriebeteile;6;194,55;139,47;1,9;1,6;5,43;0,23;1,72;1,48
38;Produkt_38;Motorenteile;1;74,15;42,55;1,15;1,1;6,84;0,25;1,12;1,08
39;Produkt_39;Kunststoffteile;5;179,62;126,8;1,75;1,5;4,54;0,43;1,6;1,4
40;Produkt_40;Elektronik;5;149,35;99,01;1,75;1,5;8,59;0,48;1,6;1,4
41;Produkt_41;Motorenteile;6;179,78;125,24;1,9;1,6;19,04;0,29;1,72;1,48
42;Produkt_42;Elektronik;3;136,15;80,6;1,45;1,3;13,22;0,47;1,36;1,24
43;Produkt_43;Motorenteile;5;177,56;130,37;1,75;1,5;5,52;0,26;1,6;1,4
44;Produkt_44;Sicherheitsbauteile;7;222,24;170,17;2,05;1,7;22,01;0,32;1,84;1,56
45;Produkt_45;Getriebeteile;5;175,28;105,9;1,75;1,5;22,05;0,23;1,6;1,4
46;Produkt_46;Kunststoffteile;5;180,21;103,43;1,75;1,5;21,83;0,37;1,6;1,4
47;Produkt_47;Getriebeteile;5;166,9;92,78;1,75;1,5;6,35;0,49;1,6;1,4
48;Produkt_48;Elektronik;10;288,33;204,85;2,5;2,0;11,56;0,36;2,2;1,8
49;Produkt_49;Elektronik;10;302,94;212,59;2,5;2,0;24,63;0,28;2,2;1,8
50;Produkt_50;Motorenteile;3;110,32;75,76;1,45;1,3;19,41;0,38;1,36;1,24
51;Produkt_51;Sicherheitsbauteile;1;81,12;49,32;1,15;1,1;1,17;0,19;1,12;1,08
52;Produkt_52;Metallkomponenten;5;149,46;96,81;1,75;1,5;2,1;0,46;1,6;1,4
53;Produkt_53;Sicherheitsbauteile;9;290,44;202,91;2,35;1,9;11,87;0,33;2,08;1,72
54;Produkt_54;Metallkomponenten;1;82,09;55,34;1,15;1,1;22,78;0,31;1,12;1,08
55;Produkt_55;Elektronik;3;128,84;102,68;1,45;1,3;13,7;0,36;1,36;1,24
56;Produkt_56;Sicherheitsbauteile;4;164,74;96,23;1,6;1,4;12,7;0,37;1,48;1,32
