Produktionsauftrag_ID;Datum;Produkt_ID;Maschinen_ID;Schicht_ID;Zulieferer_ID;Produktionslinie;Produzierte_Menge;Produktionsdauer_h;Ausschussmenge;Nachbearbeitungsmenge;Materialverbrauch;Energieverbrauch;Downtime_h;Materialkosten;Energiekosten;Ausschusskosten;Nacharbeitskosten;Produktionskosten;Umsatz;Gewinn
525038;25.03.2023;206;146;5384;30;L1;5058;15,56;330;132;6575,4;6069,6;6,03;16438,5;1820,88;4950;1056;24265,38;478537,38;454272,0
335934;08.07.2023;470;272;5864;123;L5;8584;21,67;191;76;11159,2;10300,8;0,76;27898,0;3090,24;2865;608;34461,24;581136,8;546675,56
666790;31.08.2021;90;213;2776;123;L5;6214;27,09;256;102;14602,9;11806,6;2,48;36507,25;3541,98;3840;816;44705,23;1656403,84;1611698,61
543486;18.03.2023;221;162;5350;70;L4;4432;19,82;235;94;10415,2;8420,8;2,76;26038,0;2526,24;3525;752;32841,24;1220705,76;1187864,52
391822;19.03.2024;375;148;7026;4;L1;3348;16,17;193;77;8370,0;6696,0;2,88;20925,0;2008,8;2895;616;26444,8;1003127,76;976682,96
527846;19.11.2023;454;289;6475;147;L4;4724;18,72;312;124;8975,6;7558,4;4,93;22439,0;2267,52;4680;992;30378,52;1013109,04;982730,52
208856;25.12.2025;126;268;9974;114;L6;8879;40,64;517;206;22197,5;17758,0;3,15;55493,75;5327,4;7755;1648;70224,15;2599948,78;2529724,63
33513;19.12.2020;40;158;1612;14;L5;7795;25,47;322;128;13641,25;11692,5;1,05;34103,12;3507,75;4830;1024;43464,88;1164183,25;1120718,38
209603;09.03.2020;330;291;313;31;L6;1175;13,83;56;22;2408,75;1997,5;19,0;6021,88;599,25;840;176;7637,12;267853,0;260215,88
758497;15.09.2022;188;299;4512;113;L2;9724;29,99;338;135;15558,4;13613,6;2,41;38896,0;4084,08;5070;1080;49130,08;1751778,6;1702648,52
59258;14.12.2021;398;281;3255;4;L6;1614;4,39;44;17;1856,1;1775,4;1,55;4640,25;532,62;660;136;5968,87;141628,5;135659,63
242448;17.08.2024;475;229;7714;125;L3;6472;18,38;202;80;9384,4;8413,6;1,56;23461,0;2524,08;3030;640;29655,08;742208,96;712553,88
796252;08.01.2024;36;110;6701;59;L3;6094;28,47;411;164;12492,7;10359,8;12,08;31231,75;3107,94;6165;1312;41816,69;1384861,5;1343044,81
167606;19.09.2023;443;1;6195;45;L5;7813;35,19;451;180;19532,5;15626,0;1,62;48831,25;4687,8;6765;1440;61724,05;2535318,5;2473594,45
294052;28.10.2025;10;62;9710;87;L6;7254;22,48;267;106;10518,3;9430,2;5,5;26295,75;2829,06;4005;848;33977,81;1032897,06;998919,25
596384;16.10.2021;261;120;2986;101;L1;2415;10,62;105;42;4588,5;3864,0;4,62;11471,25;1159,2;1575;336;14541,45;506546,25;492004,8
98882;30.06.2024;266;195;7495;145;L3;7159;27,46;313;125;14675,95;12170,3;2,22;36689,88;3651,09;4695;1000;46035,96;1536464,58;1490428,62
281112;05.02.2025;458;298;8502;63;L2;3079;12,05;139;55;3540,85;3386,9;10,31;8852,12;1016,07;2085;440;12393,2;263316,08;250922,88
83087;07.07.2021;455;296;2527;73;L4;8562;35,47;572;228;18836,4;15411,6;3,81;47091,0;4623,48;8580;1824;62118,48;2293246,08;2231127,6
167038;20.06.2021;241;255;2451;101;L4;1804;11,82;101;40;3968,8;3247,2;9,49;9922,0;974,16;1515;320;12731,16;454589,96;441858,8
349563;04.07.2023;313;152;5844;87;L1;3183;11,22;142;56;3660,45;3501,3;8,17;9151,12;1050,39;2130;448;12779,52;190916,34;178136,82
691063;19.10.2022;439;3;4666;1;L6;6415;26,83;284;113;14113,0;11547,0;3,37;35282,5;3464,1;4260;904;43910,6;1710110,7;1666200,1
519995;23.10.2024;135;113;8022;74;L5;597;2,47;24;9;1134,3;955,2;0,83;2835,75;286,56;360;72;3554,31;121793,97;118239,66
708977;24.01.2024;431;166;6777;19;L3;9240;25,67;208;83;13398,0;12012,0;1,08;33495,0;3603,6;3120;664;40882,6;1275582,0;1234699,4
484320;01.05.2022;283;232;3889;73;L6;9903;26,32;468;187;12873,9;11883,6;3,52;32184,75;3565,08;7020;1496;44265,83;976930,95;932665,12
580646;22.08.2024;121;82;7740;142;L4;9553;40,0;728;291;21016,6;17195,4;5,1;52541,5;5158,62;10920;2328;70948,12;2402006,32;2331058,2
774693;12.02.2024;313;215;6861;121;L5;7222;17,9;231;92;8305,3;7944,2;3,44;20763,25;2383,26;3465;736;27347,51;433175,56;405828,05
269213;20.06.2025;286;168;9118;131;L1;5272;26,26;388;155;12389,2;10016,8;8,66;30973,0;3005,04;5820;1240;41038,04;1592196,72;1551158,68
589998;14.01.2024;151;151;6730;125;L6;7907;23,84;315;126;12651,2;11069,8;0,87;31628,0;3320,94;4725;1008;40681,94;1066970,58;1026288,64
135712;04.06.2022;184;23;4043;149;L5;8209;36,58;635;254;19291,15;15597,1;4,86;48227,88;4679,13;9525;2032;64464,0;2209698,62;2145234,62
551839;12.02.2024;363;114;6864;98;L2;8587;23,41;260;104;12451,15;11163,1;0,11;31127,88;3348,93;3900;832;39208,8;1051134,67;1011925,86
554054;17.07.2021;337;49;2573;87;L5;4788;19,9;221;88;9815,4;8139,6;4,55;24538,5;2441,88;3315;704;30999,38;1054269,72;1023270,34
560937;15.09.2023;180;196;6176;114;L2;5306;14,44;185;74;6101,9;5836,6;5,12;15254,75;1750,98;2775;592;20372,73;277291,56;256918,83
672660;16.11.2024;104;94;8132;129;L5;3586;8,66;113;45;4123,9;3944,6;1,26;10309,75;1183,38;1695;360;13548,13;327079,06;313530,93
302700;15.02.2024;445;290;6878;141;L2;3814;14,55;120;48;6674,5;5721,0;4,69;16686,25;1716,3;1800;384;20586,55;684765,56;664179,01
512215;18.10.2021;99;40;2995;91;L4;3724;13,74;141;56;5958,4;5213,6;5,44;14896,0;1564,08;2115;448;19023,08;568543,08;549520,0
606335;01.02.2024;104;119;6813;97;L3;8448;19,35;229;91;9715,2;9292,8;0,86;24288,0;2787,84;3435;728;31238,84;770542,08;739303,24
650070;08.04.2024;337;92;7117;107;L3;1976;8,65;110;44;4050,8;3359,2;2,76;10127,0;1007,76;1650;352;13136,76;435095,44;421958,68
228890;18.12.2023;156;112;6608;39;L2;7435;31,02;449;179;11896,0;10409,0;18,03;29740,0;3122,7;6735;1432;41029,7;1003873,7;962844,0
86658;05.04.2024;407;210;7105;48;L3;5266;21,73;317;126;10005,4;8425,6;7,24;25013,5;2527,68;4755;1008;33304,18;1032715,26;999411,08
37536;30.10.2025;18;250;9719;70;L3;10516;39,37;405;162;21557,8;17877,2;1,33;53894,5;5363,16;6075;1296;66628,66;2336970,68;2270342,02
181181;14.08.2025;64;7;9369;136;L2;4026;20,96;368;147;10065,0;8052,0;6,49;25162,5;2415,6;5520;1176;34274,1;1163956,86;1129682,76
799648;16.04.2021;374;13;2154;87;L3;10177;37,56;452;180;20862,85;17300,9;0,22;52157,12;5190,27;6780;1440;65567,39;2187342,61;2121775,22
638979;15.10.2025;280;58;9653;8;L2;4105;16,25;211;84;5952,25;5336,5;10,17;14880,62;1600,95;3165;672;20318,58;594978,7;574660,12
244245;04.08.2023;256;128;5987;44;L4;1014;4,34;39;15;1926,6;1622,4;1,71;4816,5;486,72;585;120;6008,22;213578,82;207570,6
1200;13.12.2023;253;54;6586;116;L4;2389;5,81;60;24;2747,35;2627,9;0,92;6868,38;788,37;900;192;8748,74;194942,4;186193,66
673486;02.10.2025;242;242;9593;51;L4;3744;17,11;176;70;9360,0;7488,0;1,27;23400,0;2246,4;2640;560;28846,4;1083888,0;1055041,6
37544;13.05.2022;464;241;3943;146;L2;8616;34,42;278;111;18955,2;15508,8;1,29;47388,0;4652,64;4170;888;57098,64;2155981,68;2098883,04
424799;19.01.2022;189;269;3422;145;L5;7308;35,02;307;122;18270,0;14616,0;5,73;45675,0;4384,8;4605;976;55640,8;2173033,8;2117393,0
64835;10.03.2020;5;164;319;51;L5;2310;9,28;105;42;4042,5;3465,0;3,78;10106,25;1039,5;1575;336;13056,75;395934,0;382877,25
