Qualitaets_ID;Produktionsauftrag_ID;Fehlerart;Ausschussmenge;Nachbearbeitungsmenge
321152;709547;Materialfehler;394;157
397072;566217;Maschinenfehler;170;68
247135;702232;Maschinenfehler;396;158
250700;722792;Materialfehler;335;134
93369;397789;Maschinenfehler;651;260
36990;91523;Maschinenfehler;47;18
321736;171066;Bedienfehler;87;34
397332;289852;Materialfehler;108;43
320176;297120;Montagefehler;197;78
22766;381316;Maschinenfehler;578;231
304382;571006;Materialfehler;327;130
354349;190585;Bedienfehler;145;58
292566;257459;Materialfehler;65;26
239624;232180;Materialfehler;209;83
12698;716991;Montagefehler;559;223
384387;540529;Maschinenfehler;155;62
83742;88633;Maschinenfehler;337;134
271364;410124;Messfehler;116;46
287946;511041;Montagefehler;519;207
73074;261674;Materialfehler;120;48
18781;146797;Maschinenfehler;244;97
340707;643299;Maschinenfehler;221;88
133867;244730;Materialfehler;206;82
42165;287068;Materialfehler;555;222
188878;101730;Montagefehler;330;132
52937;699138;Materialfehler;168;67
105958;7595;Messfehler;313;125
235852;114211;Montagefehler;46;18
358391;681744;Maschinenfehler;212;84
300535;535985;Materialfehler;740;296
103842;120383;Bedienfehler;239;95
349110;736274;Bedienfehler;345;138
340738;346540;Maschinenfehler;490;196
387337;753924;Montagefehler;310;124
284008;624839;Bedienfehler;364;145
112986;536460;Maschinenfehler;39;15
208866;106459;Materialfehler;379;151
181263;581779;Materialfehler;222;88
347552;363460;Sonstige;228;91
229589;359131;Materialfehler;321;128
311404;328969;Materialfehler;622;248
286013;31078;Montagefehler;169;67
38117;18207;Bedienfehler;192;76
268041;769138;Materialfehler;332;132
74806;411490;Bedienfehler;59;23
234534;25027;Materialfehler;559;223
309727;455954;Materialfehler;365;146
264404;576967;Montagefehler;281;112
62246;366189;Maschinenfehler;480;192
87934;43950;Materialfehler;166;66
188375;327221;Materialfehler;237;94
272989;56315;Bedienfehler;43;17
152457;153614;Maschinenfehler;32;12
280768;104109;Maschinenfehler;332;132
261500;53895;Materialfehler;259;103
320992;318683;Materialfehler;387;154
89872;636066;Maschinenfehler;274;109
307255;311908;Materialfehler;473;189
116722;204988;Maschinenfehler;117;46
279087;583496;Materialfehler;186;74
30570;535322;Bedienfehler;132;52
363506;283436;Maschinenfehler;133;53
7829;627951;Maschinenfehler;303;121
176046;258324;Maschinenfehler;500;200
299232;720111;Maschinenfehler;134;53
11034;439120;Bedienfehler;726;290
51860;370041;Materialfehler;454;181
70591;229063;Maschinenfehler;268;107
171400;789532;Montagefehler;38;15
385536;442640;Materialfehler;257;102
78568;708884;Montagefehler;774;309
254676;663147;Sonstige;189;75
123779;63229;Materialfehler;201;80
281720;696438;Bedienfehler;209;83
364599;510026;Montagefehler;146;58
175886;484803;Maschinenfehler;322;128
357793;301447;Materialfehler;493;197
313597;249216;Montagefehler;94;37
152134;543893;Bedienfehler;159;63
278178;718232;Maschinenfehler;511;204
114921;612517;Bedienfehler;137;54
354783;175157;Materialfehler;117;46
33989;278594;Materialfehler;490;196
200191;47848;Maschinenfehler;721;288
138367;325243;Materialfehler;155;62
275660;626144;Maschinenfehler;288;115
268310;248587;Maschinenfehler;318;127
394144;797899;Materialfehler;313;125
36537;257801;Maschinenfehler;37;14
98192;102453;Materialfehler;198;79
293040;649401;Maschinenfehler;14;5
250416;755067;Sonstige;505;202
200393;662618;Bedienfehler;97;38
180569;707809;Materialfehler;320;128
299086;268647;Materialfehler;403;161
32930;16295;Sonstige;444;177
291206;309436;Materialfehler;47;18
378823;328673;Maschinenfehler;131;52
3604;315272;Materialfehler;560;224
185054;531987;Maschinenfehler;28;11
336768;728527;Messfehler;238;95
395672;464331;Maschinenfehler;333;133
340928;764115;Bedienfehler;247;98
399036;189504;Montagefehler;172;68
63104;366301;Sonstige;339;135
200111;137352;Materialfehler;26;10
163192;13369;Materialfehler;820;328
35953;193472;Sonstige;435;174
263189;140125;Materialfehler;111;44
376570;584092;Bedienfehler;362;144
314112;375519;Maschinenfehler;91;36
282236;706348;Bedienfehler;53;21
337097;365998;Montagefehler;529;211
373569;301891;Bedienfehler;36;14
71855;241806;Materialfehler;91;36
109411;444696;Materialfehler;360;144
32682;685257;Montagefehler;246;98
191513;466360;Maschinenfehler;258;103
24188;789270;Bedienfehler;334;133
250242;488789;Materialfehler;20;8
52865;263414;Bedienfehler;106;42
206086;408746;Montagefehler;318;127
73151;707514;Montagefehler;81;32
189122;662605;Montagefehler;444;177
152398;467929;Materialfehler;279;111
378951;281024;Maschinenfehler;377;150
351122;362792;Sonstige;105;42
120251;775753;Bedienfehler;430;172
92524;225512;Materialfehler;238;95
200557;276062;Materialfehler;65;26
237608;522524;Maschinenfehler;16;6
60849;527592;Bedienfehler;17;6
158000;221499;Materialfehler;383;153
150832;33833;Bedienfehler;406;162
252297;245412;Maschinenfehler;56;22
146929;378030;Maschinenfehler;470;188
125059;429801;Sonstige;212;84
184028;593645;Montagefehler;197;78
76132;79929;Materialfehler;127;50
107168;733437;Bedienfehler;80;32
142334;463176;Materialfehler;114;45
382398;404556;Materialfehler;313;125
215057;443322;Materialfehler;72;28
384626;488062;Montagefehler;294;117
160063;101578;Materialfehler;323;129
289215;652661;Maschinenfehler;89;35
292941;62729;Materialfehler;116;46
327840;747894;Bedienfehler;269;107
8627;508862;Materialfehler;74;29
131750;593332;Materialfehler;179;71
54014;146311;Materialfehler;106;42
53445;708303;Materialfehler;388;155
246527;140666;Sonstige;337;134
303899;140197;Materialfehler;381;152
324143;483874;Materialfehler;174;69
374274;37815;Messfehler;533;213
186594;228212;Materialfehler;158;63
105821;329333;Materialfehler;621;248
44133;198947;Materialfehler;315;126
327419;573026;Maschinenfehler;268;107
200410;515544;Bedienfehler;205;82
226601;637158;Montagefehler;113;45
184244;158378;Materialfehler;344;137
341738;410176;Montagefehler;370;148
399087;665368;Maschinenfehler;483;193
321924;500960;Materialfehler;229;91
345309;728366;Materialfehler;192;76
221943;80392;Montagefehler;424;169
126118;1023;Materialfehler;46;18
265051;177638;Materialfehler;547;218
398144;126143;Materialfehler;356;142
358899;739903;Montagefehler;173;69
232871;370211;Materialfehler;176;70
331118;212863;Materialfehler;175;70
109221;529859;Montagefehler;304;121
307010;144650;Bedienfehler;699;279
244972;571911;Bedienfehler;294;117
75988;764212;Materialfehler;81;32
117125;584362;Materialfehler;149;59
357549;342665;Maschinenfehler;615;246
260438;222538;Bedienfehler;529;211
108063;643312;Bedienfehler;546;218
269903;730871;Maschinenfehler;470;188
311520;615346;Messfehler;154;61
320128;323719;Maschinenfehler;35;14
342450;429977;Materialfehler;375;150
106221;689552;Materialfehler;397;158
237974;294983;Materialfehler;434;173
48595;576284;Materialfehler;245;98
59790;603496;Materialfehler;332;132
241305;400199;Maschinenfehler;410;164
395367;172221;Sonstige;576;230
163369;310134;Maschinenfehler;71;28
189753;692343;Montagefehler;253;101
293880;635239;Maschinenfehler;275;110
353130;634830;Bedienfehler;626;250
323836;70320;Montagefehler;484;193
21351;376127;Materialfehler;294;117
351070;675507;Sonstige;221;88
339901;789327;Materialfehler;475;190
27314;2530;Materialfehler;43;17
275337;19914;Materialfehler;81;32
339147;364965;Materialfehler;383;153
94989;200514;Maschinenfehler;94;37
339955;215408;Materialfehler;282;112
94049;445243;Maschinenfehler;204;81
278276;776992;Montagefehler;345;138
301321;35492;Sonstige;352;140
16405;681324;Montagefehler;78;31
247537;554194;Bedienfehler;245;98
124109;466456;Materialfehler;429;171
185598;429009;Materialfehler;243;97
6349;590443;Maschinenfehler;280;112
369450;552592;Maschinenfehler;523;209
267496;193059;Materialfehler;384;153
42168;135068;Materialfehler;396;158
41268;722924;Bedienfehler;237;94
168479;751109;Materialfehler;248;99
277522;470407;Materialfehler;104;41
37426;739449;Messfehler;371;148
4295;427985;Maschinenfehler;372;148
56210;1573;Maschinenfehler;402;160
92051;667965;Maschinenfehler;138;55
48839;270916;Materialfehler;169;67
178216;330925;Montagefehler;243;97
116542;790864;Maschinenfehler;286;114
7565;784459;Maschinenfehler;154;61
274712;265125;Materialfehler;334;133
290604;10168;Materialfehler;49;19
176154;374774;Materialfehler;760;304
59905;509203;Materialfehler;536;214
17306;144274;Materialfehler;233;93
241977;415477;Maschinenfehler;512;204
250045;372131;Bedienfehler;485;194
58028;555609;Bedienfehler;282;112
8398;38893;Maschinenfehler;441;176
206750;355957;Sonstige;354;141
214367;67798;Materialfehler;94;37
172411;260101;Materialfehler;35;14
8354;584171;Maschinenfehler;485;194
374842;162198;Maschinenfehler;217;86
155170;161864;Montagefehler;188;75
77421;72994;Maschinenfehler;416;166
354229;194143;Materialfehler;409;163
317506;368877;Maschinenfehler;300;120
295420;766073;Bedienfehler;161;64
325917;156242;Bedienfehler;331;132
273168;411794;Bedienfehler;274;109
238543;690679;Maschinenfehler;239;95
106686;464503;Bedienfehler;246;98
246348;673021;Maschinenfehler;80;32
296018;536178;Bedienfehler;303;121
170101;291104;Maschinenfehler;132;52
163152;754551;Bedienfehler;59;23
398926;549258;Materialfehler;269;107
49670;298445;Maschinenfehler;254;101
198137;789089;Maschinenfehler;284;113
111839;429138;Messfehler;352;140
204238;140228;Montagefehler;367;146
277650;727004;Bedienfehler;98;39
112110;784536;Maschinenfehler;62;24
266595;487747;Materialfehler;35;14
241884;239307;Materialfehler;49;19
327499;70118;Bedienfehler;389;155
231114;111833;Maschinenfehler;238;95
119804;274639;Bedienfehler;130;52
325903;756384;Bedienfehler;279;111
190780;304944;Materialfehler;526;210
222271;137797;Sonstige;407;162
202846;606827;Messfehler;404;161
379230;616477;Bedienfehler;255;102
5074;684674;Materialfehler;499;199
140706;23021;Maschinenfehler;451;180
85892;315187;Maschinenfehler;222;88
43563;354275;Maschinenfehler;214;85
241437;731332;Sonstige;211;84
77592;39659;Maschinenfehler;541;216
228453;430302;Bedienfehler;201;80
34295;555338;Materialfehler;391;156
300452;276891;Montagefehler;96;38
233944;778476;Bedienfehler;255;102
101859;404114;Maschinenfehler;298;119
207977;795251;Materialfehler;155;62
316612;201701;Montagefehler;241;96
275176;293354;Maschinenfehler;280;112
297160;152359;Materialfehler;235;94
118579;228152;Materialfehler;457;182
351489;725053;Materialfehler;395;158
43899;30940;Montagefehler;309;123
240252;673014;Materialfehler;178;71
343905;735553;Maschinenfehler;311;124
30491;457716;Materialfehler;102;40
338114;798183;Maschinenfehler;109;43
277917;156116;Materialfehler;395;158
53364;632185;Maschinenfehler;467;186
287736;749549;Materialfehler;102;40
332422;377738;Materialfehler;158;63
251690;708119;Maschinenfehler;61;24
393872;355555;Sonstige;475;190
70673;459735;Bedienfehler;153;61
57459;171306;Sonstige;285;114
131069;147089;Bedienfehler;202;80
108432;501188;Materialfehler;527;210
176814;286735;Maschinenfehler;117;46
130309;797307;Maschinenfehler;128;51
51375;124524;Maschinenfehler;226;90
293210;80131;Montagefehler;395;158
195304;687367;Bedienfehler;147;58
392048;371505;Bedienfehler;223;89
276551;45647;Bedienfehler;312;124
263422;377293;Materialfehler;258;103
169051;61069;Materialfehler;325;130
109630;430739;Materialfehler;278;111
375599;335281;Materialfehler;115;46
206329;311812;Montagefehler;33;13
358475;601527;Maschinenfehler;371;148
55095;716340;Bedienfehler;134;53
121895;238656;Montagefehler;198;79
173278;721272;Materialfehler;114;45
7018;782412;Materialfehler;157;62
15407;613579;Bedienfehler;117;46
371381;777389;Maschinenfehler;77;30
187386;682139;Sonstige;263;105
126892;456316;Montagefehler;323;129
298957;91623;Materialfehler;210;84
298797;128316;Bedienfehler;414;165
199972;235826;Maschinenfehler;295;118
345695;191574;Materialfehler;33;13
74250;502309;Materialfehler;175;70
9551;588189;Materialfehler;34;13
274140;354400;Bedienfehler;408;163
71453;47819;Sonstige;333;133
94114;713698;Materialfehler;182;72
49080;234665;Materialfehler;291;116
120960;781211;Maschinenfehler;512;204
100435;616685;Montagefehler;469;187
273626;118932;Materialfehler;190;76
308304;302608;Sonstige;109;43
78898;177695;Materialfehler;365;146
210918;197534;Materialfehler;434;173
287287;222377;Maschinenfehler;162;64
307796;605718;Messfehler;479;191
49865;613818;Maschinenfehler;114;45
116758;175765;Maschinenfehler;202;80
342782;767794;Materialfehler;297;118
4118;126512;Maschinenfehler;512;204
172081;473997;Materialfehler;298;119
42717;194524;Maschinenfehler;266;106
376096;281478;Bedienfehler;239;95
190683;289451;Maschinenfehler;355;142
28020;150039;Materialfehler;359;143
4060;703525;Sonstige;121;48
210920;500974;Maschinenfehler;614;245
135858;644016;Messfehler;312;124
102262;204738;Materialfehler;112;44
105941;639459;Bedienfehler;100;40
178457;429127;Bedienfehler;161;64
250867;466942;Maschinenfehler;454;181
17327;486328;Maschinenfehler;247;98
259447;705388;Materialfehler;565;226
288560;720524;Maschinenfehler;153;61
390550;562749;Maschinenfehler;52;20
240033;566293;Materialfehler;400;160
89735;726936;Materialfehler;322;128
39490;344976;Bedienfehler;218;87
248438;760966;Montagefehler;446;178
210581;671760;Bedienfehler;239;95
39409;29274;Maschinenfehler;85;34
19969;433781;Bedienfehler;367;146
146709;664074;Maschinenfehler;178;71
382707;50503;Bedienfehler;406;162
21071;171975;Materialfehler;285;114
107164;182561;Maschinenfehler;266;106
260787;517442;Maschinenfehler;228;91
156207;741052;Maschinenfehler;57;22
114974;148789;Maschinenfehler;261;104
251059;134791;Maschinenfehler;135;54
166528;261249;Materialfehler;531;212
185734;357748;Montagefehler;155;62
38524;797500;Materialfehler;576;230
3913;606905;Materialfehler;431;172
302573;720964;Messfehler;25;10
87135;306083;Maschinenfehler;382;152
95930;416762;Maschinenfehler;232;92
275917;446382;Bedienfehler;236;94
388671;90;Materialfehler;190;76
137025;253982;Materialfehler;481;192
196662;253510;Materialfehler;151;60
97193;138936;Bedienfehler;258;103
119659;715434;Maschinenfehler;238;95
206805;541593;Bedienfehler;131;52
361771;214721;Maschinenfehler;140;56
224333;575473;Materialfehler;31;12
60192;747262;Sonstige;585;234
284526;258351;Materialfehler;592;236
384676;285629;Materialfehler;85;34
356082;634274;Materialfehler;46;18
390185;78999;Maschinenfehler;246;98
311330;431425;Maschinenfehler;291;116
34384;382951;Materialfehler;62;24
350053;244575;Maschinenfehler;272;108
381810;280521;Sonstige;196;78
20602;337867;Materialfehler;389;155
176939;438164;Materialfehler;205;82
87585;116798;Bedienfehler;334;133
391436;577746;Materialfehler;236;94
302062;270621;Materialfehler;63;25
129162;197181;Materialfehler;585;234
83373;343655;Materialfehler;140;56
315875;172734;Materialfehler;510;204
117571;370721;Materialfehler;397;158
257827;245062;Maschinenfehler;114;45
70490;400475;Materialfehler;187;74
320520;32787;Sonstige;131;52
307660;724913;Montagefehler;208;83
362863;156439;Materialfehler;217;86
257931;272969;Materialfehler;91;36
27331;723791;Materialfehler;322;128
95471;259999;Materialfehler;119;47
76033;91549;Messfehler;69;27
116913;473101;Bedienfehler;252;100
379658;779059;Maschinenfehler;172;68
278282;94751;Materialfehler;239;95
9241;325759;Materialfehler;47;18
107797;70144;Bedienfehler;415;166
251008;500681;Maschinenfehler;835;334
318932;224093;Materialfehler;286;114
214508;67225;Materialfehler;93;37
136251;796754;Maschinenfehler;441;176
21144;789610;Maschinenfehler;399;159
79102;755754;Maschinenfehler;518;207
309774;352459;Maschinenfehler;98;39
215922;473072;Maschinenfehler;244;97
186362;179057;Materialfehler;65;26
106450;19606;Materialfehler;261;104
320477;276460;Montagefehler;326;130
247739;611055;Bedienfehler;276;110
396064;482082;Materialfehler;308;123
236643;90598;Maschinenfehler;423;169
22240;793270;Materialfehler;570;228
387145;523495;Montagefehler;168;67
52471;236833;Materialfehler;144;57
55771;264880;Materialfehler;25;10
15154;331257;Materialfehler;336;134
318661;62226;Materialfehler;218;87
383529;737323;Montagefehler;63;25
259604;218588;Maschinenfehler;299;119
326166;39345;Maschinenfehler;53;21
97622;260595;Materialfehler;70;28
349769;133068;Maschinenfehler;622;248
88287;380706;Sonstige;60;24
296821;785396;Maschinenfehler;358;143
76967;34331;Materialfehler;274;109
113324;401907;Montagefehler;370;148
81889;41577;Bedienfehler;402;160
138262;530435;Bedienfehler;66;26
291516;516790;Montagefehler;248;99
344662;382558;Messfehler;172;68
70222;617455;Materialfehler;147;58
229999;680101;Maschinenfehler;520;208
270885;326559;Materialfehler;441;176
299444;280531;Materialfehler;93;37
332753;707886;Materialfehler;462;184
142010;74765;Messfehler;71;28
303278;87196;Materialfehler;83;33
381403;262966;Montagefehler;250;100
323100;93069;Materialfehler;177;70
126930;275522;Messfehler;96;38
47131;7676;Maschinenfehler;468;187
303710;436155;Materialfehler;145;58
41037;716070;Materialfehler;359;143
289759;65375;Bedienfehler;249;99
329381;794669;Materialfehler;312;124
156144;150172;Montagefehler;83;33
282372;427350;Materialfehler;166;66
56214;330421;Maschinenfehler;291;116
160561;355749;Montagefehler;598;239
194879;37453;Maschinenfehler;406;162
360493;107832;Maschinenfehler;271;108
64700;570829;Materialfehler;680;272
192707;581294;Montagefehler;193;77
291050;322181;Bedienfehler;443;177
156286;489477;Maschinenfehler;301;120
163728;753129;Materialfehler;199;79
332618;420555;Sonstige;86;34
123144;492188;Sonstige;234;93
316316;661150;Materialfehler;320;128
133589;155238;Materialfehler;322;128
217427;55587;Materialfehler;341;136
191527;598026;Maschinenfehler;499;199
26531;606621;Materialfehler;291;116
58074;776875;Bedienfehler;33;13
11941;381411;Materialfehler;203;81
198463;572046;Materialfehler;295;118
33963;652029;Montagefehler;119;47
385003;643840;Materialfehler;151;60
29149;385610;Maschinenfehler;286;114
55005;269165;Montagefehler;62;24
297262;97809;Materialfehler;604;241
184288;311987;Montagefehler;344;137
90557;629333;Montagefehler;670;268
144923;770086;Maschinenfehler;553;221
346946;510725;Maschinenfehler;258;103
194270;292543;Maschinenfehler;475;190
250464;733742;Materialfehler;137;54
223872;725656;Montagefehler;268;107
270900;532840;Maschinenfehler;180;72
98003;407156;Maschinenfehler;112;44
6221;118853;Bedienfehler;258;103
318958;698867;Sonstige;397;158
