Reklamation_ID;Produktionsauftrag_ID;Produkt_ID;Kunden_ID;Fehlerart;Ausschussquote;Reklamationskosten
98204;376359;92;2143;Materialfehler;0,0485;9158,28
8734;451203;96;1859;Transportschaden;0,0445;13990,39
39047;131431;111;1429;Montagefehler;0,0637;34566,37
19068;736451;241;1536;Materialfehler;0,0471;6769,5
21040;604460;427;592;Optischer Fehler;0,0922;13204,19
75533;575894;273;1448;Funktionsfehler;0,046;35526,84
97144;758453;228;275;Funktionsfehler;0,0698;27461,11
42044;205798;462;620;Optischer Fehler;0,0368;12614,04
64196;656042;449;2877;Optischer Fehler;0,0388;31561,91
6510;233121;65;1191;Optischer Fehler;0,0273;29705,9
1134;777173;285;351;Funktionsfehler;0,0735;2090,82
20593;380910;289;861;Optischer Fehler;0,0463;24460,39
39774;674858;78;756;Transportschaden;0,0331;7102,65
31901;47183;497;1559;Materialfehler;0,0389;19960,48
41977;212968;371;67;Materialfehler;0,0658;5764,22
79143;214541;422;479;Materialfehler;0,0392;13529,1
50481;331514;475;1036;Funktionsfehler;0,0807;10819,02
64611;198651;114;1290;Materialfehler;0,0481;32168,05
17095;14983;154;1070;Transportschaden;0,0307;5279,53
52488;730832;399;1186;Montagefehler;0,0415;17721,13
38715;250598;428;1001;Funktionsfehler;0,0439;10043,09
55856;129491;266;2085;Optischer Fehler;0,046;3053,14
44342;28719;102;2942;Optischer Fehler;0,0489;6555,28
57201;199999;155;2118;Funktionsfehler;0,0223;6220,12
82875;607513;434;903;Transportschaden;0,042;11513,72
79451;529375;31;2648;Materialfehler;0,0372;4253,03
45807;109874;25;1995;Funktionsfehler;0,0619;53713,06
56899;593523;160;552;Optischer Fehler;0,1028;17045,07
82327;605290;96;799;Materialfehler;0,0297;2427,09
53662;292972;68;55;Funktionsfehler;0,0263;5136,93
17357;286697;98;1359;Optischer Fehler;0,0435;4060,14
24922;396575;207;2130;Funktionsfehler;0,0526;30694,24
66543;380296;334;2285;Transportschaden;0,0335;2960,69
24773;375025;151;1297;Montagefehler;0,0388;6440,46
96518;223941;265;1651;Materialfehler;0,0584;20607,38
6937;522718;248;2186;Funktionsfehler;0,0398;11881,28
26525;97385;248;286;Transportschaden;0,0387;8375,9
90733;547099;40;2454;Transportschaden;0,0362;16448,44
8781;183277;309;14;Materialfehler;0,0686;11387,17
12279;462199;391;1745;Transportschaden;0,0649;53549,48
26237;121807;357;444;Montagefehler;0,0419;3491,97
6997;525585;262;2021;Funktionsfehler;0,0342;4161,88
1569;161006;61;1232;Transportschaden;0,0682;57830,18
85434;796970;269;1193;Optischer Fehler;0,0288;1837,78
16392;158550;353;2286;Materialfehler;0,0546;6563,16
4361;177995;153;1540;Transportschaden;0,0482;10488,11
45599;606359;297;734;Montagefehler;0,0635;55879,27
26138;354196;293;2047;Optischer Fehler;0,0393;44275,69
44153;174735;73;673;Transportschaden;0,0662;41962,22
23497;49691;43;2471;Optischer Fehler;0,0441;47065,74
73850;684470;187;255;Transportschaden;0,0351;4697,9
87623;379074;373;741;Optischer Fehler;0,0409;18980,66
22264;288593;230;201;Transportschaden;0,0286;1318,74
32471;312180;428;193;Funktionsfehler;0,0278;9380,14
11697;402034;366;2876;Montagefehler;0,0485;32141,85
77642;434746;461;2616;Funktionsfehler;0,0493;20444,68
69389;638585;293;2695;Materialfehler;0,0516;49329,27
26694;142785;35;1730;Montagefehler;0,0419;10811,41
4591;784995;303;669;Transportschaden;0,082;38187,42
82206;94612;32;1551;Transportschaden;0,0365;30072,94
87181;32518;92;1791;Optischer Fehler;0,031;9193,14
48339;490553;15;984;Funktionsfehler;0,0705;3705,37
55623;479621;126;1725;Montagefehler;0,0589;8813,62
36172;387062;443;987;Transportschaden;0,0452;22619,41
89048;499044;224;2151;Montagefehler;0,0455;12285,95
86210;18295;367;1287;Montagefehler;0,0755;3974,59
42782;685406;71;121;Optischer Fehler;0,0426;7158,26
85973;407776;195;273;Montagefehler;0,0604;35091,05
36508;636646;204;259;Materialfehler;0,0518;27927,42
40611;566852;286;1751;Transportschaden;0,0562;2931,94
76200;575990;336;1102;Montagefehler;0,0433;30276,21
14993;232790;19;2548;Funktionsfehler;0,0403;16940,03
11308;184928;456;2435;Transportschaden;0,04;8854,36
33053;569407;293;927;Materialfehler;0,0295;21733,25
51356;306343;241;1776;Transportschaden;0,0624;71743,03
41333;312120;308;1665;Funktionsfehler;0,0709;3869,81
18181;476448;307;939;Montagefehler;0,0749;64870,83
64607;438159;114;2972;Materialfehler;0,049;19206,38
35512;792102;475;253;Transportschaden;0,0498;12053,15
13574;437015;81;1836;Transportschaden;0,0606;20792,2
18819;559807;46;2669;Funktionsfehler;0,0426;1130,16
44086;145447;401;2815;Montagefehler;0,0427;5021,05
68506;314882;435;1121;Optischer Fehler;0,0625;23537,6
99202;24254;299;1960;Optischer Fehler;0,0356;14711,27
35473;536099;170;328;Materialfehler;0,0808;13165,39
65352;614992;241;1758;Funktionsfehler;0,0353;10091,06
12073;359695;251;2510;Funktionsfehler;0,0408;13429,41
46401;618947;465;866;Transportschaden;0,0406;28231,86
99327;142600;227;2288;Materialfehler;0,0417;4046,56
66254;415850;462;1820;Optischer Fehler;0,0277;3697,0
26911;165744;132;30;Optischer Fehler;0,0518;58569,53
54879;338183;98;284;Materialfehler;0,045;2492,95
7664;28382;341;1983;Transportschaden;0,0267;22707,44
75412;462965;141;2867;Transportschaden;0,0269;1143,12
48982;31831;201;1167;Materialfehler;0,0505;43687,46
77719;498140;180;115;Optischer Fehler;0,0307;12486,82
52685;527745;249;2370;Montagefehler;0,0592;19462,28
77717;508835;309;2885;Montagefehler;0,0491;5658,02
20458;300009;385;2620;Transportschaden;0,0383;13058,79
53987;328482;280;1977;Materialfehler;0,0309;8052,58
49072;591316;108;292;Materialfehler;0,0377;8430,24
2309;403343;226;2135;Transportschaden;0,0486;9047,74
82832;611051;205;379;Materialfehler;0,0545;16459,75
22145;125465;245;2061;Materialfehler;0,0337;55152,83
43139;342044;248;2065;Funktionsfehler;0,0451;5056,39
48688;748602;119;624;Montagefehler;0,0471;8138,91
37148;221367;336;2444;Materialfehler;0,0741;43854,59
87933;650686;395;878;Funktionsfehler;0,0757;34840,55
81661;361409;59;1089;Transportschaden;0,0524;20576,27
54796;793315;365;551;Optischer Fehler;0,0512;54473,64
35613;722988;277;238;Materialfehler;0,05;5814,55
22910;284300;130;1742;Materialfehler;0,0599;11814,32
80361;612093;184;659;Materialfehler;0,0551;21028,68
52070;168702;115;80;Optischer Fehler;0,0916;40455,9
69612;314355;426;2266;Montagefehler;0,0306;25794,68
6017;259969;192;1966;Montagefehler;0,027;7034,8
47238;661039;153;1574;Materialfehler;0,0689;14152,11
63483;39961;468;398;Materialfehler;0,0305;8393,7
86340;562625;25;654;Optischer Fehler;0,0616;3900,13
81111;581574;135;164;Optischer Fehler;0,0488;47842,83
55846;682527;468;1267;Montagefehler;0,0499;32181,99
10151;484289;411;2786;Montagefehler;0,0319;4472,49
96650;208350;430;2247;Transportschaden;0,039;11484,56
26038;629157;371;2648;Materialfehler;0,0639;6945,01
14298;711591;232;340;Transportschaden;0,0466;8294,8
6048;661226;275;1687;Optischer Fehler;0,034;4890,5
12569;681223;151;1477;Materialfehler;0,0451;16920,51
39735;650988;53;354;Montagefehler;0,0455;7438,19
33356;105088;400;2402;Funktionsfehler;0,0558;8577,6
24751;460416;216;1170;Optischer Fehler;0,0608;26685,15
86175;649035;362;1847;Montagefehler;0,0707;2531,65
44197;467448;458;498;Optischer Fehler;0,0313;540,11
85669;266237;460;2607;Funktionsfehler;0,0557;35295,95
2124;315033;376;2670;Transportschaden;0,0518;35222,43
46748;678706;475;1874;Montagefehler;0,0394;20464,68
28380;531248;390;357;Transportschaden;0,0692;73916,1
1344;431072;105;1748;Optischer Fehler;0,0494;34474,13
4081;773415;59;1641;Materialfehler;0,0624;37732,08
33488;742503;179;555;Funktionsfehler;0,0573;10844,88
43714;376279;21;1676;Optischer Fehler;0,0475;42156,4
51502;407126;227;207;Materialfehler;0,0549;3002,94
68944;464290;418;1269;Optischer Fehler;0,0454;23458,33
79163;23971;405;925;Materialfehler;0,1134;52492,21
68474;199983;367;2279;Montagefehler;0,0332;8593,34
63411;652194;219;477;Montagefehler;0,0969;10953,12
2559;732013;131;1195;Funktionsfehler;0,04;8427,77
68635;95104;246;2801;Optischer Fehler;0,0824;39485,17
92982;688755;282;1883;Materialfehler;0,0322;15186,14
6738;308581;445;2478;Optischer Fehler;0,045;2316,27
22934;681906;415;564;Optischer Fehler;0,0674;15770,77
96344;133616;254;1202;Materialfehler;0,0466;23131,43
96164;138314;228;1803;Funktionsfehler;0,0554;69845,47
84978;115969;88;251;Funktionsfehler;0,0344;45395,91
97102;13221;338;1465;Montagefehler;0,0391;5890,63
51205;599025;486;2036;Funktionsfehler;0,0371;27428,81
88933;554087;480;264;Funktionsfehler;0,0448;13226,46
18722;629906;335;2244;Montagefehler;0,0353;4706,32
60451;6498;413;491;Montagefehler;0,0342;25500,17
47653;795449;422;2324;Materialfehler;0,0415;16470,08
43078;535064;251;1845;Montagefehler;0,0306;4327,46
8268;579204;437;2713;Funktionsfehler;0,0575;30695,31
68570;415190;485;635;Funktionsfehler;0,0375;4881,31
78648;794786;341;2528;Transportschaden;0,0475;8528,8
55765;583934;271;2316;Funktionsfehler;0,0465;7217,61
35813;672444;32;815;Transportschaden;0,0737;54827,62
55370;670759;341;2243;Funktionsfehler;0,0255;8005,1
22437;475194;137;265;Funktionsfehler;0,0453;9370,88
53761;246590;324;1223;Funktionsfehler;0,0454;55008,7
90956;740376;256;1990;Montagefehler;0,044;6009,95
22079;46217;410;591;Transportschaden;0,0466;24101,0
73193;506005;83;2102;Transportschaden;0,043;9245,14
89574;515203;487;1723;Montagefehler;0,0442;5943,87
5017;761075;361;583;Montagefehler;0,043;8684,97
96856;508809;231;1006;Transportschaden;0,0469;11535,42
45205;286500;30;290;Funktionsfehler;0,0326;15533,49
1772;768292;290;1958;Funktionsfehler;0,0483;18429,87
33326;297923;120;721;Optischer Fehler;0,0431;59673,5
77613;137552;128;700;Montagefehler;0,0401;32931,51
17485;711297;130;1252;Transportschaden;0,0424;31345,1
95589;744168;406;2440;Funktionsfehler;0,0466;12624,18
93833;517675;23;291;Montagefehler;0,0442;6423,89
62232;659933;353;2139;Montagefehler;0,075;46141,35
