Schicht_ID;Datum;Schichtart;Schichtleiter_ID;Mitarbeiteranzahl;Überstunden
7662;05.08.2024;Spät;1278;27;1,7
5960;29.07.2023;Nacht;4;15;3,9
7038;21.03.2024;Spät;1424;32;3,9
6157;10.09.2023;Spät;1396;31;2,9
7125;10.04.2024;Spät;875;19;4,8
4982;27.12.2022;Früh;754;22;2,8
7285;15.05.2024;Früh;537;20;2,1
8308;25.12.2024;Früh;1147;31;2,9
7135;12.04.2024;Spät;1240;29;3,8
5490;17.04.2023;Nacht;1034;27;4,6
2207;28.04.2021;Früh;1167;30;1,7
9287;27.07.2025;Spät;519;15;3,7
8488;02.02.2025;Spät;982;22;3,4
2272;12.05.2021;Früh;139;39;1,8
2765;28.08.2021;Früh;891;23;2,4
6354;24.10.2023;Spät;12;20;1,7
9264;22.07.2025;Spät;682;20;3
9161;30.06.2025;Nacht;119;14;2,9
19;04.01.2020;Spät;1366;33;4,6
6587;14.12.2023;Spät;1035;24;2,7
5406;30.03.2023;Nacht;681;12;7,2
8884;30.04.2025;Früh;47;32;0,8
2748;24.08.2021;Früh;1298;32;2
2628;29.07.2021;Spät;603;19;3,7
9856;29.11.2025;Spät;1493;27;4,3
8545;15.02.2025;Früh;1183;27;1,3
5680;29.05.2023;Früh;541;29;0,6
3974;20.05.2022;Spät;1246;17;1,5
29;07.01.2020;Spät;170;33;4,6
1028;13.08.2020;Nacht;415;22;3
5736;10.06.2023;Spät;1240;34;2,3
5697;02.06.2023;Spät;965;17;1,1
33;08.01.2020;Früh;1013;21;2,7
6936;28.02.2024;Spät;397;21;4
35;08.01.2020;Nacht;430;27;3,4
2886;24.09.2021;Nacht;234;15;4,1
7245;06.05.2024;Früh;1451;25;0,9
8175;26.11.2024;Spät;1402;17;1,7
3016;22.10.2021;Früh;57;32;1,5
2739;22.08.2021;Nacht;967;17;2,2
4105;18.06.2022;Früh;1086;22;1,9
7571;16.07.2024;Früh;1138;31;0,5
886;12.07.2020;Früh;972;24;1,9
6151;09.09.2023;Spät;142;19;1,8
6824;04.02.2024;Nacht;1113;14;3,8
9610;06.10.2025;Spät;29;15;1,4
5205;14.02.2023;Nacht;1088;22;5
7351;29.05.2024;Früh;1405;33;2
5481;15.04.2023;Nacht;967;12;3,8
3652;11.03.2022;Früh;198;26;1,2
8083;05.11.2024;Früh;320;30;1,6
5467;12.04.2023;Nacht;1467;16;7,6
2490;29.06.2021;Früh;393;27;2,3
1823;03.02.2021;Spät;356;20;4,1
3774;06.04.2022;Spät;1178;21;4
3795;11.04.2022;Früh;1465;20;2,5
6813;01.02.2024;Früh;1120;37;1,3
8674;15.03.2025;Früh;1397;25;0,8
59;13.01.2020;Früh;623;39;0,7
9469;05.09.2025;Spät;1292;33;1,5
1861;11.02.2021;Nacht;1032;25;4,2
3926;10.05.2022;Früh;1063;36;2,5
9657;16.10.2025;Nacht;1215;29;4,9
64;14.01.2020;Früh;599;34;1,5
65;15.01.2020;Früh;934;33;0,8
66;15.01.2020;Spät;429;31;1,4
67;15.01.2020;Früh;1150;25;2,7
68;15.01.2020;Nacht;1325;17;2,1
3488;03.02.2022;Früh;970;24;2,9
8280;19.12.2024;Früh;55;36;0,8
71;16.01.2020;Nacht;1069;20;2,4
2783;01.09.2021;Nacht;1268;20;6,6
6949;02.03.2024;Nacht;299;18;4
9983;27.12.2025;Früh;179;22;0,6
5459;10.04.2023;Nacht;657;14;7,9
6205;21.09.2023;Früh;690;39;1,5
4318;03.08.2022;Früh;1484;21;2,7
2438;18.06.2021;Früh;263;22;2,3
5113;25.01.2023;Spät;762;22;2,5
1683;03.01.2021;Spät;1253;16;1,5
6517;28.11.2023;Nacht;786;25;4,2
82;18.01.2020;Spät;1254;26;2,5
83;18.01.2020;Früh;1368;39;2,3
829;30.06.2020;Spät;1460;31;3,4
4110;19.06.2022;Spät;53;20;2,1
6811;01.02.2024;Nacht;1080;25;7,6
1477;19.11.2020;Nacht;754;27;3,2
4967;24.12.2022;Nacht;318;15;2,5
2454;21.06.2021;Früh;438;27;0,1
5432;05.04.2023;Früh;1045;33;1,8
91;20.01.2020;Früh;642;28;2,5
5738;11.06.2023;Früh;688;24;0,2
9209;10.07.2025;Nacht;450;24;6,2
5214;16.02.2023;Nacht;1103;23;5,3
1155;09.09.2020;Spät;617;17;3,6
