Zuweisung_ID;Mitarbeiter_ID;Schicht_ID
15922;180;9495
7814;703;3601
2469;594;8303
1597;817;5591
5322;781;1077
9912;639;943
5762;1483;6271
16231;1084;626
2258;1180;1891
20754;509;8062
9511;327;5114
2776;19;5399
18295;330;7832
1681;973;3501
3711;1289;403
838;1330;165
10010;445;457
22516;428;2576
29424;871;6474
7201;1153;710
6323;1474;5006
28882;117;1460
23451;694;7044
10286;606;3369
27530;234;6305
20471;1321;1868
17075;9;4631
3250;173;7543
29435;135;2267
14093;379;5296
15422;23;8649
21978;1223;7867
20497;1264;9160
13048;1190;5081
25829;1140;4898
22883;9;9026
10139;1101;1353
17283;534;7818
17614;353;7717
6956;1437;9292
20742;637;165
9278;708;5497
22719;391;2309
11284;1212;7024
8477;1056;3519
7765;897;5644
1076;798;8526
6852;325;5255
7345;330;5232
21237;944;9037
3060;1050;7175
10550;1496;3884
6490;662;9845
6804;753;4474
24097;71;1618
6286;1068;4138
29930;818;7672
2160;361;5392
29571;469;3339
20569;580;7909
17214;1047;4370
23123;1013;9523
10848;1092;1384
13348;919;7943
10590;1008;149
29170;1499;4070
28541;957;4581
20781;932;6906
4946;299;5985
25550;1095;7505
29436;532;2249
9492;1319;9676
1694;1313;6286
21875;473;8128
3201;855;3603
15158;1185;9820
19922;447;3455
28102;147;8114
14538;80;6270
6884;284;7038
7946;809;3677
1716;826;8096
12877;622;3205
2965;1252;2570
6224;330;8987
24131;1369;2116
17572;1366;5011
28657;496;2016
10519;710;8375
1762;1266;1129
29796;1028;1865
22159;304;5839
974;623;5861
7016;1174;5367
1570;318;2516
26243;965;3506
16642;1239;4854
6842;848;4732
15270;1286;9261
2014;1292;273
29557;325;7414
7960;515;2331
15993;958;479
11847;1020;947
5519;192;7349
106;65;7523
1349;1023;3626
26812;1206;7551
15244;1252;6710
22543;1398;1241
7921;1487;2470
3154;943;3123
23841;447;5127
24164;515;8020
1709;356;9821
3558;77;4890
4369;1121;1067
15841;214;2256
23968;9;7157
19717;519;8661
14819;722;349
3827;471;568
6365;1171;9508
4200;1272;6514
15586;1402;1848
20375;590;3022
4129;693;5156
24068;102;676
28981;615;6689
18172;422;3702
1365;1304;808
9423;691;2471
21600;86;269
3419;431;4508
9230;444;6346
6302;747;4315
8342;49;9346
10044;416;809
23321;554;7758
29295;1378;8527
25874;1425;7178
2933;1010;4841
13833;731;2426
26555;1373;5386
25605;148;9653
19531;1048;9914
12237;227;4548
4211;566;3274
12379;955;9440
27471;276;8430
29811;64;3231
16165;527;456
22902;1091;9435
22417;1098;7434
5175;238;3663
28271;402;6572
28663;310;3401
5380;1257;6139
9206;152;8486
26597;61;9951
19223;1472;7207
8189;236;766
12495;1245;4196
10168;264;366
26655;329;5778
26587;989;830
17867;968;9151
2332;1456;4314
22223;1095;5276
9613;520;3480
4616;964;8822
2447;969;6813
18687;616;7524
17188;1075;8263
2487;266;4107
5498;625;5917
177;1372;8837
21141;1378;128
17701;587;5184
22285;44;7829
19822;503;2159
14635;614;1290
14929;1460;6046
7880;530;1270
10532;677;4439
18547;1105;9904
29103;205;4173
13580;1034;5645
14404;1095;6282
10235;49;4218
9648;1365;8642
18174;1202;3068
3400;584;8641
17332;1165;8976
13392;805;9979
23500;975;7010
13651;1446;2608
20344;143;9133
23800;743;4467
27534;1358;2172
1014;118;768
23593;779;2836
15843;592;1126
28999;1462;4171
205;1292;3343
17346;1303;5378
27628;59;5613
24965;660;3397
23623;937;5784
3151;1401;6426
21718;160;1810
14852;1456;4387
13588;1279;6944
9068;675;158
11997;723;8695
13919;994;1120
11686;221;9831
