Sensorwert_ID;Produktionsauftrag_ID;Maschinen_ID;Temperatur_C;Druck_bar;Vibration_mm;Stromaufnahme_A;Drehzahl_RPM;Ausfallrisiko;Zeitstempel
967138;239161;118;97,82;11,2;7,18;193;2440;103,39;02.04.2022 04:20
462409;738728;215;69,7;11,47;4,98;133,42;2156;56,59;18.01.2021 19:27
470574;86085;82;73,66;11,3;3,5;157,11;2209;46,71;12.04.2024 09:28
512032;154756;229;55,17;10,1;2,99;143,99;2049;38,23;20.10.2023 05:28
218554;13995;153;83,8;10,99;6,9;163,32;2254;83,27;19.06.2024 00:43
551279;249666;154;76,44;11,91;4,31;182,42;2439;54,54;09.09.2020 22:43
768298;284713;250;52,98;11,48;2,53;187,65;2300;32,92;17.02.2023 19:31
204664;61299;17;70,45;11,3;4,54;183,82;2514;57,85;06.10.2024 07:43
839332;119269;17;60,49;11,88;4,7;249,81;2841;52,7;12.10.2021 23:41
539551;737953;119;65,31;10,35;2,01;232,03;2681;31,77;24.08.2025 21:21
466169;53467;100;104,7;11,96;5,6;154,73;2120;104,51;14.06.2024 04:34
541827;783115;148;72,77;11,11;5,1;161,26;2235;58,58;26.10.2022 02:02
493107;152247;216;86,38;12,92;8,39;200,46;2495;111,87;23.05.2024 05:58
1001034;719002;300;100,36;12,63;11,18;197,01;2761;145,06;09.10.2023 09:02
817192;548063;45;64,91;11,5;2,49;247,95;3192;40,69;26.09.2024 09:09
353498;245232;30;108,19;10,59;4,73;243,37;2715;97,62;16.08.2025 01:35
841457;656196;214;76,08;11,18;5,56;173,99;2587;80,68;19.11.2020 19:58
688739;447232;55;77,72;11,68;3,81;232,53;2683;51,87;07.07.2024 23:57
196610;376349;213;64,34;10,74;3,35;237,98;3030;48,29;03.12.2025 14:05
541866;207267;291;105,79;11,82;6,19;172,04;2433;103,65;17.11.2022 18:26
987955;39181;264;74,75;10,83;2,99;196,3;2644;47,23;24.05.2023 23:03
496771;519114;172;90,68;12,13;8,71;154,82;2483;101,03;27.04.2025 10:38
675150;681306;171;68,58;11,59;3,51;164,92;2605;50,91;26.12.2025 23:28
404190;97965;172;97,09;12,94;6,97;229,52;2786;102,17;08.07.2025 16:39
657508;399493;214;101,72;11,51;6,29;184,76;2255;91,72;15.06.2025 20:45
524625;528420;300;72,98;10,46;2,68;142,63;2286;58,06;19.09.2022 03:37
988557;750242;74;67,82;10,81;2,11;236,62;2459;30,53;07.01.2024 14:35
855954;471623;217;70,37;9,94;3,18;199,64;2648;48,83;29.06.2022 13:40
77725;476999;153;95,67;12,81;7,23;217,02;2289;112,83;01.09.2024 06:51
795192;533026;210;85,27;12,01;6,77;230,14;2474;103,8;06.06.2021 07:23
554623;230673;130;82,24;11,28;3,25;242,6;2747;52,18;21.10.2020 17:18
48449;755969;134;84,45;12,12;5,04;173,53;2545;63,84;13.12.2022 23:23
1029864;428107;248;62,3;9,95;1,17;256,6;3126;24,54;12.01.2023 05:26
265356;256516;118;96,64;11,09;5,64;253,15;2502;82,41;17.06.2024 03:56
212581;435849;64;74,98;10,64;1,02;129,3;2218;26,32;05.08.2024 05:58
417880;214206;209;87;10,22;4,32;197,88;2408;83,84;26.12.2022 13:05
243445;254484;124;111,64;12,6;7,08;160,83;2268;101,81;04.07.2023 16:13
1031750;501231;148;90,7;10,26;2,09;143,68;2072;46,16;26.02.2021 22:57
502045;41911;125;109,74;11,37;5,78;171;2603;104,57;04.08.2024 21:17
193942;483182;155;59,97;11,06;2,37;141,45;1829;32,66;14.06.2023 02:25
552613;314584;102;70,8;10,36;1,25;169,66;2719;32,07;04.08.2021 13:29
638972;212810;248;61,64;9,71;2,78;169,06;2343;36,79;26.05.2024 08:53
738781;682162;279;73,12;11,55;3,78;192,23;2716;51,27;22.10.2025 01:02
138260;328911;78;102,15;12,03;6,59;185,81;2444;97,3;19.10.2023 23:55
1029133;346118;269;83,92;10,87;4,94;140,29;2084;63,27;19.05.2021 16:36
179054;328213;215;63,76;11,81;4,07;282,28;3147;49,15;20.02.2023 11:52
147621;91024;78;116;12,95;9,15;195,72;2336;112,2;09.04.2021 08:29
1034655;315389;93;46,86;10,48;2,36;200,03;1850;28,89;24.11.2021 17:30
286646;185711;7;97,15;11,55;6,81;232,79;2590;96,23;09.11.2020 08:00
566360;640372;47;83,19;11,28;5,03;258,82;2460;67,36;04.05.2020 07:21
878665;535844;45;78,72;11,42;3,78;273,87;2891;51,11;10.08.2020 18:27
132987;188578;161;76,29;12,36;4,07;203,34;2255;51,09;03.09.2025 10:20
936430;538583;183;58,83;10,39;1,78;192,61;2490;27,32;29.05.2024 17:00
75281;557962;231;61,64;10,45;1,66;186,05;2398;28,63;05.08.2021 15:47
453680;5179;16;98,54;11,19;6,67;224,33;2506;102,86;08.07.2021 04:40
963414;450898;14;96,19;11,81;5,15;200,83;2427;84,09;21.07.2021 01:21
940159;71694;84;81,29;12,42;7,29;164,19;2485;91,39;08.11.2023 14:00
323061;681608;274;58,39;9,92;2,13;220,09;2943;29,55;25.08.2023 17:01
138597;380078;195;66,06;11,11;2,61;252,54;3157;39,5;09.07.2024 03:43
955928;303076;179;60,89;11;3,16;160,47;2400;39,88;08.08.2021 16:40
73585;695095;119;57,21;10,74;2,44;264,58;2595;33,86;07.03.2020 01:11
243272;431130;124;79,74;12,53;8,31;166,05;2335;105,41;16.07.2020 00:14
577557;351225;240;99,92;12,42;7,44;149,44;2159;116,51;11.02.2021 16:33
838371;475983;64;74,59;11,45;5,12;270,33;2658;67,22;03.09.2020 21:36
23309;652863;33;87,05;12,9;8,93;193,06;2656;106,03;18.06.2020 02:49
204827;374918;273;59,62;10,73;2,94;311,69;2951;35,72;05.09.2025 15:22
607357;711943;189;80,72;11,66;4,47;215,58;2493;57,23;09.05.2022 01:05
933029;179815;6;84,28;12,24;6,42;155,95;2304;88,57;14.10.2021 20:30
229706;496304;200;51,24;11,17;1,94;195,61;2489;27,16;05.12.2024 15:44
828886;740832;258;81,56;11,96;5,79;289,97;2484;69,82;10.06.2022 10:49
726796;281707;43;96,17;11,83;4,61;228,69;2821;88,61;21.02.2022 23:38
589638;290158;297;60,31;10,73;2,5;274,79;3209;32,82;05.04.2025 09:13
45846;462993;199;62,56;9,73;2,23;190,13;2110;34,25;01.06.2021 16:38
942976;265872;291;107,07;11,64;6;184,57;2675;94,51;16.10.2021 13:59
737665;583015;51;54,94;10,29;2,37;219,78;2681;33,56;19.09.2025 22:12
991219;443740;212;86,72;11,07;4,93;246,59;2897;62,91;27.08.2025 15:26
981828;714735;154;60,56;11,74;4,6;154,78;1916;51,06;03.07.2022 17:08
565280;236629;143;67,7;11,29;4,05;148,94;2345;53,68;10.02.2023 06:08
968322;728444;121;53,67;11,13;1,91;207,86;2554;28,89;07.08.2024 16:57
380004;541376;122;63,1;10,43;1,35;150,68;2344;23,51;29.03.2023 00:02
979603;702623;263;55,88;11,14;5,58;149,71;2148;68,82;15.05.2023 11:20
88490;380670;26;57,02;10,61;1,49;161,73;1983;23,62;25.09.2023 22:02
493223;788339;280;50,5;10,55;2,05;275,49;2879;27,42;13.10.2025 10:49
651370;774060;265;59,41;10,28;1,99;281,79;3167;29,64;18.04.2021 22:17
150897;475570;144;72,18;11,06;3,71;207,33;2739;52,29;02.10.2020 05:07
958523;381596;10;80,67;11,21;2,3;205,58;2576;45,82;25.08.2024 09:01
