Sicherheitsfall_ID;Datum;Maschinen_ID;Schweregrad;Sicherheitsverstöße;Produktionsausfall_h
8719;2022-12-25 18:00:00;29;Niedrig;1;1,87
18729;2026-05-30 00:00:00;32;Niedrig;1;5,15
2797;2020-12-15 12:00:00;122;Hoch;2;2,98
10453;2023-07-30 12:00:00;142;Niedrig;4;9,29
7077;2022-06-03 12:00:00;291;Niedrig;0;3,45
4780;2021-08-20 09:00:00;261;Niedrig;3;5,81
17416;2025-12-16 21:00:00;242;Niedrig;0;5,01
2630;2020-11-24 15:00:00;132;Niedrig;0;0,62
11067;2023-10-15 06:00:00;266;Mittel;3;10,28
14365;2024-11-30 12:00:00;260;Hoch;2;0,07
11;2020-01-02 06:00:00;100;Niedrig;3;11,6
13282;2024-07-18 03:00:00;165;Mittel;2;0,37
19401;2026-08-22 00:00:00;291;Mittel;1;6,56
9439;2023-03-25 18:00:00;185;Niedrig;0;0,23
12960;2024-06-07 21:00:00;83;Niedrig;0;0,89
15885;2025-06-08 12:00:00;160;Niedrig;7;6,86
17;2020-01-03 00:00:00;192;Niedrig;1;4,97
11573;2023-12-17 12:00:00;87;Niedrig;4;0,46
11808;2024-01-15 21:00:00;288;Niedrig;2;7,46
11107;2023-10-20 06:00:00;220;Niedrig;2;5,52
4139;2021-06-01 06:00:00;208;Niedrig;2;1,16
4241;2021-06-14 00:00:00;98;Niedrig;2;2,45
13551;2024-08-20 18:00:00;42;Mittel;1;8,01
3278;2021-02-13 15:00:00;171;Niedrig;5;1,3
11680;2023-12-30 21:00:00;147;Mittel;2;0,17
14049;2024-10-22 00:00:00;195;Niedrig;2;1,37
15910;2025-06-11 15:00:00;252;Niedrig;3;0,03
16153;2025-07-12 00:00:00;241;Niedrig;3;4,21
14327;2024-11-25 18:00:00;232;Niedrig;0;0,02
13070;2024-06-21 15:00:00;10;Niedrig;1;4,8
8511;2022-11-29 18:00:00;289;Niedrig;3;0,89
12154;2024-02-28 03:00:00;15;Niedrig;1;2,73
18561;2026-05-09 00:00:00;300;Niedrig;2;8,29
16307;2025-07-31 06:00:00;112;Niedrig;1;1,12
14112;2024-10-29 21:00:00;115;Niedrig;3;2,32
9885;2023-05-20 12:00:00;55;Niedrig;2;1,66
16086;2025-07-03 15:00:00;179;Mittel;1;1,34
6800;2022-04-29 21:00:00;181;Mittel;3;4,8
2844;2020-12-21 09:00:00;145;Mittel;1;2,82
14806;2025-01-24 15:00:00;266;Niedrig;1;6,45
7580;2022-08-05 09:00:00;190;Mittel;0;0,89
17944;2026-02-20 21:00:00;161;Niedrig;0;2,48
13210;2024-07-09 03:00:00;53;Niedrig;2;2,11
4029;2021-05-18 12:00:00;75;Niedrig;1;2,59
6515;2022-03-25 06:00:00;208;Niedrig;2;2,86
3803;2021-04-20 06:00:00;57;Mittel;1;0,67
1631;2020-07-22 18:00:00;156;Niedrig;2;2,15
10888;2023-09-22 21:00:00;101;Niedrig;1;3,7
11635;2023-12-25 06:00:00;240;Hoch;4;1,5
19820;2026-10-13 09:00:00;31;Niedrig;2;10,77
14680;2025-01-08 21:00:00;20;Mittel;2;3,29
17842;2026-02-08 03:00:00;291;Mittel;5;24,61
2126;2020-09-22 15:00:00;181;Mittel;2;1,92
11830;2024-01-18 15:00:00;46;Niedrig;4;3,16
860;2020-04-17 09:00:00;62;Niedrig;1;2,31
1052;2020-05-11 09:00:00;36;Niedrig;1;8,15
