Wartung_ID;Maschinen_ID;Datum;Wartungsart;Kosten
39345;70;2025-09-24;Inspektion;18840,18
38890;225;2023-12-04;Praeventiv;10537,91
5736;134;2021-08-18;Inspektion;11665,59
46344;250;2023-03-14;Inspektion;24545,1
72950;86;2021-11-29;Notfall;1316,85
15591;253;2025-05-24;Inspektion;12432,68
11440;124;2023-07-14;Notfall;13979,16
66335;145;2020-06-01;Praeventiv;16871,01
64270;241;2023-11-18;Inspektion;11256,0
2669;265;2025-07-29;Inspektion;16993,63
62205;264;2023-04-30;Inspektion;514,62
53805;153;2021-01-19;Praeventiv;12532,23
67205;26;2022-07-07;Praeventiv;16071,21
14;150;2022-02-12;Praeventiv;23018,01
2643;210;2023-09-27;Reparatur;13941,02
47098;61;2021-07-26;Reparatur;1957,56
16115;188;2020-12-03;Reparatur;9619,17
15421;152;2020-09-20;Praeventiv;24662,2
10530;132;2024-04-18;Praeventiv;15566,51
61653;205;2022-12-15;Inspektion;19451,81
17311;2;2021-11-24;Notfall;19546,78
36877;80;2020-10-09;Notfall;8510,2
42679;282;2023-08-27;Inspektion;16689,72
1505;174;2023-01-17;Praeventiv;15704,07
51118;232;2022-05-06;Praeventiv;21006,15
3882;81;2024-10-15;Inspektion;15771,16
23228;157;2024-12-18;Notfall;20916,45
22894;98;2024-12-13;Praeventiv;5373,66
78899;56;2021-04-18;Inspektion;19843,31
77238;197;2025-11-11;Praeventiv;1472,23
73264;175;2025-07-04;Praeventiv;3179,73
27999;20;2024-01-06;Notfall;10191,14
59001;214;2024-01-28;Praeventiv;24593,59
49382;12;2022-05-08;Praeventiv;22688,0
53544;281;2023-03-05;Inspektion;5068,23
52759;83;2020-03-29;Inspektion;17989,92
20452;274;2020-03-03;Inspektion;2315,1
63067;210;2024-07-11;Inspektion;2868,27
61662;168;2023-12-28;Inspektion;2551,48
20400;145;2025-05-09;Notfall;22253,9
40463;131;2023-02-26;Reparatur;17099,72
65919;25;2024-01-11;Inspektion;23449,3
75981;61;2021-05-22;Inspektion;16569,93
77675;55;2023-11-14;Notfall;13792,56
28453;221;2024-03-05;Reparatur;5064,96
46;206;2022-11-28;Praeventiv;23091,1
9186;232;2021-08-29;Praeventiv;15991,15
48;50;2023-02-18;Inspektion;9843,57
32834;266;2023-08-11;Praeventiv;7856,53
33582;107;2021-06-08;Praeventiv;9098,58
39317;45;2021-08-10;Praeventiv;4961,28
71633;106;2020-04-15;Praeventiv;24602,12
48366;201;2021-10-27;Praeventiv;15127,51
32872;58;2022-03-30;Reparatur;9619,68
74110;300;2023-06-17;Praeventiv;12405,06
61532;53;2021-12-06;Praeventiv;1848,72
10423;30;2025-09-06;Inspektion;12673,36
30915;213;2021-06-18;Notfall;19821,27
77860;75;2022-02-03;Inspektion;7924,6
18358;10;2025-05-21;Inspektion;8588,48
23741;92;2024-11-27;Praeventiv;24324,71
45193;52;2022-11-29;Reparatur;18880,73
34145;58;2021-03-06;Praeventiv;21237,8
21806;115;2022-01-11;Praeventiv;10447,27
78801;183;2020-08-16;Praeventiv;11360,53
58751;118;2024-07-06;Inspektion;15196,53
68946;71;2022-09-09;Inspektion;11958,53
32783;245;2023-09-13;Praeventiv;9780,58
78772;80;2020-02-09;Inspektion;5934,93
4280;119;2022-10-18;Praeventiv;15122,45
34846;279;2025-05-18;Inspektion;2321,24
58111;34;2020-01-09;Reparatur;1776,13
4198;276;2024-03-24;Praeventiv;11686,82
32393;14;2021-09-22;Praeventiv;24237,56
74493;30;2021-11-21;Notfall;24841,41
29829;230;2024-06-11;Praeventiv;5524,53
78939;115;2020-07-07;Notfall;1520,25
3273;74;2024-12-28;Praeventiv;20718,1
18899;87;2023-05-29;Praeventiv;10053,82
72877;215;2024-07-21;Praeventiv;15292,82
43071;296;2023-05-06;Praeventiv;13139,21
53542;294;2024-01-24;Reparatur;21852,59
7207;274;2021-09-06;Praeventiv;13848,18
22109;46;2021-05-15;Praeventiv;4937,71
46495;152;2020-12-25;Notfall;24503,7
51320;67;2023-07-10;Praeventiv;17884,02
13299;99;2022-02-28;Notfall;23698,52
48040;193;2024-12-29;Praeventiv;12402,3
11142;53;2021-11-29;Inspektion;18437,95
54880;209;2025-04-03;Reparatur;23894,19
34465;28;2021-05-22;Notfall;15841,51
51354;238;2023-02-05;Praeventiv;11041,54
1248;142;2023-07-10;Inspektion;19165,53
14136;149;2024-07-05;Praeventiv;17530,02
65118;145;2024-09-24;Praeventiv;11982,88
8435;249;2025-10-23;Praeventiv;7816,69
54655;279;2020-02-29;Praeventiv;24348,19
18514;2;2021-02-27;Praeventiv;11218,34
42848;189;2023-05-06;Praeventiv;8588,08
50085;219;2021-03-17;Notfall;23785,09
72085;62;2025-11-27;Inspektion;5023,17
34349;23;2025-10-30;Praeventiv;6639,93
31592;29;2021-11-08;Praeventiv;8454,23
79222;214;2022-02-12;Praeventiv;19620,08
69409;177;2020-12-11;Reparatur;7542,44
42856;98;2021-02-22;Praeventiv;3302,3
22460;84;2021-11-11;Notfall;13384,58
51920;178;2025-10-20;Inspektion;14467,0
109;15;2025-07-28;Praeventiv;17150,47
76732;238;2022-11-14;Inspektion;20548,16
55841;133;2025-06-19;Inspektion;13590,94
42577;19;2022-03-28;Praeventiv;10699,18
5337;126;2023-04-03;Praeventiv;9663,76
60603;205;2025-09-10;Inspektion;9694,97
812;118;2024-08-11;Praeventiv;17555,1
74911;67;2020-08-21;Reparatur;10486,13
13245;53;2025-12-29;Inspektion;3766,27
57393;135;2025-05-18;Praeventiv;23553,09
58584;31;2022-07-28;Inspektion;19822,34
37880;149;2025-05-25;Praeventiv;22519,59
62967;131;2024-10-25;Praeventiv;17611,42
59255;88;2023-01-12;Inspektion;15473,18
58288;41;2025-12-22;Reparatur;8390,29
58088;94;2025-04-22;Praeventiv;6409,01
44369;219;2025-11-23;Inspektion;23628,48
29914;221;2023-10-24;Reparatur;20570,84
79093;210;2025-03-21;Reparatur;9375,79
74248;225;2021-03-21;Inspektion;4015,28
9245;257;2021-09-25;Inspektion;19169,68
46326;119;2024-08-14;Praeventiv;1098,88
38683;176;2020-12-16;Inspektion;2131,81
67099;163;2025-04-26;Praeventiv;14869,14
10905;235;2022-10-03;Reparatur;8100,67
71441;22;2025-11-02;Praeventiv;18408,63
56078;93;2025-01-15;Reparatur;24835,43
28845;273;2024-08-03;Notfall;23732,67
11799;142;2023-07-23;Praeventiv;24433,45
46314;262;2024-06-19;Inspektion;21061,35
51409;22;2025-03-25;Notfall;9588,87
69305;242;2023-11-10;Praeventiv;8183,56
49414;85;2021-09-30;Reparatur;23398,44
49209;167;2022-04-04;Notfall;13838,04
45995;130;2020-12-03;Reparatur;1813,97
54995;187;2020-07-01;Reparatur;5754,61
13369;259;2022-11-18;Reparatur;5826,12
60967;193;2025-06-11;Reparatur;13024,24
79492;188;2023-06-14;Inspektion;6842,98
62893;244;2021-03-03;Inspektion;11639,14
29010;198;2023-12-07;Inspektion;5544,73
49983;123;2021-04-28;Praeventiv;16692,63
29405;197;2020-12-06;Inspektion;13098,7
50410;256;2025-10-02;Praeventiv;23974,75
30865;111;2023-05-17;Praeventiv;8554,85
54191;57;2023-08-16;Praeventiv;16512,97
33230;45;2022-03-03;Praeventiv;19081,05
7548;295;2023-08-06;Reparatur;2316,45
13374;262;2022-02-10;Notfall;10054,05
21076;242;2024-01-28;Praeventiv;6192,71
22713;4;2021-01-29;Praeventiv;20699,59
59484;24;2023-01-06;Praeventiv;3457,93
32858;90;2025-09-16;Praeventiv;11162,06
61433;253;2020-01-27;Inspektion;8862,23
16790;152;2020-09-02;Praeventiv;13543,69
40150;232;2025-03-23;Praeventiv;7529,01
56799;238;2024-01-11;Praeventiv;6086,65
26252;237;2021-12-11;Inspektion;4705,58
31499;238;2022-05-28;Praeventiv;7534,09
36170;28;2022-03-04;Reparatur;15421,87
74284;125;2023-01-22;Reparatur;19653,55
55900;290;2022-09-06;Praeventiv;15918,13
79052;284;2023-05-28;Praeventiv;24982,11
55751;290;2020-04-06;Praeventiv;14859,96
21413;21;2025-04-07;Praeventiv;8902,75
43379;280;2020-09-10;Reparatur;5656,06
42490;9;2023-12-09;Reparatur;14896,58
50875;150;2021-05-03;Praeventiv;15455,0
24874;240;2020-04-10;Reparatur;10484,55
37797;105;2023-10-29;Praeventiv;8119,04
2634;67;2024-06-12;Praeventiv;9665,95
25836;96;2023-08-29;Inspektion;10787,58
25773;22;2023-06-18;Praeventiv;20594,18
74100;114;2025-03-26;Notfall;23004,97
37401;106;2020-09-07;Reparatur;21705,17
54589;117;2021-08-19;Reparatur;21115,79
32921;258;2022-02-25;Praeventiv;16012,44
14790;42;2025-09-17;Reparatur;6828,0
54763;126;2020-12-22;Reparatur;13713,06
46219;32;2020-02-15;Inspektion;8632,66
31760;31;2021-02-26;Inspektion;6291,02
63168;189;2023-02-11;Praeventiv;20637,85
69779;102;2021-11-23;Reparatur;18014,12
39263;298;2021-12-29;Inspektion;1127,97
15086;201;2020-07-21;Inspektion;4353,23
36226;297;2025-03-09;Praeventiv;21182,65
38936;109;2024-12-08;Notfall;11676,62
41850;33;2025-06-09;Praeventiv;3200,13
37186;294;2024-07-09;Inspektion;19255,38
7882;48;2025-02-28;Praeventiv;5941,92
33603;139;2023-04-20;Praeventiv;12517,65
67758;24;2021-08-27;Praeventiv;23184,09
30598;221;2023-08-03;Reparatur;8523,93
31702;121;2020-11-22;Inspektion;2572,24
73016;234;2024-04-01;Reparatur;17530,9
14672;262;2020-04-30;Praeventiv;6487,54
12554;193;2022-05-28;Notfall;16611,85
17000;139;2020-01-18;Praeventiv;13130,78
70608;79;2023-11-24;Notfall;14044,43
33732;105;2022-04-28;Reparatur;13482,22
45929;43;2022-09-28;Praeventiv;7944,68
75777;245;2022-07-21;Inspektion;23142,96
21047;279;2020-05-29;Reparatur;18228,74
64942;135;2025-07-30;Praeventiv;6228,21
33262;145;2025-07-31;Praeventiv;15522,91
27058;47;2023-06-30;Reparatur;2615,75
73922;149;2024-07-21;Reparatur;13022,53
9883;177;2024-03-01;Praeventiv;15026,56
69943;88;2022-11-16;Reparatur;15903,88
65936;257;2022-07-08;Praeventiv;16628,56
58994;262;2023-11-16;Praeventiv;24519,15
69971;201;2022-04-01;Praeventiv;24283,64
75743;123;2025-09-12;Praeventiv;6759,86
58601;100;2024-05-29;Praeventiv;5804,19
33248;54;2024-06-16;Praeventiv;5892,22
41555;91;2025-08-15;Praeventiv;8604,85
21693;62;2021-07-28;Praeventiv;2454,51
