Zulieferer_ID;Name;Land;Region;Qualitaetsklasse;Lieferantenbewertung;Ausschussfaktor;Lieferzeit_Faktor;Jahresumsatz_EUR;Vertragsdauer_Jahre
1;Lieferant_1;Türkei;Europa;A;95;0,9;0,87;3277993;14
2;Lieferant_2;Slowakei;Europa;C;51;1,34;1,29;7805092;16
3;Lieferant_3;Ungarn;Europa;B;75;0,98;1,06;7683354;18
4;Lieferant_4;Türkei;Europa;B;77;1,07;0,96;3231209;7
5;Lieferant_5;Tschechien;Europa;C;63;1,57;1,21;9712128;10
6;Lieferant_6;China;Asien;A;97;0,77;0,88;5913365;7
7;Lieferant_7;Ungarn;Europa;B;86;1,08;0,99;4157893;1
8;Lieferant_8;Ungarn;Europa;B;81;0,99;1,02;5791276;19
9;Lieferant_9;Türkei;Europa;B;84;1,09;1,05;5497662;16
10;Lieferant_10;Polen;Europa;B;82;0,98;1,05;9928366;19
11;Lieferant_11;Tschechien;Europa;B;89;1,03;1,08;1905468;4
12;Lieferant_12;Türkei;Europa;B;75;0,97;1,06;3527975;18
13;Lieferant_13;Tschechien;Europa;B;84;1,07;1,07;6456228;2
14;Lieferant_14;Tschechien;Asien;C;62;1,23;1,1;8614716;1
15;Lieferant_15;China;Europa;B;78;1,05;1,06;5625633;15
16;Lieferant_16;Ungarn;Europa;C;61;1,55;1,11;2180154;5
17;Lieferant_17;Slowakei;Europa;B;81;1,05;1;2344702;11
18;Lieferant_18;China;Europa;A;95;0,82;0,8;3477778;10
19;Lieferant_19;China;Europa;A;95;0,76;0,88;5835193;2
20;Lieferant_20;Tschechien;Europa;B;82;1,07;0,98;7826890;3
21;Lieferant_21;Rumänien;Europa;B;78;1,08;0,98;5997498;12
22;Lieferant_22;Ungarn;Europa;B;77;1,05;1,06;8457956;5
23;Lieferant_23;Polen;Europa;C;59;1,33;1,34;8304298;5
24;Lieferant_24;China;Europa;B;86;1,06;0,99;8876957;6
25;Lieferant_25;Slowakei;Europa;A;96;0,79;0,9;9551337;9
26;Lieferant_26;Rumänien;Europa;A;99;0,73;0,84;5943493;2
27;Lieferant_27;Rumänien;Europa;B;83;1,05;0,99;3486501;12
28;Lieferant_28;Polen;Europa;C;56;1,46;1,23;7495350;3
29;Lieferant_29;China;Europa;B;77;0,99;1;4688334;12
30;Lieferant_30;Slowakei;Asien;C;74;1,34;1,13;8564685;17
31;Lieferant_31;Ungarn;Europa;A;93;0,74;0,8;7268362;10
32;Lieferant_32;Deutschland;Europa;C;70;1,39;1,15;4427819;14
33;Lieferant_33;Slowakei;Europa;B;81;0,96;1,09;7384953;17
34;Lieferant_34;Polen;Europa;C;69;1,35;1,29;1355564;18
35;Lieferant_35;Rumänien;Europa;B;75;1,03;1,05;8614493;19
36;Lieferant_36;Ungarn;Europa;B;81;1,09;1,08;9030264;17
37;Lieferant_37;Slowakei;Europa;B;78;1,04;1,01;9159296;14
38;Lieferant_38;Deutschland;Asien;B;75;1,07;1,07;4524507;9
39;Lieferant_39;Deutschland;Asien;B;75;1,09;1,09;2892427;8
40;Lieferant_40;Tschechien;Europa;A;91;0,71;0,89;3457679;2
41;Lieferant_41;Tschechien;Asien;B;84;1;1,08;5848035;13
42;Lieferant_42;Türkei;Asien;A;91;0,75;0,87;4490020;7
43;Lieferant_43;Polen;Europa;B;76;1,04;1,08;2781719;9
44;Lieferant_44;China;Asien;B;79;1,1;1,03;990695;11
45;Lieferant_45;Slowakei;Europa;B;82;1,07;1,1;938761;14
46;Lieferant_46;Slowakei;Asien;B;76;0,99;1,04;7467664;4
47;Lieferant_47;China;Asien;C;54;1,3;1,3;8988923;13
48;Lieferant_48;Türkei;Europa;B;77;0,97;1,09;5452825;2
49;Lieferant_49;Rumänien;Europa;B;83;1;1,08;9788053;5
50;Lieferant_50;Rumänien;Europa;B;86;1,09;1,08;8987324;11
51;Lieferant_51;Türkei;Europa;B;86;1,09;1,09;3421127;6
52;Lieferant_52;Rumänien;Asien;B;89;0,96;0,96;2659272;18
53;Lieferant_53;Tschechien;Asien;B;78;1,05;1,06;2376106;10
54;Lieferant_54;Slowakei;Europa;C;74;1,25;1,38;7060534;4
55;Lieferant_55;Türkei;Europa;C;63;1,42;1,23;7474592;9
56;Lieferant_56;Slowakei;Europa;C;60;1,48;1,39;6675716;6
57;Lieferant_57;China;Europa;B;84;1,04;0,97;2102324;2
58;Lieferant_58;Deutschland;Europa;A;97;0,71;0,92;6362105;17
59;Lieferant_59;Tschechien;Europa;B;79;1,03;0,98;6771318;5
60;Lieferant_60;Ungarn;Asien;B;87;1,01;1,07;594592;6
61;Lieferant_61;Tschechien;Europa;C;74;1,44;1,21;3678226;12
62;Lieferant_62;Türkei;Europa;B;77;1,07;1,03;6249031;10
63;Lieferant_63;Ungarn;Europa;B;84;1;1,02;2527540;6
64;Lieferant_64;Deutschland;Europa;B;76;1,02;0,96;1815630;8
65;Lieferant_65;Türkei;Asien;A;98;0,85;0,9;418408;2
66;Lieferant_66;Polen;Asien;A;98;0,77;0,84;8956884;12
67;Lieferant_67;Slowakei;Europa;C;55;1,37;1,34;9000019;13
68;Lieferant_68;Deutschland;Europa;C;62;1,22;1,37;3217172;7
69;Lieferant_69;Slowakei;Europa;B;85;1,09;0,99;9372985;10
70;Lieferant_70;Rumänien;Europa;B;83;1,03;1,04;6404680;13
71;Lieferant_71;Polen;Europa;B;89;1,1;1,05;4335042;17
72;Lieferant_72;Polen;Europa;B;81;0,96;0,99;1998739;14
73;Lieferant_73;Deutschland;Europa;C;57;1,36;1,13;9717944;2
74;Lieferant_74;Polen;Europa;B;84;0,98;1,02;1117433;11
75;Lieferant_75;Ungarn;Europa;B;76;0,99;1;8204010;1
76;Lieferant_76;Polen;Asien;B;85;1,05;1,03;4761029;19
77;Lieferant_77;Slowakei;Europa;B;78;1,04;0,99;3778086;4
78;Lieferant_78;Slowakei;Europa;A;92;0,86;0,94;1681530;19
79;Lieferant_79;Türkei;Europa;B;89;1,09;0,96;2187258;11
80;Lieferant_80;Slowakei;Asien;C;62;1,27;1,22;4956447;8
81;Lieferant_81;Türkei;Europa;C;67;1,59;1,15;8469066;11
82;Lieferant_82;Slowakei;Europa;B;89;1,01;1,07;6957658;4
83;Lieferant_83;Ungarn;Europa;B;75;1,02;1,01;1096530;17
84;Lieferant_84;China;Europa;B;81;1,08;1,07;9259861;7
85;Lieferant_85;Türkei;Europa;C;55;1,57;1,28;2701623;8
86;Lieferant_86;Tschechien;Europa;B;84;1,08;0,99;9866854;3
87;Lieferant_87;Rumänien;Europa;B;88;0,99;0,99;6331219;2
88;Lieferant_88;Deutschland;Europa;A;90;0,83;0,89;4208997;15
89;Lieferant_89;Slowakei;Europa;B;82;0,95;1,02;3464695;5
90;Lieferant_90;Polen;Europa;B;77;1,03;1,08;1145482;1
91;Lieferant_91;China;Asien;B;79;0,96;1,07;5886265;4
92;Lieferant_92;Slowakei;Europa;B;89;0,95;1,06;6008635;15
93;Lieferant_93;Polen;Europa;B;76;1,07;1,09;7587345;19
94;Lieferant_94;Rumänien;Europa;B;76;1;1,04;9783910;3
95;Lieferant_95;Rumänien;Europa;B;85;0,96;1,06;670451;11
96;Lieferant_96;Rumänien;Europa;B;75;1,07;1,01;8508424;17
97;Lieferant_97;Polen;Europa;B;77;1,05;1,07;1067344;13
98;Lieferant_98;Slowakei;Europa;B;75;1,02;0,99;2512149;11
99;Lieferant_99;Rumänien;Europa;B;76;1,04;1;5498869;2
100;Lieferant_100;Ungarn;Europa;A;100;0,75;0,81;3452252;9
101;Lieferant_101;Türkei;Europa;A;96;0,82;0,86;3832839;2
102;Lieferant_102;Polen;Europa;B;78;0,98;1;9527504;9
103;Lieferant_103;Polen;Europa;C;52;1,41;1,39;7122336;9
104;Lieferant_104;Slowakei;Asien;B;77;0,96;0,98;5868927;8
105;Lieferant_105;Polen;Europa;B;87;0,95;1,03;2978604;17
106;Lieferant_106;Polen;Europa;B;86;0,98;1;4427858;1
107;Lieferant_107;Rumänien;Europa;B;87;1;0,96;7533533;11
108;Lieferant_108;Slowakei;Asien;B;80;0,96;1,08;8752831;8
109;Lieferant_109;Rumänien;Asien;C;66;1,31;1,34;6084684;10
110;Lieferant_110;Türkei;Europa;B;87;1,1;1,03;2794287;7
111;Lieferant_111;China;Europa;C;63;1,45;1,21;6611634;3
112;Lieferant_112;Türkei;Asien;B;87;0,96;0,97;4721056;3
113;Lieferant_113;China;Europa;A;92;0,88;0,88;9076973;18
114;Lieferant_114;Rumänien;Europa;B;87;1,08;1;803662;5
115;Lieferant_115;Türkei;Europa;B;83;1,06;0,98;1405585;12
116;Lieferant_116;Slowakei;Europa;B;75;0,98;1;4192097;12
117;Lieferant_117;Deutschland;Asien;A;90;0,77;0,87;2759440;19
118;Lieferant_118;Rumänien;Asien;B;83;1,02;0,96;4043645;6
119;Lieferant_119;China;Europa;B;76;1,03;1,04;4595013;2
120;Lieferant_120;Ungarn;Europa;B;84;0,99;1;6194467;12
121;Lieferant_121;China;Europa;B;76;0,99;1,02;9723424;19
122;Lieferant_122;Ungarn;Europa;B;83;0,99;0,97;5617366;5
123;Lieferant_123;Polen;Asien;A;96;0,8;0,93;3548678;12
124;Lieferant_124;Türkei;Asien;A;97;0,88;0,81;9615807;17
125;Lieferant_125;Ungarn;Europa;B;82;1,05;1,1;5311593;17
126;Lieferant_126;China;Europa;C;69;1,59;1,36;8470262;10
127;Lieferant_127;Polen;Europa;C;66;1,4;1,32;4946769;17
128;Lieferant_128;Deutschland;Europa;C;51;1,42;1,27;7549607;15
129;Lieferant_129;Slowakei;Asien;B;86;0,98;1,1;4143064;12
130;Lieferant_130;Slowakei;Europa;B;78;1,03;0,99;2702967;16
131;Lieferant_131;Slowakei;Europa;A;99;0,85;0,81;3538550;19
132;Lieferant_132;Ungarn;Europa;B;89;1,02;1,03;176218;8
133;Lieferant_133;Deutschland;Europa;A;91;0,79;0,88;6978974;17
134;Lieferant_134;Ungarn;Europa;B;76;1;1,07;870044;5
135;Lieferant_135;Türkei;Europa;B;79;0,95;0,97;5679079;16
136;Lieferant_136;Ungarn;Europa;B;80;1,01;1;3285714;6
137;Lieferant_137;Deutschland;Europa;C;61;1,36;1,38;1828096;8
138;Lieferant_138;Deutschland;Europa;C;51;1,27;1,12;8836347;18
139;Lieferant_139;Türkei;Europa;B;80;0,96;1,07;8960935;12
140;Lieferant_140;Deutschland;Europa;C;54;1,28;1,15;7767105;15
141;Lieferant_141;China;Europa;A;94;0,75;0,9;2794946;9
142;Lieferant_142;Deutschland;Europa;C;74;1,55;1,22;4329215;13
143;Lieferant_143;Slowakei;Europa;C;56;1,49;1,37;2022135;15
144;Lieferant_144;China;Europa;B;75;1,06;1,03;7121855;10
145;Lieferant_145;China;Asien;A;90;0,78;0,88;1078039;16
146;Lieferant_146;Türkei;Europa;A;97;0,82;0,82;9388493;7
147;Lieferant_147;Tschechien;Europa;C;56;1,49;1,31;9097354;17
148;Lieferant_148;Tschechien;Europa;A;90;0,81;0,93;7452207;7
149;Lieferant_149;Deutschland;Europa;C;55;1,5;1,31;599876;14
150;Lieferant_150;China;Europa;C;50;1,21;1,27;2062165;15
